Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1880,29.60,19.23,0.00,6.49,2.66,2.09,1.89,2.68,0.24,2.62,2.81,2.58,11.86,-0.16,-0.09,-0.06,2.64,1.56,3.95,0.19,2.53,8.16,10.94,1.83,1.61,2.01,0.54,-0.10,0.08,0.09,0.07,-0.05,-0.42,-0.03,-0.26,0.67,0.67,0.67,0.67,0.67,0.67,3.48,1.76,1.54,1.28,6.49,0.01,20.57,-0.04,-0.16,-0.08,-0.11,29.60,
frc743,10.95,13.43,0.00,4.87,1.23,1.42,1.67,0.41,-0.13,1.25,1.48,1.19,4.39,-0.21,0.22,-0.43,1.38,1.20,-0.05,0.01,-0.27,2.20,-2.56,1.49,1.88,0.64,-0.23,-0.24,-0.56,-0.16,-0.38,-0.16,0.19,-0.15,0.50,0.67,0.67,0.67,0.67,0.67,0.67,2.15,1.79,1.29,-0.32,4.87,-0.09,6.36,0.03,0.37,0.01,0.43,10.95,
frc6590,4.75,20.82,0.00,4.55,0.65,0.62,1.22,1.21,0.08,0.52,0.51,0.44,-0.13,-0.10,-0.18,0.08,0.55,0.30,0.41,-0.36,-2.37,1.30,-0.95,1.93,1.11,2.05,1.41,-0.28,0.74,-0.29,-0.14,-0.17,-0.09,0.04,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.65,1.05,-0.38,4.55,0.55,2.57,-0.01,-0.03,-0.02,-0.04,4.75,
frc4640,14.76,14.64,0.00,0.74,1.37,1.02,0.23,1.53,0.95,1.02,1.03,0.55,2.45,0.01,-0.10,0.10,0.05,0.80,1.21,0.45,7.75,2.11,-2.21,1.18,1.19,0.87,1.71,0.60,-0.63,0.32,-0.32,0.16,-0.28,0.12,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.18,1.22,1.38,0.63,0.74,-0.01,6.27,0.01,-0.03,0.16,0.18,14.76,
frc354,21.61,15.56,0.00,3.23,1.44,1.95,0.61,-0.03,1.40,1.94,1.74,2.00,11.24,2.46,3.30,-0.83,0.22,2.32,0.86,-0.26,-1.23,3.38,0.81,1.23,1.24,1.68,5.00,1.39,1.06,1.29,1.29,0.42,1.15,0.73,1.04,0.67,0.67,0.67,0.67,0.67,0.67,0.98,2.16,1.69,0.50,3.23,-0.16,19.62,0.60,-0.26,0.59,-0.06,21.61,
frc5599,13.25,21.62,0.00,3.09,1.66,1.53,1.31,-0.93,0.35,2.26,1.65,1.59,4.62,-0.52,-0.41,-0.11,2.53,0.93,0.73,1.58,1.18,4.17,2.77,1.42,1.71,1.91,0.18,-0.19,-0.27,-0.23,0.13,-0.19,0.09,-0.27,0.41,0.67,0.67,0.67,0.67,0.67,0.67,1.29,1.18,1.19,0.00,3.09,0.30,8.97,-0.10,-0.04,-0.07,0.19,13.25,
frc7522,25.93,2.58,0.00,3.51,1.30,1.40,1.14,2.11,3.55,0.88,0.92,0.76,9.21,-1.39,-1.17,-0.22,1.26,0.83,0.20,-0.12,4.49,2.31,4.61,1.86,1.82,1.82,6.41,1.97,0.14,1.97,0.45,0.21,0.76,0.69,0.63,0.67,0.67,0.67,0.67,0.67,0.67,0.27,1.60,0.72,1.21,3.51,0.31,17.93,-0.28,0.49,-0.24,0.37,25.93,
frc3004,4.05,25.19,0.00,3.31,1.32,1.10,1.32,-0.15,0.35,1.03,1.06,1.52,3.41,0.16,-0.21,0.38,1.14,-1.71,0.43,0.97,-1.66,-0.11,-2.72,1.68,1.11,2.09,-0.90,-0.07,0.19,-0.64,0.03,-0.10,-0.15,-0.21,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.33,0.25,1.25,-0.43,3.31,0.06,2.40,-0.08,0.19,-0.14,0.25,4.05,
frc2869,15.21,16.07,0.00,5.56,1.03,1.89,1.33,-0.60,-0.39,1.64,1.64,1.67,4.52,-0.77,-0.08,-0.69,0.06,2.06,0.59,1.04,3.09,2.73,-1.37,1.94,1.76,1.87,-0.68,-0.08,-0.01,-0.26,0.08,0.47,-0.39,0.38,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.41,1.75,1.93,0.49,5.56,0.02,6.57,0.14,-0.30,0.05,-0.28,15.21,
frc1660,13.10,13.35,0.00,4.03,1.37,2.36,2.32,0.34,1.41,1.55,1.19,1.85,7.38,-0.60,-0.47,-0.13,0.05,0.19,-0.20,0.28,-0.65,0.01,-1.92,1.41,1.77,1.13,2.33,0.41,0.02,0.78,-0.49,-0.14,0.69,0.18,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.59,0.46,2.13,0.46,4.03,-0.07,9.72,-0.07,0.03,0.10,0.06,13.10,
frc335,12.05,6.37,0.00,-0.77,1.14,0.89,1.43,-1.04,0.22,1.36,1.53,0.94,3.10,-0.03,0.19,-0.22,0.64,1.30,-0.17,0.00,9.06,1.75,-2.79,1.04,0.40,0.64,-1.09,0.02,-0.68,0.12,-0.36,-0.05,-0.09,0.20,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,0.51,1.10,1.08,0.20,-0.77,0.15,3.75,0.00,-0.03,0.04,-0.02,12.05,
frc3419,12.32,27.13,0.00,2.71,1.40,1.24,0.20,1.06,2.58,1.52,1.67,1.57,9.98,-0.17,-0.17,0.00,-0.03,0.00,0.16,0.12,-2.93,0.15,-0.88,0.97,1.98,1.50,2.41,1.14,1.32,1.38,0.22,0.45,-0.25,0.35,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.39,0.54,1.18,-0.14,2.71,0.45,12.54,0.17,-0.14,-0.11,-0.09,12.32,
frc4528,6.30,26.77,0.00,3.57,-0.36,-0.09,0.76,0.78,0.79,1.54,1.35,1.79,1.07,0.40,0.58,-0.18,-0.01,3.09,0.25,1.07,-4.06,3.34,5.33,1.75,2.02,1.55,2.38,-0.08,-0.17,-0.18,0.22,0.17,-0.14,0.09,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.09,0.58,1.55,-0.19,3.57,0.59,6.79,0.07,-0.03,0.27,-0.00,6.30,
frc2344,14.23,15.98,0.00,2.57,1.23,1.54,1.33,-0.37,-0.12,1.43,1.20,1.09,4.40,-0.00,0.01,-0.01,0.06,1.83,2.95,0.51,0.85,4.88,2.92,1.77,1.64,1.54,1.53,0.28,0.53,0.65,0.36,0.44,-0.31,0.34,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.66,1.27,1.80,-0.03,2.57,-0.05,10.81,-0.03,-0.01,0.02,-0.03,14.23,
frc4122,24.45,8.15,0.00,4.06,2.64,2.24,2.10,1.15,2.08,2.69,2.28,2.05,11.60,-0.79,-0.60,-0.19,1.96,1.43,2.80,-0.78,2.23,6.14,10.95,1.53,1.31,1.09,0.43,-0.03,0.24,-0.54,0.33,-0.36,0.02,-0.32,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.96,1.85,1.69,1.33,4.06,-0.21,18.17,-0.14,-0.19,-0.07,-0.16,24.45,
frc6401,15.71,1.07,0.00,5.87,0.76,0.16,0.82,-0.25,0.25,1.14,1.23,0.48,0.49,-0.20,-0.19,-0.01,3.07,1.46,2.37,-0.77,2.32,6.96,11.23,1.70,2.15,1.62,0.08,0.06,0.14,-0.16,-0.12,-0.01,0.46,-0.17,0.63,0.67,0.67,0.67,0.67,0.67,0.67,1.27,1.79,2.37,1.50,5.87,0.23,7.53,-0.04,-0.01,-0.11,-0.06,15.71,
frc6195,7.29,18.32,0.00,2.99,1.12,2.04,1.41,0.06,-1.18,1.93,0.26,1.38,3.30,0.63,0.08,0.56,0.64,0.31,1.57,0.58,-0.66,2.52,-3.50,1.72,1.52,1.69,-0.85,-0.94,0.74,-0.63,0.44,-0.00,0.00,-0.08,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.98,1.19,1.40,-0.06,2.99,0.44,4.97,0.09,0.03,-0.05,0.06,7.29,
frc2265,16.55,8.69,0.00,5.09,1.10,1.45,1.63,0.59,0.21,1.56,1.67,1.30,4.96,-0.55,-0.69,0.14,0.65,0.64,2.45,-0.49,1.30,3.72,-1.88,0.99,1.92,1.68,1.48,0.49,-0.03,-0.04,0.09,-0.28,0.65,-0.34,0.80,0.67,0.67,0.67,0.67,0.67,0.67,1.58,1.50,1.81,0.26,5.09,0.04,10.15,-0.15,0.17,-0.24,0.09,16.55,
frc7004,22.96,15.11,0.00,3.19,1.64,2.40,2.88,1.02,0.64,1.69,2.28,1.43,11.08,2.28,3.34,-1.05,1.20,2.27,1.58,3.01,3.22,5.10,3.87,1.79,1.89,1.14,0.37,0.67,-0.13,0.63,-0.26,0.60,-0.30,0.46,-0.53,0.67,0.67,0.67,0.67,0.67,0.67,0.78,1.09,1.38,0.80,3.19,0.02,16.55,0.52,-0.41,0.46,-0.36,22.96,
frc4773,-2.97,28.69,0.00,0.77,0.33,0.67,0.22,-0.54,-0.78,0.04,-0.13,0.30,-2.62,-1.22,-0.04,-1.18,-1.24,2.37,-0.32,1.77,-0.93,0.83,-1.65,1.26,1.83,0.29,-1.03,-0.18,-0.20,0.13,-0.01,0.04,-0.23,0.10,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,0.64,0.14,0.90,-0.45,0.77,0.20,-2.82,0.03,-0.17,-0.04,-0.14,-2.97,
