MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nyro_qm1,blue,frc1551,frc1585,frc870,47,46,0,12,2,5,2,0,5,5,5,5,15,0,0,0,3,0,3,0,0,6,0,5,5,5,14,2,2,0,2,2,2,0,2,2,2,2,2,2,2,3,3,6,2,12,0,35,0,0,0,0,47
2019nyro_qm1,red,frc340,frc743,frc4121,46,47,0,3,2,2,2,0,5,5,5,5,18,0,0,0,12,3,0,0,0,15,30,5,3,3,10,0,5,0,5,0,2,0,2,2,2,2,2,2,2,3,3,6,1,3,0,43,0,0,0,0,46
2019nyro_qm10,blue,frc7635,frc6490,frc3157,57,47,0,15,2,5,5,5,5,5,2,5,18,0,0,0,3,3,12,0,0,18,30,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,42,0,0,0,0,57
2019nyro_qm10,red,frc217,frc4121,frc2544,47,57,0,15,5,5,5,5,2,5,5,2,18,0,0,0,3,0,3,0,0,6,0,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,32,0,0,0,0,47
2019nyro_qm11,blue,frc7299,frc1405,frc1559,33,47,0,3,2,2,2,2,2,0,2,2,0,0,0,0,0,0,12,0,10,12,0,5,0,3,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,3,0,20,0,0,0,0,33
2019nyro_qm11,red,frc7251,frc6870,frc1126,47,33,0,15,5,5,0,0,0,5,0,0,9,0,0,0,6,3,12,0,0,21,30,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,1,32,0,0,0,0,47
2019nyro_qm12,blue,frc271,frc1591,frc1450,50,33,0,15,2,2,5,5,5,5,5,5,18,0,0,0,0,3,0,1,0,3,0,5,5,5,14,0,2,0,2,0,0,0,2,2,2,2,2,2,2,6,3,6,2,15,0,35,0,0,0,2,50
2019nyro_qm12,red,frc533,frc4093,frc1518,33,50,0,9,0,0,0,0,0,5,5,5,9,0,0,0,3,0,3,0,3,6,0,5,5,5,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,3,0,9,0,21,0,0,0,2,33
2019nyro_qm13,blue,frc378,frc28,frc1585,35,36,0,9,2,5,5,0,0,5,5,5,15,0,0,0,6,3,0,0,0,9,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,26,2,0,0,0,35
2019nyro_qm13,red,frc3838,frc191,frc3173,36,35,0,12,5,5,5,5,0,2,2,2,12,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,3,2,12,0,24,0,0,0,0,36
