Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1551,24.61,8.87,0.00,3.69,1.53,1.98,1.89,0.22,2.72,2.23,1.86,2.27,9.12,-1.59,-0.62,-0.06,2.40,1.67,4.57,0.12,0.17,8.70,16.59,1.79,1.79,1.48,2.94,-0.14,1.18,-0.20,1.88,-0.57,0.13,-0.01,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.04,1.92,0.64,1.77,3.69,-0.02,20.75,-0.39,0.05,-0.45,-0.09,24.61,
frc1585,9.37,12.82,0.00,3.38,1.13,2.29,1.54,1.42,0.41,1.41,1.01,1.55,4.80,-1.57,-0.95,-0.42,0.01,1.50,-0.43,-0.08,-1.19,1.12,-2.86,1.82,1.81,1.52,1.25,0.48,0.03,0.19,-0.64,0.05,0.24,-0.35,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.24,0.76,1.08,-0.02,3.38,-0.04,7.17,-0.10,-0.06,-0.28,-0.06,9.37,
frc870,34.69,20.41,0.00,5.73,1.17,0.81,0.64,-0.57,1.33,1.08,0.91,1.12,11.02,11.86,6.14,-0.24,5.12,2.55,0.27,-0.22,2.50,7.96,12.61,1.70,1.73,1.91,7.48,1.61,1.29,0.90,0.46,3.57,0.86,2.78,0.90,0.67,0.67,0.67,0.67,0.67,0.67,1.94,1.52,1.57,1.68,5.73,0.03,26.46,1.39,-0.12,2.00,0.10,34.69,
frc340,25.48,20.86,0.00,2.63,0.45,0.83,0.45,1.19,2.05,1.88,1.76,1.79,9.00,2.39,0.02,2.93,3.35,3.13,1.46,0.13,0.45,8.00,12.02,1.54,1.53,1.70,5.39,0.97,1.33,0.82,1.54,0.15,1.13,0.42,1.02,0.67,0.67,0.67,0.67,0.67,0.67,2.04,1.01,0.69,0.94,2.63,-0.04,22.40,-0.29,0.65,-0.12,0.42,25.48,
frc743,6.73,11.28,0.00,2.42,1.36,1.25,1.51,-0.22,1.49,1.61,1.21,1.23,3.49,-2.51,-0.75,-0.65,0.88,-0.05,0.09,-0.20,-0.68,0.91,-2.49,1.65,1.59,1.28,0.59,-0.22,-0.15,-0.50,0.16,-0.32,0.15,-0.30,0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.33,0.63,1.71,-0.30,2.42,-0.02,4.99,-0.09,0.01,-0.07,-0.16,6.73,
frc4121,12.84,18.63,0.00,4.21,1.08,0.93,1.87,0.60,0.69,0.57,0.43,0.33,4.83,1.62,2.71,-0.39,1.31,0.11,1.15,0.00,-1.15,2.59,8.61,1.90,1.67,1.09,2.37,0.80,0.26,1.15,-0.13,0.27,-0.26,-0.00,0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.40,1.84,1.80,-0.02,4.21,-0.07,9.79,0.34,-0.29,0.63,-0.18,12.84,
frc7635,7.01,18.29,0.00,2.39,0.47,1.41,1.02,0.05,1.01,1.39,1.55,1.49,4.97,-0.66,-0.53,-0.22,1.03,-1.48,-0.09,0.46,0.44,-1.08,-4.05,0.73,1.84,1.10,0.30,0.17,-0.23,-0.01,0.24,0.11,-0.03,0.21,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.86,0.21,1.09,0.13,2.39,0.09,4.19,0.54,-0.21,0.25,-0.19,7.01,
frc6490,15.36,11.85,0.00,5.11,0.99,2.52,2.63,1.00,1.53,1.47,0.90,0.37,6.80,-0.80,0.27,-0.14,-0.18,0.96,1.36,-0.04,-1.46,2.18,3.22,1.94,1.52,1.85,2.73,1.08,-0.05,1.06,0.81,-0.18,-0.28,0.10,0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.52,1.36,2.20,0.58,5.11,0.02,11.71,-0.12,-0.10,0.01,-0.13,15.36,
frc3157,22.22,15.78,0.00,5.58,0.24,1.45,0.71,2.79,2.31,0.31,0.85,0.62,4.98,-0.44,-0.50,0.15,1.66,4.37,2.87,0.02,-0.19,9.07,18.35,2.03,1.35,1.76,2.78,0.55,0.89,0.20,0.06,-0.47,0.32,-0.63,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.70,1.55,2.33,1.34,5.58,-0.01,16.83,-0.26,0.01,-0.22,0.03,22.22,
frc217,19.07,19.58,0.00,4.41,1.44,1.37,2.05,0.72,0.21,1.40,2.86,2.37,10.00,-0.01,-0.10,0.38,1.41,1.81,0.60,0.24,-0.22,3.87,4.70,1.81,1.61,1.71,1.01,-0.08,0.79,-0.09,0.16,0.48,0.77,0.45,0.45,0.67,0.67,0.67,0.67,0.67,0.67,2.42,1.26,0.81,0.37,4.41,0.04,14.88,0.13,0.36,-0.15,0.41,19.07,
frc2544,14.70,15.33,0.00,4.44,1.00,2.01,1.79,0.63,1.15,2.58,1.60,0.95,6.38,-1.19,-0.45,0.02,0.35,0.60,1.83,-0.21,-0.22,2.80,-0.80,1.17,1.57,1.54,1.30,-0.33,0.04,0.38,0.54,0.03,0.05,0.11,0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.63,1.55,1.77,0.37,4.44,-0.01,10.48,-0.19,0.30,-0.31,0.23,14.70,
frc7299,12.25,19.52,0.00,1.81,0.81,1.29,1.80,0.64,0.96,1.16,1.17,-0.03,0.88,1.63,3.13,-0.31,2.05,0.30,2.25,0.57,2.33,4.74,7.86,2.06,0.77,1.33,2.49,-0.44,0.47,0.38,0.06,-0.24,-0.24,-0.06,-0.34,0.67,0.67,0.67,0.67,0.67,0.67,1.44,1.14,1.15,0.15,1.81,0.03,8.11,0.16,-0.05,0.04,-0.25,12.25,
frc1405,16.54,10.46,0.00,4.03,1.34,1.14,0.31,1.38,2.10,0.98,0.46,0.77,2.66,-0.11,-0.57,-0.04,0.56,2.77,4.02,0.01,0.57,7.38,7.70,1.37,1.08,1.78,1.91,0.12,0.06,-0.04,-0.18,-0.29,-0.30,-0.27,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,0.90,1.50,2.42,1.08,4.03,0.02,11.95,-0.11,0.11,-0.26,-0.11,16.54,
frc1559,17.96,20.91,0.00,2.66,0.31,0.03,0.06,0.53,1.18,1.21,1.06,0.84,6.22,0.07,-0.18,-0.02,0.48,1.68,0.52,-0.06,2.15,2.70,-0.95,1.67,1.03,1.48,4.24,1.22,0.84,0.76,0.91,0.95,0.52,0.70,0.34,0.67,0.67,0.67,0.67,0.67,0.67,0.98,1.26,1.61,0.41,2.66,-0.04,13.15,0.54,0.46,0.62,0.76,17.96,
frc7251,20.62,15.81,0.00,6.54,1.42,1.78,2.11,0.47,0.65,2.13,1.00,0.76,7.10,-0.30,0.43,-0.45,2.38,1.45,2.90,-0.20,-0.89,6.73,11.58,1.78,1.83,1.78,1.14,1.19,0.03,1.03,-0.01,0.45,-0.39,0.27,-0.44,0.67,0.67,0.67,0.67,0.67,0.67,2.71,0.88,1.97,0.91,6.54,0.05,14.96,0.65,-0.33,-0.16,-0.30,20.62,
frc6870,10.99,18.32,0.00,5.21,0.98,0.53,0.32,1.21,1.60,2.28,0.47,0.93,2.24,0.10,0.14,-0.45,-0.78,0.99,1.75,0.28,0.80,2.06,-1.90,1.54,1.60,1.64,0.69,-0.80,-0.50,0.86,-0.34,-0.11,-0.41,0.11,-0.35,0.67,0.67,0.67,0.67,0.67,0.67,2.09,1.61,1.96,0.78,5.21,0.17,4.99,0.21,-0.24,0.42,-0.30,10.99,
frc1126,16.40,12.60,0.00,4.01,1.00,0.64,-0.07,1.64,-0.03,0.57,0.36,0.67,1.73,0.28,-0.51,0.02,2.59,3.60,2.73,-0.12,0.71,8.67,14.94,1.25,1.73,1.53,1.27,0.32,-0.21,0.16,-0.46,0.10,0.04,0.23,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.37,2.33,1.96,0.68,4.01,0.07,11.68,-0.26,-0.04,-0.27,-0.06,16.40,
frc271,7.92,15.93,0.00,3.58,0.23,-0.08,0.31,0.16,1.07,1.31,1.21,0.83,1.19,0.95,0.19,0.35,1.52,0.84,-0.43,0.36,0.62,1.99,-0.34,1.67,1.54,0.95,0.53,0.46,-0.25,0.05,-0.67,0.18,-0.17,0.15,0.05,0.67,0.67,0.67,0.67,0.67,0.67,2.17,1.44,2.32,0.08,3.58,0.08,3.72,-0.21,0.01,-0.10,0.26,7.92,
frc1591,17.57,17.33,0.00,4.54,0.84,1.46,1.49,2.57,1.52,1.01,1.98,2.22,7.28,-1.85,-1.13,-0.07,1.31,3.52,0.00,1.01,-0.96,4.84,6.20,1.93,1.92,1.71,1.87,-0.11,0.47,-0.77,0.09,-0.09,-0.12,-0.14,0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.36,1.39,1.04,0.28,4.54,0.02,13.98,-0.41,-0.09,-0.25,0.23,17.57,
frc1450,15.99,7.24,0.00,5.64,0.24,0.72,0.89,1.18,2.06,1.55,1.17,0.71,3.25,0.98,2.61,-0.45,0.02,-0.39,0.71,0.22,-0.95,0.40,-4.38,1.78,1.55,1.67,7.64,0.77,-0.03,0.94,0.87,0.60,0.14,-0.03,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.86,2.08,2.04,0.70,5.64,-0.06,11.29,0.83,0.21,0.31,-0.09,15.99,
frc533,10.00,24.86,0.00,4.60,0.62,0.28,0.67,0.98,0.18,0.92,0.96,0.85,3.05,-0.04,-0.37,0.16,1.72,-0.09,-0.67,0.11,-0.99,0.66,-0.05,1.47,1.36,1.51,2.67,0.50,-0.44,1.45,0.06,0.55,-0.04,0.37,0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.24,2.21,-0.34,4.60,-0.03,6.39,0.02,-0.10,0.31,0.05,10.00,
frc4093,21.87,20.66,0.00,4.67,1.22,1.49,1.66,-0.14,0.50,2.45,2.19,1.71,8.44,-0.21,0.61,-0.19,2.44,-1.36,3.07,0.38,0.03,4.20,3.07,2.00,1.55,1.82,4.54,1.23,0.72,1.52,0.71,0.60,-0.10,0.54,0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.19,1.27,0.49,4.67,-0.06,17.18,-0.03,-0.05,0.27,0.20,21.87,
frc1518,11.72,12.04,0.00,2.65,1.37,1.04,1.52,-0.35,-0.05,1.13,2.11,2.07,5.10,-0.16,0.39,-0.01,-0.01,1.77,0.81,0.36,0.87,2.62,1.66,1.39,1.40,1.78,0.48,-0.35,0.17,-0.45,0.81,-0.07,-0.30,-0.01,0.30,0.67,0.67,0.67,0.67,0.67,0.67,0.53,1.06,0.45,0.30,2.65,0.05,8.20,0.01,-0.08,0.38,0.17,11.72,
frc378,22.29,13.43,0.00,4.22,0.93,2.18,2.30,1.10,1.43,1.98,2.11,1.86,9.70,-1.64,-0.35,0.04,1.76,2.18,1.26,-0.19,0.63,5.21,6.22,1.54,1.81,1.19,2.53,0.49,0.87,0.67,0.84,-0.04,0.07,0.12,0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.61,2.25,1.84,0.88,4.22,0.09,17.44,0.12,0.13,0.26,0.09,22.29,
frc28,12.62,20.98,0.00,3.97,0.52,0.86,0.47,-1.29,0.36,1.25,0.99,0.70,2.22,0.31,-0.01,0.31,0.96,0.64,1.87,-0.12,3.63,3.49,3.42,1.47,1.28,1.40,-0.68,-0.45,0.55,-0.52,0.33,0.37,-0.14,0.15,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,2.60,1.16,0.84,-0.17,3.97,0.08,5.02,0.16,-0.08,-0.13,-0.01,12.62,
frc3838,19.80,16.34,0.00,3.81,1.79,1.75,1.69,1.37,0.96,1.27,1.44,0.50,5.98,0.04,0.41,-0.46,3.12,0.33,0.62,0.34,1.37,4.14,7.55,2.16,1.92,1.21,4.50,0.27,1.04,0.82,0.58,-0.00,0.88,0.08,0.31,0.67,0.67,0.67,0.67,0.67,0.67,0.80,1.80,0.77,0.61,3.81,-0.04,14.62,-0.15,-0.00,0.04,0.30,19.80,
frc191,13.34,20.87,0.00,4.42,1.35,0.99,1.79,1.13,0.45,0.06,0.04,0.63,3.05,0.05,-0.06,-0.12,2.89,1.31,0.62,0.06,-0.58,4.82,2.84,1.72,1.74,1.61,1.62,-0.45,0.09,-0.48,0.23,0.38,0.52,-0.01,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.83,2.25,0.92,0.30,4.42,0.09,9.50,0.12,-0.06,0.18,-0.13,13.34,
frc3173,8.60,16.94,0.00,2.38,0.18,0.49,0.21,1.86,-0.14,1.09,0.97,0.81,0.98,-1.94,-0.99,0.22,0.94,0.55,1.36,0.17,-0.46,2.91,4.44,1.12,0.70,1.92,2.78,-0.52,0.80,-0.37,1.05,-0.28,-0.08,-0.27,0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.61,0.54,1.22,0.33,2.38,0.06,6.67,-0.05,0.15,0.14,0.05,8.60,
frc6892,4.05,17.20,0.00,0.69,1.09,0.60,0.65,-0.91,0.66,0.39,0.07,0.23,-0.06,3.25,0.68,-0.03,1.45,-0.48,0.82,-0.07,1.56,1.55,0.95,0.70,0.44,0.48,0.31,0.25,0.53,0.04,0.50,0.20,-0.05,0.53,-0.28,0.67,0.67,0.67,0.67,0.67,0.67,0.57,1.26,0.56,-0.15,0.69,-0.05,1.81,0.22,-0.19,0.03,-0.23,4.05,
frc2228,24.51,15.68,0.00,5.58,0.55,0.96,1.90,1.46,1.67,2.04,1.40,1.37,4.67,-0.40,-0.01,-0.51,1.86,2.84,2.43,-0.31,-0.34,6.87,9.32,0.83,2.06,1.91,7.73,0.91,0.41,0.61,0.46,0.03,-0.06,-0.55,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.81,1.92,0.90,5.58,0.05,19.27,-0.36,0.03,-0.22,-0.17,24.51,
frc3799,15.55,22.41,0.00,4.74,1.17,1.05,0.72,1.25,0.85,1.26,1.55,1.17,3.77,-0.57,-0.55,-0.55,0.54,3.03,1.65,0.27,-0.06,5.32,0.33,1.48,1.41,1.79,1.78,1.16,-0.40,0.99,-0.47,-0.22,-0.03,-0.18,0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.68,1.72,2.21,0.09,4.74,-0.01,10.87,-0.28,0.07,-0.10,-0.08,15.55,
frc5590,12.52,16.22,0.00,3.27,0.26,-0.03,0.60,0.30,0.73,1.11,0.79,-0.20,2.19,1.86,-0.61,2.85,1.20,-0.16,1.82,0.16,-0.24,2.59,-2.51,1.35,1.51,1.83,4.71,0.25,0.82,-0.46,1.23,0.50,0.32,0.28,0.55,0.67,0.67,0.67,0.67,0.67,0.67,1.19,1.73,0.75,0.18,3.27,-0.08,9.49,0.15,0.67,0.65,0.53,12.52,
frc6868,16.99,16.83,0.00,3.90,0.85,-0.21,0.02,-0.64,0.24,-0.27,0.66,0.52,5.35,1.69,-1.23,3.07,2.02,1.31,-1.17,0.05,1.62,2.23,5.66,1.82,1.77,1.88,3.89,-0.19,1.73,-0.39,1.01,0.66,1.21,0.91,1.00,0.67,0.67,0.67,0.67,0.67,0.67,1.29,0.76,0.91,0.94,3.90,0.10,11.47,1.00,0.81,0.63,1.23,16.99,
frc2638,22.49,21.77,0.00,4.72,-0.02,0.68,1.50,1.49,1.42,0.88,1.61,1.59,7.19,-1.66,-0.47,0.03,2.06,1.14,2.27,0.60,0.67,5.55,2.78,1.74,1.70,1.67,4.36,1.54,1.73,1.58,1.31,-0.13,-0.04,0.16,0.11,0.67,0.67,0.67,0.67,0.67,0.67,2.02,1.19,2.08,0.23,4.72,-0.03,17.10,0.04,-0.03,0.09,-0.00,22.49,
frc120,18.76,14.37,0.00,3.35,2.21,1.92,2.64,0.51,-0.56,2.25,2.22,2.06,10.95,3.07,0.22,0.29,0.82,1.96,-0.68,0.28,1.31,2.07,-0.74,1.28,1.68,1.83,1.09,0.68,0.69,0.84,0.80,-0.07,0.05,0.23,0.43,0.67,0.67,0.67,0.67,0.67,0.67,0.68,1.50,0.97,0.68,3.35,-0.06,14.11,-0.14,-0.02,0.06,0.09,18.76,
frc3117,12.85,12.93,0.00,5.24,1.39,0.82,0.74,0.02,-0.52,1.74,1.00,0.22,2.39,-0.46,-0.40,0.00,2.78,0.77,-0.94,-0.17,1.65,2.62,-0.96,1.29,1.78,1.60,0.95,-0.12,0.18,-0.43,-0.82,0.69,0.26,0.78,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.59,1.53,1.63,0.32,5.24,-0.03,5.95,0.42,0.20,0.58,-0.14,12.85,
frc4361,17.84,10.34,0.00,3.43,2.69,1.86,1.36,0.69,0.10,1.20,1.06,1.81,6.95,1.29,-0.66,-0.55,0.87,3.82,2.07,0.25,-0.02,6.69,10.63,1.56,1.78,1.34,0.79,1.08,-0.76,0.74,-0.51,0.20,-0.12,0.11,-0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.35,1.45,2.05,0.73,3.43,0.05,14.43,0.22,0.07,0.39,-0.17,17.84,
frc7594,15.35,25.09,0.00,6.31,1.57,1.59,1.12,1.38,-1.19,2.18,1.52,2.21,4.51,1.43,-0.91,-0.43,0.10,1.03,2.31,0.34,1.34,3.44,3.02,1.85,1.78,1.81,-0.25,-0.13,-0.79,0.40,-0.18,0.04,-0.26,-0.36,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.26,1.53,2.12,0.17,6.31,0.31,7.70,-0.20,-0.12,-0.32,-0.06,15.35,
frc1507,26.53,17.88,0.00,5.70,2.26,1.39,1.35,1.56,1.93,1.33,1.79,1.53,11.26,0.28,0.18,0.33,0.32,1.12,1.28,0.20,0.72,2.74,0.28,1.80,1.64,1.92,6.12,0.22,1.63,0.94,0.75,1.16,0.23,1.38,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.22,2.33,1.57,0.67,5.70,0.04,20.12,0.58,0.15,-0.18,-0.04,26.53,
