MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nysu_qm1,blue,frc3950,frc5016,frc6806,49,66,0,15,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,2,0,6,0,5,5,5,10,2,2,2,0,0,2,0,2,2,2,2,2,2,2,6,3,6,0,15,0,34,0,0,0,0,49
2019nysu_qm1,red,frc1796,frc6880,frc4571,66,49,0,12,2,2,2,0,2,2,5,2,12,0,0,0,12,3,3,0,6,18,30,5,5,5,18,2,2,2,5,0,2,0,2,2,2,2,2,2,2,3,6,3,3,12,0,48,0,5,0,5,66
2019nysu_qm10,blue,frc6459,frc354,frc7730,41,45,0,9,2,2,5,0,0,5,5,2,9,0,0,0,3,3,3,0,10,9,0,5,5,3,4,0,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,22,0,0,2,0,41
2019nysu_qm10,red,frc6806,frc871,frc4091,45,41,0,15,5,5,5,0,0,5,5,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,6,2,0,2,0,0,0,2,0,2,2,2,2,2,2,6,3,6,2,15,1,30,0,0,0,0,45
2019nysu_qm11,blue,frc6648,frc7318,frc6593,39,48,0,3,2,2,0,2,0,2,2,2,0,0,0,0,0,12,3,0,13,15,30,0,3,5,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,0,3,3,1,3,1,23,0,0,0,0,39
2019nysu_qm11,red,frc4012,frc3419,frc3314,48,39,0,6,2,5,2,2,5,5,5,5,21,0,0,0,0,3,0,1,10,3,0,3,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,1,32,0,0,0,0,48
2019nysu_qm12,blue,frc6024,frc2872,frc7539,37,48,0,9,2,2,5,5,5,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,1,28,0,0,0,0,37
2019nysu_qm12,red,frc1796,frc3017,frc5202,48,37,0,6,5,2,5,0,0,5,5,5,15,0,0,0,3,3,3,0,10,9,0,5,5,3,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,6,2,6,0,32,0,2,0,2,48
2019nysu_qm13,blue,frc303,frc1156,frc1155,53,45,0,9,5,5,5,0,2,5,2,5,21,0,0,0,6,3,3,0,3,12,0,5,5,5,8,5,0,5,0,2,0,0,0,2,2,2,2,2,2,3,3,3,2,9,1,41,0,0,0,0,53
2019nysu_qm13,red,frc527,frc4122,frc7759,45,53,0,3,5,5,5,0,0,5,2,2,12,0,0,0,6,3,3,1,10,12,0,5,3,3,8,0,2,0,2,0,0,2,0,2,2,2,2,2,2,3,6,6,0,3,0,32,0,0,2,0,45
2019nysu_qm14,blue,frc250,frc2601,frc6969,19,15,0,3,2,2,5,0,2,2,2,0,3,30,0,0,3,0,0,0,6,3,0,5,3,3,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,3,0,10,0,0,0,0,19
2019nysu_qm14,red,frc1660,frc6911,frc5123,15,19,0,6,0,0,0,0,0,2,2,2,0,0,0,0,3,0,3,2,0,3,0,5,3,0,6,0,2,0,2,0,2,0,0,2,2,2,2,2,2,6,3,3,0,6,0,9,0,0,0,0,15
2019nysu_qm15,blue,frc5016,frc6880,frc383,38,28,0,9,2,2,5,0,0,2,2,2,12,0,0,0,3,3,3,0,0,9,0,5,5,3,8,5,0,5,2,5,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,29,0,0,0,0,38
2019nysu_qm15,red,frc7718,frc5806,frc7504,28,38,0,15,2,2,2,2,5,2,2,2,3,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,13,0,0,0,0,28
2019nysu_qm16,blue,frc354,frc4571,frc1155,32,81,0,15,2,2,2,0,0,2,2,2,3,0,0,0,0,3,3,3,0,6,0,5,5,5,8,0,0,0,0,2,0,5,0,2,2,2,2,2,2,6,6,3,0,15,0,17,2,0,2,0,32
2019nysu_qm16,red,frc20,frc1796,frc7759,81,32,0,6,5,5,5,0,0,5,5,5,36,30,30,0,12,3,3,0,9,18,30,5,5,3,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,4,6,0,66,5,0,5,0,81
2019nysu_qm17,blue,frc871,frc1660,frc6024,45,45,0,9,5,5,5,5,0,2,2,2,18,0,0,0,3,3,0,0,0,6,0,3,5,5,12,2,0,0,0,5,0,5,0,2,2,2,2,2,2,3,6,3,1,9,0,36,2,0,2,0,45
2019nysu_qm17,red,frc6911,frc3314,frc3950,45,45,0,3,5,5,5,5,5,5,5,5,24,0,0,0,3,6,3,0,0,12,0,3,5,3,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,3,0,42,0,0,0,0,45
2019nysu_qm18,blue,frc383,frc6969,frc5865,37,35,0,9,2,2,5,5,0,5,5,2,12,0,0,0,0,3,3,0,6,6,0,5,3,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,22,0,0,0,0,37
2019nysu_qm18,red,frc3419,frc7016,frc250,35,37,0,15,5,5,5,0,0,2,2,2,9,0,0,0,3,3,3,2,0,9,0,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,20,0,0,0,0,35
2019nysu_qm19,blue,frc7504,frc4571,frc6593,53,35,0,15,2,2,2,5,5,2,2,2,12,0,0,0,3,3,3,0,3,9,0,5,5,5,14,2,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,35,0,0,0,0,53
2019nysu_qm19,red,frc2265,frc1156,frc7730,35,53,0,12,2,5,5,0,5,5,5,5,18,0,0,0,0,3,0,1,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,23,0,0,0,0,35
2019nysu_qm2,blue,frc7318,frc6969,frc303,40,21,0,3,5,5,5,0,0,2,5,5,21,0,0,0,3,3,6,0,0,12,0,3,3,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,2,3,0,37,0,0,0,0,40
2019nysu_qm2,red,frc7730,frc383,frc7004,21,40,0,6,5,5,5,0,0,2,2,2,9,0,0,0,3,3,3,0,0,6,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,15,0,0,0,0,21
2019nysu_qm20,blue,frc4012,frc6459,frc3017,27,40,0,6,2,5,2,5,5,2,5,2,12,0,0,0,3,0,0,0,0,3,0,3,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,21,0,0,0,0,27
2019nysu_qm20,red,frc4122,frc7004,frc6880,40,27,0,12,5,5,5,5,2,2,5,2,15,0,0,0,6,3,0,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,28,0,0,0,0,40
2019nysu_qm21,blue,frc4091,frc20,frc6648,59,68,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,12,3,2,6,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,41,0,0,0,0,59
2019nysu_qm21,red,frc2601,frc303,frc5016,68,59,0,12,5,2,2,5,0,5,5,5,27,0,0,0,0,6,3,2,6,9,0,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,2,12,0,50,2,0,2,0,68
2019nysu_qm22,blue,frc7539,frc5943,frc5123,36,42,0,12,0,0,0,0,5,5,2,2,6,0,0,0,3,3,6,2,0,12,0,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,24,0,0,0,0,36
2019nysu_qm22,red,frc5202,frc1880,frc7318,42,36,0,9,5,5,5,0,0,2,5,2,12,0,0,0,3,6,6,0,6,15,30,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,9,0,27,0,0,0,0,42
2019nysu_qm23,blue,frc527,frc2872,frc7718,44,42,0,12,5,5,2,0,5,5,5,5,18,0,0,0,3,3,3,0,3,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,29,0,0,0,0,44
2019nysu_qm23,red,frc5806,frc6806,frc6401,42,44,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,1,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,27,0,0,0,0,42
2019nysu_qm24,blue,frc1796,frc4091,frc7004,32,41,0,6,5,2,0,0,0,5,5,5,12,30,0,0,3,3,0,0,6,6,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,6,0,20,0,0,2,0,32
2019nysu_qm24,red,frc250,frc2265,frc4122,41,32,0,15,2,2,5,5,0,5,5,2,12,0,0,0,3,6,3,2,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,26,0,0,0,0,41
2019nysu_qm25,blue,frc7759,frc6880,frc7730,22,38,0,9,0,0,0,0,2,0,0,0,0,0,0,0,3,3,3,0,0,9,0,3,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,13,0,0,0,0,22
