Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3950,11.32,20.41,0.00,4.80,1.50,1.69,1.84,-0.13,-0.65,2.04,1.84,2.08,5.68,-0.58,0.42,0.11,-0.65,1.05,0.50,0.94,-0.62,1.01,-3.04,1.62,1.79,1.58,0.45,-0.10,0.73,-0.40,0.11,-0.27,0.27,-0.01,0.17,0.67,0.67,0.67,0.67,0.67,0.67,2.11,1.74,2.07,-0.77,4.80,0.02,7.14,0.07,0.17,-0.04,0.02,11.32,
frc5016,19.41,21.47,0.00,4.51,1.48,0.69,1.19,0.54,0.28,1.36,1.03,0.84,6.43,-0.93,-0.52,-0.37,0.64,0.91,0.62,0.64,-0.04,2.31,0.90,1.81,1.79,1.84,6.20,2.02,0.43,2.90,0.43,1.51,0.18,0.85,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.21,1.08,1.25,0.55,4.51,0.01,14.94,0.23,-0.04,0.12,-0.10,19.41,
frc6806,18.02,14.79,0.00,4.35,1.90,1.74,2.10,0.65,-0.48,1.76,1.32,1.23,5.68,0.49,0.38,0.21,1.93,2.64,1.50,-0.04,2.10,5.47,5.41,2.00,1.60,0.49,0.41,-0.21,0.30,0.26,-0.35,-0.05,0.01,0.09,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.93,1.14,2.28,0.64,4.35,0.03,11.56,0.04,-0.10,-0.01,0.04,18.02,
frc1796,35.76,15.20,0.00,1.40,1.19,1.68,0.62,0.15,-0.48,2.46,2.26,2.12,15.46,18.03,5.86,6.08,4.12,2.35,2.40,0.36,1.73,8.91,18.45,1.57,1.34,1.46,8.26,1.47,2.35,1.18,2.91,0.68,1.73,0.61,1.84,0.67,0.67,0.67,0.67,0.67,0.67,0.84,1.42,1.43,2.07,1.40,-0.06,32.63,0.85,1.91,1.02,1.89,35.76,
frc6880,14.32,9.81,0.00,3.90,1.06,0.85,1.14,0.02,0.60,0.21,1.27,0.45,3.78,-2.99,-0.78,-0.19,1.24,0.94,1.01,-0.58,0.97,3.24,6.46,0.99,1.83,1.59,2.42,0.24,0.47,0.11,0.61,0.66,0.47,-0.05,0.56,0.67,0.67,0.67,0.67,0.67,0.67,2.20,1.65,1.51,0.66,3.90,-0.08,9.45,-0.09,0.41,-0.15,0.40,14.32,
frc4571,22.80,19.00,0.00,6.71,0.78,0.56,1.14,0.82,1.64,0.69,0.69,0.25,3.24,-2.94,-0.32,-1.08,2.08,0.63,0.67,0.44,4.08,3.44,4.19,2.00,1.86,1.85,5.33,2.02,-0.17,1.53,0.35,0.35,-0.17,0.93,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,2.17,1.88,1.54,0.59,6.71,-0.08,12.00,0.34,0.21,0.46,0.22,22.80,
frc6459,16.55,25.04,0.00,3.02,2.03,1.83,2.21,2.34,1.17,1.67,2.02,0.86,8.33,-0.28,-0.60,0.23,1.56,0.59,0.02,1.29,1.18,2.24,-1.29,1.51,1.80,1.43,1.78,0.62,0.34,0.58,-0.38,0.07,0.10,-0.60,-0.34,0.67,0.67,0.67,0.67,0.67,0.67,0.46,1.22,1.26,0.18,3.02,0.06,12.36,-0.26,0.17,-0.15,0.02,16.55,
frc354,13.86,19.85,0.00,5.08,0.59,0.91,1.16,0.18,0.26,1.25,1.65,1.70,4.50,0.57,-0.99,2.73,0.29,0.13,1.27,0.24,0.60,1.71,-0.64,1.64,1.81,1.32,1.96,-0.84,0.28,-0.74,0.26,0.27,0.66,0.45,1.05,0.67,0.67,0.67,0.67,0.67,0.67,2.28,1.91,1.75,0.35,5.08,-0.09,8.18,0.06,0.55,0.19,0.58,13.86,
frc7730,10.50,18.95,0.00,3.87,1.16,1.18,0.92,-1.20,-0.12,1.63,0.98,0.64,2.33,-0.18,-1.44,-0.89,0.93,0.92,2.03,-0.34,2.08,3.70,2.68,1.24,1.88,1.96,-1.48,0.12,-0.13,-0.13,0.24,-0.34,0.23,-0.55,0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.69,1.03,0.89,-0.02,3.87,0.20,4.56,-0.35,-0.18,-0.17,-0.30,10.50,
frc871,14.49,13.74,0.00,3.70,1.57,1.06,1.12,-0.03,0.73,0.87,1.40,1.03,3.78,-0.63,0.44,-0.19,0.95,0.88,0.76,-0.03,-0.99,2.66,-1.50,0.80,1.75,1.96,5.33,0.76,0.33,0.79,0.29,0.66,0.12,1.08,0.09,0.67,0.67,0.67,0.67,0.67,0.67,0.74,1.86,0.95,0.60,3.70,-0.01,11.78,0.46,0.38,0.60,-0.01,14.49,
frc4091,9.51,15.29,0.00,4.49,1.58,0.71,1.03,0.67,0.51,1.52,1.28,0.34,3.04,-0.34,-0.78,-0.84,-0.50,0.08,0.57,0.55,2.19,0.25,-3.74,1.80,1.36,1.83,-0.47,0.02,-0.11,0.69,-0.13,-0.55,-0.26,-0.32,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,2.44,1.18,1.98,0.10,4.49,0.21,2.82,-0.29,-0.41,-0.07,-0.29,9.51,
frc6648,9.87,23.74,0.00,2.98,0.29,0.94,-0.22,0.56,0.78,1.00,1.02,1.55,2.62,-0.63,-0.06,0.52,-0.33,2.73,0.18,0.15,0.26,2.77,8.14,0.25,1.49,1.51,1.24,0.32,-0.29,0.34,-0.24,0.27,-0.02,0.30,0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.30,1.34,2.16,-0.01,2.98,0.26,6.63,-0.12,0.27,-0.00,0.12,9.87,
frc7318,12.85,15.70,0.00,2.01,1.18,1.93,1.25,0.04,-0.93,0.10,0.57,0.68,1.55,0.07,2.61,-1.17,0.28,3.59,2.14,0.06,2.21,6.05,8.49,1.04,1.31,1.90,1.03,0.50,0.42,0.21,0.00,0.38,-0.15,0.18,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.00,0.83,1.08,0.40,2.01,0.03,8.63,0.39,-0.34,0.30,-0.28,12.85,
frc6593,15.10,14.38,0.00,3.04,0.27,0.61,0.64,1.91,1.04,0.49,0.70,0.47,1.03,-0.99,-0.31,0.11,0.71,1.94,1.91,-0.27,2.01,4.01,4.80,1.43,1.57,1.41,5.01,0.21,0.52,0.52,1.03,0.00,0.09,-0.02,0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.78,1.23,1.02,0.39,3.04,-0.00,10.05,-0.04,0.01,-0.09,0.00,15.10,
frc4012,5.33,14.76,0.00,1.77,0.15,1.07,0.21,0.01,1.54,0.67,1.46,0.48,1.90,-0.56,0.12,-0.12,0.64,0.34,0.10,0.24,-0.45,1.19,-0.22,0.67,1.56,1.58,0.91,0.84,-0.60,0.34,-0.06,0.24,0.32,0.04,0.16,0.67,0.67,0.67,0.67,0.67,0.67,0.94,1.46,0.66,-0.32,1.77,0.04,4.01,-0.04,-0.09,-0.19,-0.06,5.33,
frc3419,12.55,9.12,0.00,2.32,1.65,1.80,2.11,0.45,-0.63,1.17,1.09,1.39,5.78,-0.74,-1.04,0.36,0.86,0.99,1.17,-0.19,1.06,2.70,5.41,1.74,1.31,1.17,0.69,0.77,0.83,0.84,0.64,-0.60,-0.02,-0.60,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.07,0.69,1.01,0.54,2.32,0.10,9.17,-0.32,0.03,-0.08,0.07,12.55,
frc3314,29.79,12.11,0.00,3.18,1.78,2.41,1.49,2.03,1.91,2.21,1.48,2.00,11.57,5.53,2.50,-0.43,2.65,3.90,0.77,0.33,3.74,7.48,10.85,1.43,1.75,1.81,3.82,1.01,0.14,0.75,0.30,0.97,-0.23,0.56,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.30,0.69,1.63,1.73,3.18,0.18,22.87,0.39,-0.17,0.47,-0.11,29.79,
frc6024,21.24,21.49,0.00,3.90,2.01,2.39,2.46,2.11,0.42,2.52,1.82,2.05,12.11,-1.14,-0.67,-0.50,1.15,0.58,-0.48,0.03,1.87,1.26,-0.65,1.90,1.60,1.96,2.09,-0.11,1.36,-0.26,0.69,0.62,-0.06,0.63,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.14,1.14,1.21,0.21,3.90,0.08,15.46,-0.13,-0.24,0.11,-0.12,21.24,
frc2872,7.49,13.04,0.00,3.96,0.66,0.43,0.41,0.39,1.01,0.17,0.56,-0.05,0.08,2.50,5.60,-1.12,1.25,1.76,-0.09,0.16,-1.03,2.66,0.46,1.87,1.85,0.83,1.82,0.29,-0.12,0.89,-0.68,0.81,-0.23,0.86,-0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.90,1.26,0.91,0.34,3.96,0.13,4.56,0.83,-0.29,0.67,-0.24,7.49,
frc7539,18.22,13.14,0.00,3.54,0.81,0.79,1.33,1.88,0.99,1.57,2.39,1.18,7.20,2.65,-0.92,0.69,1.35,0.19,2.33,-0.33,0.93,3.98,1.71,1.68,1.96,2.05,2.57,1.07,0.68,0.60,1.75,-0.45,-0.16,-0.14,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.25,0.85,0.93,0.59,3.54,0.01,13.75,-0.18,0.18,-0.28,0.15,18.22,
frc3017,6.66,16.20,0.00,2.78,0.55,0.32,0.53,0.64,0.03,0.92,0.81,0.66,-1.13,-1.89,-1.26,-0.31,0.05,0.52,1.66,-0.53,2.17,2.08,1.05,1.72,1.79,1.43,0.75,-0.15,0.45,-0.44,0.30,-0.57,-0.34,-0.59,0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.00,1.20,-0.12,2.78,-0.05,1.70,-0.40,-0.06,-0.38,0.05,6.66,
frc5202,7.54,15.51,0.00,3.34,1.60,0.73,1.30,-0.98,0.16,0.54,0.61,0.24,-0.69,-2.49,-1.23,-0.59,1.05,1.12,1.30,0.64,1.91,3.43,-1.62,1.16,1.76,1.45,-0.46,-0.05,-0.15,-0.58,0.07,-0.44,-0.05,-0.34,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.72,1.80,0.66,-0.11,3.34,0.15,2.28,-0.20,-0.02,-0.25,0.02,7.54,
frc303,27.31,19.38,0.00,3.52,2.14,1.92,1.67,0.99,1.21,1.99,1.97,2.59,14.60,2.34,2.57,0.13,2.79,1.24,2.04,0.02,-0.95,6.12,5.33,1.62,1.57,1.80,4.02,2.16,0.21,1.56,0.77,1.17,0.26,0.90,0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.47,1.42,0.95,0.83,3.52,0.26,24.74,0.58,-0.13,0.82,-0.06,27.31,
frc1156,13.06,6.96,0.00,2.80,0.86,1.64,0.52,-0.02,-0.00,0.68,0.54,1.09,4.27,-0.47,0.70,-0.55,0.80,1.75,0.19,0.27,0.21,2.74,-0.74,1.69,1.49,1.71,3.04,0.56,0.53,1.28,0.52,0.34,0.07,0.27,0.54,0.67,0.67,0.67,0.67,0.67,0.67,0.87,1.58,0.40,0.66,2.80,0.04,10.05,0.51,-0.01,0.48,0.06,13.06,
