MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nytr_qm1,blue,frc7400,frc714,frc2875,20,33,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,11,0,0,0,0,20
2019nytr_qm1,red,frc7651,frc5964,frc333,33,20,0,6,5,2,5,2,5,2,0,5,12,0,0,0,3,3,3,0,0,9,0,3,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,27,0,0,0,0,33
2019nytr_qm10,blue,frc2791,frc334,frc694,60,44,0,12,2,2,2,0,0,2,2,0,18,30,30,0,12,3,3,1,0,18,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,3,4,12,0,48,5,0,5,0,60
2019nytr_qm10,red,frc7030,frc6880,frc1551,44,60,0,9,5,5,5,0,5,5,5,5,21,0,0,0,3,3,3,0,3,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,32,0,0,0,0,44
2019nytr_qm11,blue,frc514,frc714,frc5964,20,32,0,9,2,2,2,0,2,0,0,2,0,0,0,0,0,3,3,0,3,6,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,8,0,0,0,0,20
2019nytr_qm11,red,frc7031,frc1493,frc3996,32,20,0,9,2,2,2,0,0,2,2,2,6,0,0,0,3,3,3,1,0,9,0,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,23,2,0,2,0,32
2019nytr_qm12,blue,frc6300,frc639,frc7651,115,30,0,15,5,5,5,2,0,5,5,2,21,0,0,0,3,3,3,0,62,9,0,5,5,5,8,5,0,5,0,2,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,38,0,0,0,0,115
2019nytr_qm12,red,frc3044,frc6484,frc7718,30,115,0,15,5,5,5,0,0,5,2,2,12,0,0,0,3,0,0,14,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,2,15,0,0,0,0,30
2019nytr_qm13,blue,frc20,frc358,frc6621,49,48,0,9,5,5,5,0,0,0,5,5,18,0,0,0,12,3,3,1,0,18,30,5,5,5,4,0,0,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,1,40,0,0,0,0,49
2019nytr_qm13,red,frc2875,frc334,frc5943,48,49,0,12,5,5,5,0,0,5,2,2,12,0,0,0,3,3,3,0,13,9,0,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,23,0,0,0,0,48
