Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7400,9.01,9.95,0.00,2.72,0.88,1.10,1.16,-0.35,-0.52,0.72,0.99,1.08,2.04,-1.29,0.12,-0.91,1.68,0.07,1.37,-0.59,-1.50,3.16,0.33,1.91,1.01,1.75,2.60,0.69,0.79,0.58,0.56,0.30,0.25,0.26,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.33,0.77,1.17,0.47,2.72,-0.00,7.80,0.06,0.21,0.06,-0.08,9.01,
frc714,1.94,10.80,0.00,3.48,0.37,0.34,0.81,0.24,-0.71,0.40,0.44,0.68,0.06,1.65,-0.39,2.36,-0.23,0.57,-0.05,0.20,-1.44,0.27,-3.09,1.90,1.32,1.53,-0.43,-0.28,0.18,-0.10,0.26,-0.08,0.15,-0.19,0.26,0.67,0.67,0.67,0.67,0.67,0.67,1.41,1.64,1.43,-0.32,3.48,-0.06,-0.10,-0.19,0.21,-0.23,0.33,1.94,
frc2875,14.05,6.41,0.00,2.70,1.19,1.31,1.67,-0.48,0.74,1.55,1.05,1.11,3.27,1.81,-0.43,-0.40,0.75,2.28,1.48,-0.48,2.86,4.54,5.12,1.79,1.55,1.19,0.68,-0.13,0.51,-0.10,0.42,-0.07,-0.28,-0.03,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.73,0.91,1.07,0.97,2.70,0.02,8.49,0.26,-0.22,0.24,-0.18,14.05,
frc7651,15.58,11.82,0.00,4.85,0.94,0.59,1.63,-0.19,0.65,1.48,1.49,1.55,5.66,0.76,-0.39,1.39,-0.54,0.21,1.50,0.05,3.88,1.19,-6.61,1.75,1.35,1.81,-0.00,-0.14,0.84,-0.16,0.94,-0.10,0.06,-0.20,0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.77,1.79,0.97,0.20,4.85,-0.04,6.85,-0.19,0.12,-0.20,0.15,15.58,
frc5964,13.49,14.72,0.00,1.71,1.82,2.00,1.83,0.27,1.71,0.73,0.26,1.69,5.53,0.72,-0.29,-1.08,-0.48,3.95,0.08,0.04,1.90,3.54,3.38,0.24,1.76,1.61,0.81,0.52,-0.64,1.22,-0.79,0.35,-0.45,0.14,-0.35,0.67,0.67,0.67,0.67,0.67,0.67,0.76,0.91,1.32,0.44,1.71,0.15,9.88,0.30,-0.35,0.27,-0.27,13.49,
frc333,16.75,17.20,0.00,3.96,2.23,1.14,2.05,1.48,1.75,1.48,1.50,1.35,7.23,-1.54,-0.15,-1.17,1.81,0.25,0.93,0.64,-2.26,3.04,0.41,1.72,1.42,1.77,4.78,0.87,0.11,0.60,0.73,0.07,-0.19,0.01,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.72,0.60,1.04,0.04,3.96,0.09,15.05,-0.16,-0.12,-0.19,-0.16,16.75,
frc2791,28.91,16.16,0.00,4.47,0.34,0.69,0.71,0.01,0.57,0.52,-0.07,-0.73,8.35,14.70,2.49,9.82,3.54,2.49,1.78,0.82,-0.60,7.82,14.16,1.70,1.89,1.52,8.87,0.16,1.39,0.44,1.17,1.18,2.22,1.26,2.07,0.67,0.67,0.67,0.67,0.67,0.67,0.93,2.42,1.22,1.86,4.47,0.09,25.04,1.61,2.31,1.86,2.16,28.91,
frc334,12.02,8.47,0.00,5.27,1.47,1.53,1.61,-0.32,-0.06,0.93,1.03,0.45,2.98,0.56,2.48,-1.62,2.24,0.29,0.40,0.08,0.60,2.95,0.15,1.86,1.85,1.64,0.23,0.77,-0.39,0.63,-0.31,0.19,-0.31,0.27,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.56,1.50,1.68,0.30,5.27,0.02,6.16,0.25,-0.38,0.23,-0.17,12.02,
frc694,26.00,18.53,0.00,3.89,1.27,1.32,1.59,1.85,0.98,1.94,1.87,1.81,10.24,3.34,2.53,1.43,2.14,2.65,1.31,0.55,3.23,6.10,11.97,1.37,1.59,1.70,2.53,-0.14,0.73,0.06,0.92,0.46,0.61,0.36,0.50,0.67,0.67,0.67,0.67,0.67,0.67,1.29,1.52,1.50,1.43,3.89,0.01,18.87,0.31,0.07,0.32,0.17,26.00,
frc7030,15.47,16.63,0.00,5.53,1.91,1.95,2.00,0.07,0.49,2.23,2.25,1.68,7.27,-2.27,-0.17,-1.23,0.40,-0.37,2.27,-0.49,0.32,2.31,-0.38,1.39,1.91,1.86,0.04,-0.34,0.13,-0.62,-0.37,-0.08,0.06,0.04,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.79,1.86,0.98,0.34,5.53,-0.07,9.62,-0.00,0.09,0.01,-0.10,15.47,
frc6880,11.89,5.15,0.00,1.94,0.78,0.90,0.74,-0.21,-0.06,0.51,-0.23,0.09,1.11,-1.93,0.18,-1.25,1.70,1.95,0.62,-0.26,3.96,4.29,6.87,1.54,1.55,1.48,0.59,0.50,-0.14,0.17,0.17,0.39,0.12,0.21,0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.05,1.00,1.59,0.64,1.94,0.01,5.99,-0.13,0.14,-0.16,0.22,11.89,
frc1551,16.63,18.28,0.00,2.01,1.55,1.57,2.19,0.94,2.00,2.22,1.23,1.78,8.47,0.90,-0.24,1.38,2.56,3.47,0.12,0.08,-1.86,5.90,7.44,1.78,1.76,1.02,2.10,0.72,0.19,0.36,0.51,-0.12,-0.10,-0.02,0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.09,0.22,1.43,0.37,2.01,-0.00,16.48,0.02,0.03,-0.19,0.14,16.63,
frc514,13.78,19.75,0.00,4.78,1.45,1.39,0.90,1.39,2.55,-1.18,-0.73,-0.26,1.01,-0.18,-0.13,-0.16,1.49,0.34,1.39,0.29,-0.61,3.21,2.04,1.68,1.25,1.60,5.38,0.02,0.79,0.33,1.11,-0.10,-0.17,-0.06,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.90,1.36,1.80,0.23,4.78,0.03,9.61,-0.05,-0.13,-0.07,-0.11,13.78,
frc7031,9.88,9.45,0.00,4.49,1.58,1.33,1.48,0.06,-0.10,1.24,0.51,1.06,2.77,-0.55,0.15,-0.31,1.39,1.13,0.41,0.70,-1.54,2.97,-0.73,1.66,1.82,1.70,1.21,0.19,-0.25,0.06,-0.29,-0.04,-0.03,0.04,0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.56,2.46,0.92,0.53,4.49,-0.10,6.94,0.22,0.02,0.25,0.07,9.88,
frc1493,29.33,8.75,0.00,3.94,1.33,1.58,1.17,2.59,2.13,1.92,1.60,1.68,11.82,-0.25,0.08,-0.39,0.86,2.49,2.17,-0.09,2.03,5.56,2.02,1.68,1.41,1.64,5.98,1.63,2.21,1.58,0.63,-0.09,0.35,0.00,0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.87,1.09,1.41,0.93,3.94,-0.04,23.36,0.24,0.28,0.23,0.05,29.33,
frc3996,9.11,10.59,0.00,4.43,0.68,0.58,0.88,0.32,-0.34,1.21,1.37,1.09,2.53,2.21,0.07,-0.21,0.72,1.99,0.86,-0.22,-2.38,3.58,1.22,1.71,1.64,1.92,0.95,0.63,-0.11,0.66,-0.10,-0.11,0.21,-0.06,0.26,0.67,0.67,0.67,0.67,0.67,0.67,1.55,1.09,1.55,0.61,4.43,-0.07,7.06,0.13,0.05,0.12,-0.08,9.11,
