MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nyut_qm1,blue,frc3624,frc195,frc2607,58,30,0,12,2,2,2,0,0,2,2,0,12,0,0,0,3,3,12,0,0,18,30,5,5,5,16,2,5,2,5,0,5,0,5,2,2,2,2,2,2,3,6,3,3,12,0,46,0,2,0,2,58
2019nyut_qm1,red,frc527,frc287,frc1665,30,58,0,9,2,2,2,2,0,5,2,2,3,0,0,0,3,3,6,0,0,12,0,5,3,5,6,2,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,21,0,0,0,0,30
2019nyut_qm10,blue,frc810,frc1665,frc4083,44,54,0,12,5,5,5,0,0,2,2,2,9,0,0,0,6,6,3,0,6,15,30,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,26,0,0,0,0,44
2019nyut_qm10,red,frc4203,frc4284,frc2791,54,44,0,12,2,2,2,0,0,0,0,2,12,0,0,0,3,3,12,2,0,18,30,5,5,5,12,2,0,2,0,5,0,5,0,2,2,2,2,2,2,3,3,6,3,12,0,42,5,0,5,0,54
2019nyut_qm11,blue,frc287,frc694,frc145,70,46,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,1,3,18,30,5,5,5,10,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,52,0,0,0,0,70
2019nyut_qm11,red,frc5736,frc4458,frc2590,46,70,0,12,5,5,5,5,5,0,0,5,18,0,0,0,3,0,0,1,3,3,0,5,3,5,10,0,2,2,0,0,0,2,0,2,2,2,2,2,2,6,3,6,0,12,0,31,0,0,0,0,46
2019nyut_qm12,blue,frc2791,frc810,frc4547,139,29,0,15,2,2,5,5,0,5,5,5,15,0,0,0,3,6,3,0,87,12,0,5,5,5,10,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,37,0,0,0,0,139
2019nyut_qm12,red,frc3624,frc639,frc5585,29,139,0,15,2,5,5,0,0,5,0,2,9,0,0,0,0,3,0,29,0,3,0,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,14,0,0,0,0,29
2019nyut_qm13,blue,frc1665,frc145,frc6300,80,56,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,12,3,0,0,21,30,5,5,5,14,0,5,0,5,0,2,0,2,2,2,2,2,2,2,6,3,6,3,15,1,65,0,0,0,2,80
2019nyut_qm13,red,frc4083,frc125,frc3044,56,80,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,6,0,10,9,0,0,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,37,0,0,0,0,56
