Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3624,17.73,22.84,0.00,3.67,0.86,0.41,0.98,0.68,0.69,1.37,1.26,1.14,4.39,-0.64,-1.59,1.56,2.29,0.49,1.01,3.19,4.02,3.76,0.43,1.56,1.38,1.87,1.88,0.30,1.51,0.48,1.29,-0.84,0.18,-0.48,0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.47,1.47,1.47,0.40,3.67,0.04,10.03,-0.62,0.24,-0.57,0.30,17.73,
frc195,25.39,16.97,0.00,3.47,1.84,2.07,1.75,0.08,1.13,1.86,1.89,1.44,11.14,3.24,1.25,-0.32,0.15,1.34,2.58,-0.34,2.16,4.14,4.50,1.67,1.42,1.78,4.49,1.01,1.02,1.39,1.02,0.47,1.25,0.16,0.74,0.67,0.67,0.67,0.67,0.67,0.67,1.29,1.92,1.26,0.87,3.47,0.03,19.76,0.01,0.35,0.14,0.08,25.39,
frc2607,26.10,8.02,0.00,5.64,0.79,0.75,0.28,0.33,0.34,0.07,0.53,0.69,6.52,3.65,4.22,-0.50,1.74,0.68,4.46,-0.82,0.92,6.88,16.48,1.84,1.79,1.85,6.13,0.56,0.58,0.56,0.75,1.42,1.38,1.49,1.35,0.67,0.67,0.67,0.67,0.67,0.67,1.98,1.43,1.35,1.49,5.64,-0.04,19.53,1.88,0.55,1.33,0.54,26.10,
frc527,16.59,25.27,0.00,2.79,1.30,1.83,1.39,0.40,0.39,1.43,1.15,1.43,5.78,3.76,4.40,-0.33,2.97,1.87,0.28,0.16,-0.25,5.14,5.24,1.51,1.80,1.39,3.14,-0.01,1.87,0.10,0.99,0.11,0.03,0.34,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.85,1.66,1.02,0.35,2.79,0.03,14.06,0.20,-0.13,0.24,-0.02,16.59,
frc287,20.66,19.27,0.00,4.91,1.97,0.83,1.36,1.47,0.81,0.72,0.89,0.93,4.81,-3.55,-2.30,-0.90,2.47,1.54,2.49,-0.04,1.14,6.52,6.92,1.67,1.42,1.91,3.28,0.56,0.04,0.60,-0.35,0.70,-0.48,1.00,-0.60,0.67,0.67,0.67,0.67,0.67,0.67,1.62,1.30,2.69,0.33,4.91,-0.09,14.61,0.69,-0.25,0.57,-0.31,20.66,
frc1665,18.32,14.17,0.00,5.28,1.67,1.80,1.69,-0.02,-0.03,2.02,1.39,0.72,5.14,0.20,0.55,-0.13,0.98,1.22,1.50,-0.54,3.71,3.73,3.92,1.84,1.39,1.84,0.46,0.85,0.19,0.58,0.31,0.38,-0.39,0.05,-0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.60,1.88,2.12,0.61,5.28,0.10,9.33,-0.18,-0.37,-0.04,-0.16,18.32,
frc810,24.93,23.16,0.00,5.72,1.52,1.71,2.00,0.53,1.55,1.80,2.30,1.98,6.51,-2.38,-0.90,-1.05,1.16,2.59,1.85,1.58,4.75,5.64,6.16,1.79,1.85,1.95,2.31,-0.07,0.39,-0.14,-0.22,0.20,-0.45,-0.14,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,1.72,1.60,1.67,0.07,5.72,0.09,14.46,-0.41,-0.00,-0.38,0.19,24.93,
frc4083,16.87,17.75,0.00,4.34,1.23,1.31,1.26,2.44,1.32,1.13,1.25,1.06,3.53,-2.75,-1.64,-0.59,0.70,0.08,2.55,-0.38,5.30,3.16,4.97,1.40,1.73,1.46,0.53,-0.22,0.11,-0.17,-0.41,-0.65,0.03,-0.71,-0.46,0.67,0.67,0.67,0.67,0.67,0.67,1.24,1.57,1.65,0.18,4.34,-0.09,7.23,-0.19,-0.05,-0.25,-0.14,16.87,
frc4203,7.68,19.35,0.00,2.88,0.47,1.17,1.22,0.18,1.01,1.03,1.17,1.06,2.41,-2.88,-1.90,-0.73,-0.16,-0.08,1.14,0.71,1.46,0.96,-5.93,1.74,1.42,1.47,-0.02,0.53,-0.65,0.33,-0.31,0.37,-0.37,0.33,-0.56,0.67,0.67,0.67,0.67,0.67,0.67,0.85,1.06,0.62,-0.39,2.88,-0.00,3.35,0.43,-0.39,0.00,-0.40,7.68,
frc4284,17.18,22.60,0.00,3.02,2.20,2.03,2.19,-0.51,0.09,1.33,1.28,2.04,7.21,-0.88,0.47,-0.79,2.16,4.53,1.12,1.15,-2.51,7.81,7.55,1.27,1.49,1.68,1.65,0.79,-0.20,0.77,0.06,0.35,-0.32,0.53,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.37,1.67,1.85,0.48,3.02,0.02,16.67,0.14,0.21,0.23,0.02,17.18,
