MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ohcl_qm1,blue,frc1518,frc5667,frc5053,60,47,0,12,5,5,5,5,5,2,5,5,24,0,0,0,6,3,3,0,0,12,0,5,5,5,12,2,2,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,48,0,0,0,0,60
2019ohcl_qm1,red,frc3484,frc3138,frc2603,47,60,0,12,2,0,2,2,0,5,2,2,9,0,0,0,0,6,6,0,0,12,0,5,5,5,14,0,2,0,0,0,2,0,5,2,2,2,2,2,2,3,6,3,0,12,0,35,0,2,0,5,47
2019ohcl_qm10,blue,frc120,frc7043,frc2010,77,78,0,9,5,5,5,0,0,5,5,5,24,0,0,0,3,3,12,0,20,18,30,5,5,5,6,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,1,9,0,48,0,5,0,5,77
2019ohcl_qm10,red,frc3260,frc5254,frc4121,78,77,0,15,5,5,5,0,5,5,5,5,33,0,0,0,3,12,3,0,0,18,30,5,5,5,12,0,5,2,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,2,63,0,0,0,0,78
2019ohcl_qm11,blue,frc5030,frc379,frc1126,66,56,0,12,5,2,5,5,5,2,2,2,21,0,0,0,0,12,3,0,0,15,30,5,5,5,18,5,0,5,0,2,0,5,0,2,2,2,2,2,2,3,3,6,3,12,1,54,2,0,2,0,66
2019ohcl_qm11,red,frc2603,frc6936,frc4601,56,66,0,12,5,5,5,5,0,5,5,2,18,0,0,0,6,3,3,0,10,12,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,34,0,0,0,0,56
2019ohcl_qm12,blue,frc6964,frc2632,frc695,43,58,0,15,2,0,2,2,2,5,5,5,9,0,0,0,0,3,3,0,3,6,0,5,5,5,10,0,0,0,0,0,2,0,2,2,2,2,2,2,2,6,6,3,0,15,0,25,0,0,0,0,43
2019ohcl_qm12,red,frc3484,frc6027,frc3157,58,43,0,12,2,5,5,5,5,5,0,0,15,0,0,0,0,3,12,1,0,15,30,5,5,5,16,0,0,0,2,0,2,0,2,2,2,2,2,2,2,3,3,6,3,12,0,46,0,2,0,2,58
2019ohcl_qm13,blue,frc3591,frc48,frc7055,55,79,0,9,0,0,0,0,5,5,5,5,12,0,0,0,0,12,0,2,20,12,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,1,26,0,0,0,0,55
2019ohcl_qm13,red,frc3641,frc4119,frc6181,79,55,0,12,2,2,2,0,0,2,2,2,15,0,0,0,12,3,3,0,16,18,30,5,5,5,18,2,5,5,5,0,5,2,5,2,2,2,2,2,2,3,6,3,3,12,2,51,0,0,2,2,79
2019ohcl_qm14,blue,frc1405,frc1590,frc5667,68,47,0,9,5,5,5,5,5,5,5,5,24,0,0,0,12,3,3,0,3,18,30,5,3,5,14,2,0,0,2,2,0,0,2,2,2,2,2,2,2,6,3,3,3,9,0,56,0,0,0,0,68
2019ohcl_qm14,red,frc4521,frc6916,frc3003,47,68,0,12,5,5,5,5,0,2,2,2,12,0,0,0,3,0,12,1,0,15,30,5,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,35,0,0,0,0,47
2019ohcl_qm15,blue,frc3138,frc2172,frc451,48,105,0,15,2,5,5,5,0,5,5,5,18,0,0,0,6,0,3,1,0,9,0,5,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,1,33,0,0,0,0,48
