Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1518,21.69,15.29,0.00,4.09,1.25,1.64,1.82,1.86,1.67,1.76,1.98,1.80,9.54,-0.37,0.05,-0.41,2.77,1.41,1.83,-0.26,-0.99,6.14,2.45,1.88,1.86,1.76,2.91,0.51,0.57,1.00,0.03,0.13,0.65,-0.44,0.85,0.67,0.67,0.67,0.67,0.67,0.67,1.29,0.04,2.05,0.70,4.09,-0.04,18.59,-0.24,0.01,-0.27,-0.09,21.69,
frc5667,20.65,17.96,0.00,2.67,2.01,2.11,2.06,2.67,2.45,0.91,1.53,1.64,7.62,-2.43,-0.80,-1.44,1.83,0.98,0.14,-0.25,1.18,2.87,-5.35,1.61,1.36,1.66,6.30,1.10,-0.16,0.48,0.24,0.23,-0.03,-0.33,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,0.61,1.88,0.62,0.12,2.67,-0.08,16.79,0.30,-0.25,-0.07,-0.54,20.65,
frc5053,28.10,21.46,0.00,5.70,2.10,2.06,1.27,3.53,2.49,1.23,1.34,2.08,13.18,-0.49,0.38,-0.16,3.91,1.84,0.77,-0.07,-2.32,6.67,8.71,2.13,1.47,1.73,4.87,1.52,1.56,1.69,0.76,-0.35,0.02,0.22,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.42,1.44,2.22,0.87,5.70,-0.03,24.71,-0.31,0.61,-0.15,0.68,28.10,
frc3484,21.88,18.91,0.00,2.87,1.03,-0.07,0.70,0.56,1.30,1.07,-0.36,-0.21,9.06,11.68,6.61,5.24,0.25,1.26,1.82,1.12,-1.09,3.32,5.18,1.72,1.74,1.71,7.72,1.77,1.41,0.83,1.30,0.73,1.58,0.51,2.03,0.67,0.67,0.67,0.67,0.67,0.67,1.24,0.93,0.27,1.14,2.87,0.05,20.10,1.23,1.50,0.97,2.25,21.88,
frc3138,21.87,20.39,0.00,6.62,1.14,1.88,1.94,2.67,0.95,1.80,1.90,1.66,9.50,-3.44,-1.15,-2.41,1.66,0.20,2.53,-0.29,-2.18,4.47,0.66,1.91,2.01,1.77,3.47,0.78,0.60,0.87,0.29,-0.00,0.35,-0.28,0.63,0.67,0.67,0.67,0.67,0.67,0.67,1.89,1.61,2.46,0.32,6.62,0.08,17.44,-0.18,-0.11,-0.35,0.24,21.87,
frc2603,13.10,21.82,0.00,3.38,1.80,1.03,1.81,1.21,0.99,1.47,1.74,1.48,4.07,-2.81,-1.41,-0.78,1.03,0.92,3.50,-0.18,-0.69,5.43,7.55,1.72,1.90,1.87,0.91,-0.33,-0.42,-0.00,-0.43,0.10,-0.41,0.38,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,0.84,0.91,1.82,0.10,3.38,-0.04,10.42,-0.32,-0.24,-0.07,0.10,13.10,
frc120,31.77,20.11,0.00,3.22,2.31,2.56,1.73,2.69,1.95,2.40,2.72,2.70,17.76,1.49,-0.22,1.88,2.39,2.54,1.28,0.12,0.68,6.27,7.63,1.96,1.84,1.77,3.83,1.19,1.51,0.50,1.40,0.41,0.58,0.22,0.27,0.67,0.67,0.67,0.67,0.67,0.67,0.31,1.05,1.03,0.91,3.22,0.10,27.86,-0.10,0.87,-0.15,0.89,31.77,
frc7043,5.96,25.51,0.00,3.38,0.52,0.78,1.45,-0.89,0.11,0.66,1.09,0.66,-0.21,4.51,1.98,-0.72,-0.65,1.39,1.03,0.06,1.77,1.70,2.55,0.98,1.54,1.83,-0.68,-0.45,-0.62,-0.65,-0.50,0.06,0.29,0.19,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.35,1.36,1.15,-0.31,3.38,0.05,0.81,0.19,0.16,0.31,0.07,5.96,
frc2010,16.20,22.88,0.00,3.30,1.13,0.87,1.09,-0.10,0.05,1.40,1.36,0.65,0.56,-2.68,0.16,-2.53,2.39,1.53,3.52,0.07,4.52,7.49,7.30,2.08,1.81,1.55,0.32,0.18,-1.10,0.73,-1.24,0.13,-0.52,-0.52,-0.74,0.67,0.67,0.67,0.67,0.67,0.67,0.40,1.23,1.27,0.34,3.30,-0.10,8.38,0.53,0.50,-0.29,0.26,16.20,
frc3260,17.51,25.54,0.00,5.52,2.26,2.42,2.03,0.65,1.71,1.54,2.07,1.24,10.32,1.28,2.32,-0.68,-0.45,-0.57,-0.29,-0.41,-0.63,-1.51,-3.63,1.74,1.57,1.56,3.81,-0.60,1.60,-0.17,1.54,0.46,-0.12,0.72,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.91,2.96,1.14,-0.24,5.52,0.45,12.62,0.16,0.44,0.51,0.42,17.51,
