MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ohmv_qm1,blue,frc279,frc3484,frc6964,53,63,0,12,0,2,5,5,0,5,5,0,12,0,0,0,3,0,12,0,10,15,30,5,5,5,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,3,3,1,12,0,31,0,0,0,0,53
2019ohmv_qm1,red,frc128,frc3324,frc1708,63,53,0,9,5,5,5,5,5,5,5,5,30,0,0,0,0,0,6,0,0,6,0,5,5,5,18,0,5,2,5,0,0,2,0,2,2,2,2,2,2,3,3,3,2,9,1,54,0,0,0,0,63
2019ohmv_qm10,blue,frc144,frc3010,frc677,50,40,0,15,2,2,5,5,5,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,35,0,0,0,0,50
2019ohmv_qm10,red,frc3201,frc3504,frc5667,40,50,0,12,2,2,2,2,0,5,5,5,9,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,3,0,12,0,28,0,0,0,0,40
2019ohmv_qm11,blue,frc2383,frc2172,frc302,53,27,0,9,5,5,5,0,5,5,5,5,21,0,0,0,6,3,0,0,10,9,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,34,0,0,0,0,53
2019ohmv_qm11,red,frc128,frc4269,frc3492,27,53,0,12,0,5,0,2,0,0,0,0,3,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,1,15,0,0,0,0,27
2019ohmv_qm12,blue,frc5724,frc4145,frc1787,42,58,0,12,5,5,5,5,0,0,0,5,15,0,0,0,3,3,3,0,0,9,0,3,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,30,0,0,0,0,42
2019ohmv_qm12,red,frc4150,frc279,frc4028,58,42,0,12,5,5,5,5,5,5,2,2,18,0,0,0,0,6,12,0,0,18,30,5,5,5,10,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,46,0,0,0,0,58
2019ohmv_qm13,blue,frc451,frc6964,frc7434,25,43,0,12,0,0,2,5,0,2,0,0,3,0,0,0,3,0,0,0,3,3,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,10,0,0,0,0,25
2019ohmv_qm13,red,frc1317,frc695,frc4611,43,25,0,15,5,5,0,5,0,0,5,5,15,0,0,0,6,3,0,1,0,9,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,28,0,0,0,0,43
2019ohmv_qm14,blue,frc3777,frc5492,frc1038,48,32,0,15,0,2,0,5,0,5,2,0,6,0,0,0,3,3,3,3,10,9,0,5,5,5,8,0,0,0,2,2,0,0,2,2,2,2,2,2,2,6,6,3,2,15,0,23,0,0,0,0,48
2019ohmv_qm14,red,frc5973,frc1708,frc3266,32,48,0,9,5,2,0,0,0,2,5,5,9,0,0,0,0,0,3,0,9,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,1,14,0,0,0,0,32
