Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc279,14.67,19.60,0.00,5.27,-0.28,-0.34,0.63,0.21,-0.00,0.94,0.83,0.29,-0.17,-1.52,0.00,0.00,2.73,1.70,3.76,-0.16,-0.55,8.21,14.31,1.99,1.81,1.82,1.89,-0.01,0.83,-0.46,0.56,-0.31,0.41,-0.24,0.44,0.67,0.67,0.67,0.67,0.67,0.67,2.02,1.70,2.29,0.50,5.27,-0.07,9.94,-0.04,0.19,0.03,0.18,14.67,
frc3484,20.89,18.00,0.00,2.04,1.13,2.50,1.19,1.17,1.29,1.00,1.95,1.75,8.57,-0.00,0.00,0.00,1.51,-0.23,2.20,0.75,4.43,3.52,7.78,1.33,1.30,1.47,2.34,-0.30,0.45,-0.32,1.05,0.46,-0.03,0.34,0.72,0.67,0.67,0.67,0.67,0.67,0.67,1.60,0.84,0.22,0.59,2.04,-0.06,14.42,0.32,0.11,0.10,0.10,20.89,
frc6964,14.53,23.41,0.00,3.80,-0.17,0.10,1.52,1.31,0.47,2.39,1.83,-0.35,4.17,0.03,0.00,0.00,1.16,-0.53,0.92,0.11,2.94,1.54,-1.72,0.97,1.70,1.15,2.09,-0.79,0.95,0.43,1.28,-0.11,0.05,-0.04,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.81,1.13,0.92,-0.31,3.80,0.12,7.79,-0.09,0.14,-0.03,-0.07,14.53,
frc128,12.85,17.25,0.00,3.38,0.38,1.13,-0.44,1.52,1.78,0.13,0.17,0.37,4.67,-1.49,0.00,0.00,0.88,0.30,-0.27,0.20,-0.82,0.87,-1.73,1.64,1.81,1.74,4.74,0.42,1.47,0.42,1.13,0.35,-0.17,0.18,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,0.90,1.10,0.86,-0.07,3.38,0.20,10.28,0.21,-0.17,-0.03,-0.19,12.85,
frc3324,37.57,18.78,0.00,3.48,1.53,0.58,2.68,2.24,2.83,1.25,1.52,1.15,13.75,3.97,0.00,0.00,1.40,1.34,2.54,0.47,4.64,5.21,6.90,1.72,1.69,1.84,10.50,2.04,2.39,2.73,2.49,0.34,0.32,0.80,0.38,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.42,0.91,1.73,3.48,0.14,29.45,-0.35,-0.06,-0.24,0.19,37.57,
frc1708,12.29,24.21,0.00,2.76,1.16,1.86,1.95,0.42,-0.87,1.43,1.72,1.29,5.90,-0.13,0.00,0.00,1.68,0.26,0.55,0.61,-0.20,2.51,2.46,1.73,1.11,1.75,1.32,-0.00,0.06,-0.24,-0.17,0.09,0.12,-0.26,-0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.49,0.55,0.62,-0.30,2.76,0.16,9.73,0.68,0.60,0.53,0.29,12.29,
frc144,25.41,16.59,0.00,5.06,1.62,1.36,1.58,3.16,2.15,2.54,2.29,2.24,11.36,-1.54,0.00,0.00,2.27,0.43,0.52,0.36,-1.11,3.27,0.43,1.60,1.65,1.36,6.82,1.26,0.64,1.99,0.31,0.04,0.21,-0.15,0.58,0.67,0.67,0.67,0.67,0.67,0.67,2.02,1.92,0.89,0.81,5.06,-0.07,21.46,0.16,-0.08,-0.04,-0.03,25.41,
frc3010,16.68,18.59,0.00,5.14,1.39,1.39,0.86,0.05,0.02,2.22,1.77,1.60,3.51,2.99,0.00,0.00,1.11,1.48,0.91,0.01,5.39,3.45,-1.10,1.77,1.33,2.17,-0.81,0.65,-1.16,0.43,-0.78,0.08,-0.20,-0.13,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.96,1.54,2.67,0.12,5.14,0.00,6.15,-0.00,-0.05,-0.02,-0.16,16.68,
frc677,8.98,18.68,0.00,5.32,0.44,0.77,1.96,0.41,0.27,0.36,1.67,1.24,2.59,-0.20,0.00,0.00,1.43,1.54,-1.17,-0.23,-0.06,1.88,-1.26,1.42,1.92,1.29,-0.74,-0.66,-0.37,-0.92,0.02,-0.20,-0.22,-0.24,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,2.56,1.89,1.30,0.22,5.32,-0.02,3.72,0.08,0.09,-0.06,-0.02,8.98,
frc3201,14.29,17.25,0.00,3.22,0.57,0.88,1.03,0.78,1.79,2.21,2.15,1.89,6.40,0.75,0.00,0.00,1.16,1.14,-0.28,0.04,-0.07,2.04,-1.84,1.52,2.09,1.42,2.71,0.55,0.29,0.51,0.09,0.86,-0.22,0.75,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,0.88,1.79,0.94,0.26,3.22,0.14,11.14,-0.21,-0.21,-0.14,0.20,14.29,
