MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019okok_qm1,blue,frc31,frc6464,frc1410,23,14,0,6,2,2,2,5,0,2,0,2,3,0,0,0,3,0,0,0,3,3,0,5,3,5,8,0,0,0,2,0,2,0,2,2,2,2,2,2,2,3,3,3,2,6,0,14,0,0,0,0,23
2019okok_qm1,red,frc2795,frc2773,frc7464,14,23,0,6,2,2,2,0,5,2,2,2,3,0,0,0,0,3,3,1,0,3,0,3,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,8,0,0,0,0,14
2019okok_qm10,blue,frc3465,frc5621,frc2398,22,29,0,6,2,0,0,2,0,0,0,5,3,0,0,0,3,3,3,0,0,9,0,5,5,3,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,16,0,0,0,0,22
2019okok_qm10,red,frc3179,frc2373,frc7744,29,22,0,9,2,5,5,0,0,5,5,2,12,0,0,0,0,3,3,0,0,6,0,5,5,3,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,6,3,2,9,0,20,0,0,0,0,29
2019okok_qm11,blue,frc3163,frc2395,frc6891,26,39,0,9,2,2,5,2,0,5,2,2,6,0,0,0,3,3,3,2,0,9,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,17,0,0,0,0,26
2019okok_qm11,red,frc2424,frc4005,frc5550,39,26,0,6,5,5,5,5,5,0,2,2,18,0,0,0,0,3,0,0,6,3,0,3,5,5,6,0,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,27,0,0,0,0,39
2019okok_qm12,blue,frc6900,frc4499,frc1619,60,25,0,12,0,2,2,0,0,2,2,0,15,0,0,0,3,6,12,0,0,21,30,5,5,5,12,0,5,0,5,0,5,0,2,2,2,2,2,2,2,3,6,3,3,12,0,48,0,5,0,5,60
2019okok_qm12,red,frc2765,frc3160,frc6026,25,60,0,9,2,2,2,2,2,5,2,2,3,0,0,0,3,3,3,0,0,9,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,16,0,0,0,0,25
2019okok_qm13,blue,frc1209,frc5098,frc4523,44,17,0,9,5,5,5,5,0,5,5,5,21,0,0,0,3,3,6,0,0,12,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,35,0,0,0,0,44
2019okok_qm13,red,frc2986,frc3593,frc3152,17,44,0,3,5,2,5,5,0,2,2,2,9,0,0,0,0,3,3,0,0,3,0,3,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,14,0,0,0,0,17
2019okok_qm14,blue,frc7464,frc31,frc2341,57,45,0,15,5,5,5,2,0,5,2,0,12,0,0,0,3,3,6,0,10,12,0,5,5,5,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,32,0,0,0,0,57
2019okok_qm14,red,frc3931,frc932,frc5889,45,57,0,9,5,5,5,0,0,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,1,36,0,0,0,2,45
