Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc31,15.46,16.82,0.00,3.79,1.08,1.31,1.13,1.84,-0.10,1.25,0.64,0.12,2.55,-0.49,-0.80,0.00,1.13,-0.58,0.38,0.70,5.12,1.08,-2.87,1.90,1.62,1.89,2.91,0.21,0.54,-0.14,-0.55,0.64,0.24,0.72,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.60,0.46,1.08,0.32,3.79,0.07,6.55,-0.08,-0.06,0.01,-0.05,15.46,
frc6464,10.89,9.57,0.00,2.75,0.66,1.31,1.46,0.37,-0.16,1.43,0.97,1.41,2.00,-0.67,-0.41,0.00,1.80,0.94,1.43,-0.04,1.61,4.22,3.74,1.37,1.30,1.31,0.31,-0.79,-0.07,-0.28,0.78,-0.44,-0.06,0.09,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.81,2.00,1.42,0.30,2.75,-0.01,6.53,-0.26,0.02,0.09,-0.05,10.89,
frc1410,20.82,6.04,0.00,3.19,1.08,1.64,1.96,1.28,1.00,1.99,1.79,0.97,12.24,2.16,2.95,0.00,1.32,1.28,-0.84,-0.22,-1.37,1.03,0.03,1.47,1.84,1.72,5.73,1.28,0.22,1.20,1.52,1.34,1.23,1.14,1.46,0.67,0.67,0.67,0.67,0.67,0.67,0.52,0.35,1.85,1.33,3.19,-0.08,18.99,0.81,0.02,0.43,0.29,20.82,
frc2795,13.63,17.10,0.00,2.38,0.76,1.72,1.31,-0.00,2.90,1.29,1.36,1.85,5.99,-0.39,-0.10,0.00,1.96,0.53,2.48,-0.21,-1.27,4.64,3.03,1.82,1.03,1.71,1.89,0.64,-0.39,0.23,0.50,0.40,-0.40,-0.08,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.97,1.00,1.19,0.05,2.38,0.15,12.53,0.45,-0.25,0.12,0.02,13.63,
frc2773,5.01,12.39,0.00,1.82,1.26,0.72,0.66,0.06,0.17,1.07,1.34,1.63,2.80,-0.31,-0.53,0.00,-1.06,1.22,0.11,0.59,1.02,-0.13,-2.82,0.71,0.48,1.67,-0.50,0.08,0.10,0.85,-0.50,0.30,-0.05,0.45,-0.43,0.67,0.67,0.67,0.67,0.67,0.67,0.53,1.54,1.41,-0.22,1.82,-0.04,2.17,-0.22,-0.10,-0.21,-0.07,5.01,
frc7464,16.23,10.48,0.00,5.68,1.59,1.49,2.12,-0.26,0.76,1.78,0.97,1.02,4.62,-0.92,-0.55,0.00,0.66,0.91,2.35,-0.33,0.09,3.53,2.89,1.70,1.44,1.73,2.31,0.10,0.14,0.31,0.11,-0.19,0.25,-0.28,0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.87,1.18,2.12,0.67,5.68,0.10,10.47,-0.21,0.07,-0.06,0.05,16.23,
frc3465,9.85,21.24,0.00,3.25,1.44,1.23,1.24,2.12,0.64,1.24,-0.51,0.77,3.56,-0.25,-0.36,0.00,0.96,0.47,1.32,0.27,-0.62,2.88,0.52,1.83,1.69,1.63,0.77,0.42,-0.35,0.78,-0.67,0.26,-0.48,0.55,-0.46,0.67,0.67,0.67,0.67,0.67,0.67,1.27,0.99,0.67,-0.22,3.25,-0.12,7.22,0.16,-0.13,-0.16,-0.28,9.85,
frc5621,8.99,20.11,0.00,4.81,1.36,0.60,0.54,0.27,-0.61,0.27,0.48,0.58,1.49,-0.21,-0.25,0.00,-0.33,1.63,0.35,0.74,1.02,1.73,3.97,1.63,2.03,1.53,-0.06,-0.52,0.10,-0.50,0.00,-0.13,0.06,-0.19,0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.02,2.08,1.81,-0.19,4.81,0.21,3.16,-0.09,0.14,-0.08,0.14,8.99,
frc2398,5.63,13.40,0.00,2.12,0.43,0.26,0.72,0.12,1.66,0.78,0.69,1.06,1.25,0.12,0.05,0.00,0.84,-0.11,0.14,-0.05,0.11,0.77,-3.88,1.37,1.62,1.14,1.38,0.53,-0.39,0.15,0.58,-0.20,-0.09,-0.33,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.19,0.04,1.81,-0.21,2.12,0.04,3.40,0.01,-0.07,-0.02,0.04,5.63,
frc3179,8.69,13.77,0.00,3.21,0.98,0.90,1.93,0.26,-1.84,1.63,0.55,0.57,1.07,0.39,0.23,0.00,1.51,0.43,2.19,-0.08,0.67,4.30,5.69,1.98,0.87,1.44,-0.55,-0.66,0.02,-0.65,0.01,-0.34,0.50,-0.10,0.85,0.67,0.67,0.67,0.67,0.67,0.67,1.94,2.71,0.93,0.31,3.21,-0.01,4.82,0.06,0.04,-0.03,-0.00,8.69,
frc2373,15.49,20.24,0.00,4.36,2.18,2.22,2.27,1.56,0.76,1.48,1.62,0.48,7.12,0.77,0.53,0.00,-0.61,-0.28,0.31,0.32,1.71,-0.62,-3.16,1.84,0.69,1.67,2.92,-0.09,0.34,-0.05,-0.43,0.17,-0.09,0.34,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.68,1.64,1.48,0.44,4.36,0.22,9.42,0.19,-0.09,0.74,-0.00,15.49,
frc7744,19.02,12.52,0.00,5.78,1.18,1.01,1.90,-0.61,0.94,1.13,1.59,1.63,4.00,-1.04,-0.20,0.00,1.80,1.76,2.29,-0.34,2.16,5.93,6.16,1.66,2.10,1.63,1.15,0.17,-0.25,0.07,0.28,0.45,-0.27,-0.08,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.73,1.44,2.46,0.82,5.78,0.03,11.08,0.16,0.32,-0.11,0.01,19.02,
