MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019onbar_qm1,blue,frc3655,frc3571,frc4015,38,48,0,9,5,5,5,5,0,5,5,5,21,0,0,0,3,0,3,0,0,6,0,5,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,29,0,0,0,0,38
2019onbar_qm1,red,frc7200,frc7902,frc4903,48,38,0,9,5,5,5,0,0,5,5,5,21,0,0,0,3,3,6,0,0,12,0,5,5,5,6,2,0,5,0,0,0,2,0,2,2,2,2,2,2,3,3,3,2,9,0,39,0,0,0,0,48
2019onbar_qm10,blue,frc6461,frc3571,frc6544,42,53,0,15,5,2,5,5,0,5,2,2,12,0,0,0,3,0,0,1,10,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,17,0,0,0,0,42
2019onbar_qm10,red,frc2771,frc3655,frc244,53,42,0,15,5,5,5,0,0,5,5,2,15,0,0,0,3,12,3,0,3,18,30,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,1,35,0,0,0,0,53
2019onbar_qm11,blue,frc7757,frc7902,frc216,24,56,0,15,2,2,2,0,0,5,5,2,6,0,0,0,3,0,0,0,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,9,0,0,0,0,24
2019onbar_qm11,red,frc1305,frc4932,frc2013,56,24,0,9,2,2,2,0,0,5,5,5,21,0,0,0,12,6,6,0,0,18,30,5,5,0,8,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,3,9,0,47,0,0,0,0,56
2019onbar_qm12,blue,frc1325,frc288,frc4015,49,23,0,12,5,5,5,5,0,5,5,5,21,0,0,0,6,3,3,3,0,12,0,5,5,5,4,0,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,37,0,0,0,0,49
2019onbar_qm12,red,frc7664,frc4688,frc781,23,49,0,9,2,2,2,0,2,2,2,2,0,0,0,0,3,0,0,0,9,3,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,5,0,0,0,0,23
2019onbar_qm13,blue,frc6331,frc7200,frc4938,26,67,0,9,2,2,5,0,0,5,5,2,9,0,0,0,0,3,3,0,0,6,0,5,3,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,17,0,0,0,0,26
2019onbar_qm13,red,frc2634,frc4476,frc4903,67,26,0,15,2,2,2,5,5,5,5,5,27,0,0,0,6,0,3,0,0,9,0,5,5,5,16,0,5,0,5,0,2,0,5,2,2,2,2,2,2,6,6,3,2,15,0,52,0,2,0,5,67
2019onbar_qm14,blue,frc6336,frc2771,frc4932,46,24,0,15,2,2,5,0,0,5,5,5,15,0,0,0,3,3,6,0,0,12,0,5,5,5,4,0,0,0,0,5,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,31,2,0,0,0,46
2019onbar_qm14,red,frc7757,frc244,frc3571,24,46,0,15,2,2,5,0,0,2,5,2,6,0,0,0,3,0,0,0,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,9,0,0,0,0,24
2019onbar_qm15,blue,frc288,frc7902,frc3655,40,49,0,15,2,2,2,5,5,2,2,2,6,0,0,0,3,0,12,0,0,15,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,25,0,0,0,0,40
