MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019oncmp2_qm1,blue,frc5406,frc6878,frc6070,75,45,0,12,5,0,5,2,5,5,5,5,24,0,0,0,12,3,0,0,12,15,30,5,5,5,12,2,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,51,0,0,0,0,75
2019oncmp2_qm1,red,frc4814,frc6336,frc5409,45,75,0,15,5,5,5,0,5,5,0,5,18,0,0,0,3,0,3,4,0,6,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,30,0,0,0,0,45
2019oncmp2_qm10,blue,frc2200,frc7757,frc4069,75,83,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,0,12,0,0,18,30,5,5,5,12,0,5,0,5,0,2,0,0,2,2,2,2,2,2,6,6,3,1,15,0,60,0,0,0,0,75
2019oncmp2_qm10,red,frc6140,frc5406,frc4992,83,75,0,15,5,5,5,5,0,5,0,5,36,30,30,0,3,12,3,0,0,18,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,4,15,0,68,5,0,5,0,83
2019oncmp2_qm11,blue,frc6867,frc4903,frc1360,77,67,0,15,5,2,0,5,2,5,2,2,27,30,0,30,3,6,3,0,3,12,0,5,5,5,20,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,59,0,5,0,5,77
2019oncmp2_qm11,red,frc610,frc4343,frc4678,67,77,0,15,5,5,5,2,0,2,5,5,27,0,0,0,3,0,12,1,0,15,30,5,5,5,10,5,0,5,0,0,5,0,5,2,2,2,2,2,2,6,3,6,1,15,0,52,0,0,0,0,67
2019oncmp2_qm12,blue,frc6878,frc2386,frc7480,61,89,0,15,5,5,2,5,5,5,5,5,27,0,0,0,3,3,3,0,0,9,0,5,5,5,10,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,46,0,0,0,0,61
2019oncmp2_qm12,red,frc2056,frc6336,frc2706,89,61,0,15,2,0,2,2,2,5,5,5,33,30,0,30,12,6,3,0,0,21,30,5,5,5,20,5,5,5,5,0,5,0,5,2,2,2,2,2,2,6,3,6,4,15,0,74,0,5,0,5,89
2019oncmp2_qm13,blue,frc2634,frc4920,frc746,40,61,0,12,2,2,0,2,2,2,2,2,0,0,0,0,3,3,3,0,3,9,0,5,5,5,16,2,2,2,2,2,0,2,0,2,2,2,2,2,2,6,3,3,0,12,0,25,0,0,0,0,40
2019oncmp2_qm13,red,frc4039,frc4618,frc2702,61,40,0,12,5,5,5,0,0,5,5,5,21,0,0,0,12,3,3,1,0,18,30,5,5,5,10,5,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,49,0,0,0,0,61
