Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5406,34.45,22.76,0.00,5.32,1.67,0.53,1.94,0.96,0.86,1.43,-0.08,1.95,12.58,5.52,6.90,-0.89,2.36,4.38,-0.08,0.24,2.13,6.66,12.70,1.65,1.69,1.68,7.75,2.58,1.64,2.36,1.63,1.11,0.23,1.19,0.29,0.67,0.67,0.67,0.67,0.67,0.67,2.12,1.74,1.36,1.42,5.32,-0.07,26.99,1.28,0.45,1.10,-0.11,34.45,
frc6878,22.53,19.98,0.00,4.92,1.56,1.56,1.21,2.23,1.32,2.04,1.61,1.55,7.94,-1.53,-1.19,-0.97,1.19,0.30,1.42,0.26,2.50,2.91,-0.15,1.66,1.70,1.66,4.27,1.64,0.27,1.05,1.38,-0.35,-0.00,-0.46,-0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.57,2.22,1.04,0.37,4.92,0.14,15.12,-0.23,-0.43,-0.19,-0.30,22.53,
frc6070,18.80,32.40,0.00,4.72,1.51,1.52,1.88,0.68,1.36,1.44,2.03,1.81,8.54,-0.54,-1.66,-0.98,0.97,1.02,0.47,0.02,0.33,2.46,-1.61,1.66,1.66,1.68,2.74,0.89,0.72,1.06,1.18,0.15,-0.20,-0.24,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.27,1.22,2.22,-0.28,4.72,0.11,13.75,-0.25,-0.25,-0.31,-0.22,18.80,
frc4814,16.09,27.50,0.00,4.88,1.52,1.01,1.85,0.82,1.58,0.83,1.01,0.87,5.12,-3.75,-1.30,-0.77,2.61,-0.46,1.32,0.91,-0.11,3.47,7.02,1.67,1.69,1.68,2.72,0.14,0.86,0.06,0.18,-0.56,0.41,-0.65,0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.32,1.39,2.05,-0.04,4.88,-0.05,11.31,-0.26,0.65,-0.28,0.49,16.09,
frc6336,18.41,20.76,0.00,5.10,0.97,1.79,0.64,1.08,1.51,1.18,1.35,1.93,5.03,0.79,-2.10,0.30,2.15,2.07,3.04,-0.14,-1.21,7.26,7.98,1.66,1.50,1.66,2.23,0.55,-0.77,0.56,-0.43,-0.04,-0.02,-0.10,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.56,2.02,2.05,0.33,5.10,0.05,14.52,-0.19,0.03,-0.23,-0.07,18.41,
frc5409,16.35,25.59,0.00,4.69,1.22,1.93,1.98,0.34,0.27,1.92,1.50,2.00,6.05,-4.25,-1.37,-1.23,0.84,3.97,0.41,0.94,-0.11,5.22,3.07,1.69,1.65,1.50,0.50,0.60,0.73,0.27,0.72,-0.17,-0.83,-0.17,-0.84,0.67,0.67,0.67,0.67,0.67,0.67,1.52,1.59,2.10,0.11,4.69,0.04,11.77,-0.14,-0.47,-0.17,-0.42,16.35,
frc2200,35.07,18.69,0.00,4.83,1.92,2.14,1.58,1.94,2.40,0.89,1.80,2.08,13.10,-1.60,-0.99,1.02,3.18,0.68,4.04,0.10,2.80,7.91,11.58,1.68,1.52,1.68,6.43,0.84,2.28,1.65,1.65,0.30,0.43,0.43,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.67,2.28,1.27,1.52,4.83,-0.04,27.44,-0.02,-0.09,0.14,-0.01,35.07,
frc7757,19.13,21.18,0.00,5.56,1.24,1.69,2.59,0.97,1.04,2.24,1.36,1.69,8.62,0.70,-1.87,3.41,-0.82,1.75,2.72,0.17,-0.80,3.65,4.27,1.68,1.68,1.66,2.09,0.42,0.36,0.12,0.87,-0.65,1.04,-0.72,0.60,0.67,0.67,0.67,0.67,0.67,0.67,2.11,1.54,1.88,0.20,5.56,-0.06,14.36,-0.36,0.56,-0.40,0.36,19.13,
frc4069,25.36,28.98,0.00,3.44,1.70,1.94,1.74,2.42,2.50,1.83,1.49,1.40,12.56,2.05,1.29,-1.10,3.49,1.03,1.26,-0.13,-0.53,5.78,12.09,1.68,1.71,1.68,4.10,0.81,1.18,0.77,0.96,1.02,0.24,1.12,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.79,1.16,1.29,0.59,3.44,-0.03,22.45,0.20,-0.37,0.22,-0.41,25.36,
frc6140,16.77,24.05,0.00,3.63,2.18,2.18,1.73,1.77,1.23,1.81,1.70,1.52,9.92,6.18,4.04,-1.84,1.51,1.66,-0.28,0.34,-0.35,2.88,1.93,1.68,1.50,1.51,0.68,-0.12,0.25,-0.09,0.04,0.37,0.19,0.14,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.71,1.20,1.70,0.15,3.63,0.30,13.49,0.61,-0.38,0.57,0.08,16.77,
