MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019onham_qm1,blue,frc6537,frc4777,frc5406,64,63,0,9,0,5,5,5,5,5,5,5,27,0,0,0,3,3,12,1,0,18,30,3,5,5,10,2,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,55,0,0,0,0,64
2019onham_qm1,red,frc6330,frc2200,frc4907,63,64,0,9,2,2,5,5,5,5,5,5,18,0,0,0,3,12,6,0,3,21,30,3,5,5,12,2,2,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,9,0,51,0,0,0,0,63
2019onham_qm10,blue,frc4907,frc7456,frc6513,52,24,0,9,2,5,5,5,5,2,2,2,12,0,0,0,12,3,3,0,3,18,30,5,5,5,10,2,0,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,40,0,0,0,0,52
2019onham_qm10,red,frc3543,frc4902,frc6537,24,52,0,6,2,5,5,0,0,5,5,5,15,0,0,0,0,0,3,1,0,3,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,18,0,0,0,0,24
2019onham_qm11,blue,frc6323,frc6330,frc3161,26,61,0,9,2,2,2,5,2,2,2,2,3,0,0,0,3,0,3,0,0,6,0,5,3,5,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,17,0,0,0,0,26
2019onham_qm11,red,frc1075,frc6978,frc2386,61,26,0,9,2,5,0,5,5,5,2,5,21,0,0,0,12,6,3,0,0,21,30,3,5,5,10,0,5,0,5,0,2,0,0,2,2,2,2,2,2,6,3,6,3,9,0,52,0,0,0,0,61
2019onham_qm12,blue,frc6865,frc6854,frc2200,50,78,0,9,5,5,5,0,0,0,5,2,18,0,0,0,3,0,12,0,0,15,30,5,5,5,8,5,0,5,2,0,0,0,2,2,2,2,2,2,2,3,3,3,1,9,0,41,0,0,0,0,50
2019onham_qm12,red,frc2056,frc4618,frc6513,78,50,0,15,5,0,5,5,2,2,2,0,27,30,0,30,12,3,3,0,0,18,30,5,5,5,18,0,5,2,5,0,5,0,5,2,2,2,Unknown,Unknown,Unknown,6,3,6,4,15,0,63,0,5,0,5,78
2019onham_qm13,blue,frc5406,frc1325,frc6878,82,76,0,15,5,0,5,0,0,5,0,5,30,30,0,30,12,3,6,1,0,21,30,5,5,5,16,2,5,2,5,0,5,0,5,2,2,2,2,2,2,6,6,3,4,15,2,67,0,5,0,5,82
2019onham_qm13,red,frc7509,frc5032,frc2386,76,82,0,15,2,0,0,5,5,5,5,5,15,0,0,0,3,0,12,0,23,15,30,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,38,0,0,0,0,76
2019onham_qm14,blue,frc3161,frc4907,frc4992,58,49,0,12,5,5,5,5,0,0,5,5,18,0,0,0,3,12,3,0,6,18,30,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,40,0,0,0,0,58
2019onham_qm14,red,frc5076,frc6070,frc5921,49,58,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,2,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,34,0,0,0,0,49
2019onham_qm15,blue,frc6537,frc7456,frc7022,48,48,0,9,5,5,5,5,0,5,5,5,27,0,0,0,3,3,0,0,0,6,0,3,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,1,9,0,39,0,0,0,0,48
2019onham_qm15,red,frc7623,frc6865,frc6978,48,48,0,9,2,5,0,5,5,2,2,2,9,0,0,0,3,3,6,0,0,12,0,5,5,5,18,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,9,0,39,0,0,0,0,48
2019onham_qm16,blue,frc6330,frc7564,frc4902,34,94,0,12,2,5,5,0,0,2,2,2,6,0,0,0,0,3,3,2,10,6,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,6,6,0,12,1,12,0,0,0,0,34
2019onham_qm16,red,frc3543,frc1075,frc2056,94,34,0,15,5,5,5,0,0,2,0,5,30,30,30,0,3,12,6,0,16,21,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,4,15,1,63,5,0,5,0,94
2019onham_qm17,blue,frc6323,frc6342,frc1241,71,51,0,15,2,2,2,0,5,5,5,5,30,30,0,30,3,3,6,0,0,12,0,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,56,0,5,0,5,71
2019onham_qm17,red,frc6009,frc4777,frc6140,51,71,0,12,5,5,5,5,0,5,5,5,21,0,0,0,6,3,3,0,0,12,0,5,5,5,6,0,2,0,0,0,2,0,0,2,2,2,2,2,2,6,3,3,0,12,0,39,0,0,0,0,51
2019onham_qm18,blue,frc1325,frc6978,frc3543,75,55,0,12,5,5,5,0,0,5,5,5,36,30,30,0,6,6,3,0,0,15,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,4,12,0,63,5,0,5,0,75
2019onham_qm18,red,frc6854,frc3161,frc6070,55,75,0,12,5,5,5,0,2,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,10,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,3,6,0,12,0,43,0,0,0,0,55
2019onham_qm19,blue,frc6323,frc2056,frc7564,82,59,0,15,5,0,2,2,5,5,5,5,33,30,0,30,3,12,3,1,0,18,30,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,4,15,0,67,0,5,0,5,82
2019onham_qm19,red,frc5032,frc6140,frc4907,59,82,0,9,5,5,5,5,5,5,5,5,24,0,0,0,0,3,12,0,3,15,30,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,47,0,0,0,0,59
2019onham_qm2,blue,frc3543,frc2386,frc6070,47,77,0,15,5,5,5,0,0,5,5,5,21,0,0,0,0,0,3,1,0,3,0,5,5,5,8,5,2,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,0,15,0,32,0,0,0,0,47
2019onham_qm2,red,frc2056,frc5921,frc7623,77,47,0,15,5,0,2,0,2,5,2,2,24,30,0,30,12,0,3,0,3,15,30,5,5,5,20,2,5,2,5,0,5,2,5,2,2,2,2,2,2,6,6,3,4,15,0,59,0,5,0,5,77
2019onham_qm20,blue,frc4902,frc5921,frc4618,57,38,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,0,6,9,0,5,5,5,6,0,0,0,0,0,2,0,2,2,2,2,2,2,2,6,6,3,2,15,0,36,0,0,0,0,57
2019onham_qm20,red,frc6537,frc6342,frc7623,38,57,0,6,5,5,5,5,5,5,2,0,18,0,0,0,0,3,3,2,0,6,0,5,3,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,32,0,0,0,0,38
2019onham_qm21,blue,frc4777,frc4992,frc2386,60,43,0,15,2,5,5,0,0,2,5,2,18,0,0,0,0,3,12,0,0,15,30,5,5,5,12,2,5,0,5,0,5,0,2,2,2,2,2,2,2,3,6,6,3,15,0,45,0,0,0,0,60
2019onham_qm21,red,frc6330,frc6865,frc5076,43,60,0,9,2,2,2,0,0,5,5,5,12,0,0,0,12,3,3,0,0,18,30,3,5,5,4,2,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,9,0,34,0,0,0,0,43
2019onham_qm22,blue,frc6878,frc7509,frc7022,36,64,0,9,2,2,2,0,0,0,0,0,3,0,0,0,6,0,12,0,0,18,30,3,5,5,6,2,2,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,1,9,0,27,0,0,0,0,36
2019onham_qm22,red,frc1075,frc6513,frc2200,64,36,0,12,5,5,5,5,5,5,5,5,24,0,0,0,12,0,6,0,0,18,30,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,52,0,0,0,0,64
2019onham_qm23,blue,frc7456,frc6009,frc3543,44,92,0,15,5,5,5,0,5,5,2,2,15,0,0,0,3,6,0,0,3,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,26,0,0,0,0,44
2019onham_qm23,red,frc5406,frc1241,frc2386,92,44,0,15,5,0,5,0,0,2,2,2,33,30,30,0,12,6,6,1,0,24,30,5,5,5,20,5,5,5,5,5,0,5,0,2,2,2,2,2,2,6,6,3,4,15,0,77,5,5,5,2,92
2019onham_qm24,blue,frc6323,frc2200,frc7509,75,76,0,15,2,5,5,5,5,5,5,5,27,0,0,0,3,12,6,1,0,21,30,5,5,5,12,2,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,60,0,0,0,0,75
2019onham_qm24,red,frc6342,frc2056,frc4992,76,75,0,15,2,2,5,5,0,5,5,5,24,0,0,0,3,12,3,0,3,18,30,5,5,5,16,0,5,0,5,0,2,0,5,2,2,2,2,2,2,6,6,3,3,15,0,58,0,2,0,2,76
2019onham_qm25,blue,frc5032,frc6513,frc7564,35,69,0,15,2,2,2,5,0,2,2,2,3,0,0,0,3,0,0,3,0,3,0,5,5,5,14,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,0,15,0,20,2,0,2,0,35
2019onham_qm25,red,frc6009,frc3161,frc5076,69,35,0,15,5,5,5,5,0,5,5,5,21,0,0,0,6,3,3,0,9,12,0,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,45,0,0,0,0,69
2019onham_qm26,blue,frc6140,frc5406,frc6865,64,48,0,15,2,0,5,5,0,5,5,5,15,0,0,0,3,12,3,0,10,18,30,5,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,1,39,0,0,0,0,64
2019onham_qm26,red,frc7623,frc7456,frc4902,48,64,0,12,2,5,5,0,5,5,5,5,18,0,0,0,3,0,3,0,10,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,1,26,0,0,0,0,48
2019onham_qm27,blue,frc6537,frc6330,frc1325,57,54,0,15,2,2,2,5,0,5,5,5,24,0,0,0,3,3,0,1,0,6,0,5,5,5,12,0,0,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,2,15,0,42,0,2,0,5,57
2019onham_qm27,red,frc5921,frc7022,frc6854,54,57,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,12,3,0,3,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,36,0,0,0,0,54
2019onham_qm28,blue,frc6878,frc1075,frc4618,56,59,0,15,5,5,5,0,5,0,2,2,12,0,0,0,6,12,3,0,0,21,30,5,5,5,8,2,0,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,1,15,0,41,0,0,0,0,56
2019onham_qm28,red,frc1241,frc4777,frc6070,59,56,0,15,5,5,5,0,2,5,5,5,24,0,0,0,6,3,3,0,0,12,0,5,5,5,8,0,5,0,5,0,2,0,0,2,2,2,2,2,2,6,6,3,2,15,0,44,0,0,0,0,59
2019onham_qm29,blue,frc6978,frc6140,frc7509,56,74,0,12,5,5,5,5,5,5,5,5,24,0,0,0,6,3,3,0,0,12,0,5,5,5,8,0,0,0,0,2,0,2,0,2,2,2,2,2,2,3,3,6,0,12,0,44,0,0,0,0,56
2019onham_qm29,red,frc6865,frc4907,frc1325,74,56,0,15,5,5,5,0,0,5,5,5,27,0,0,0,3,12,3,0,0,18,30,5,5,5,14,2,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,59,2,0,2,0,74
2019onham_qm3,blue,frc6513,frc7022,frc6140,53,67,0,15,5,5,5,5,5,5,5,5,27,0,0,0,0,3,0,0,0,3,0,5,5,5,8,5,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,38,0,0,0,0,53
2019onham_qm3,red,frc4618,frc4992,frc5032,67,53,0,12,5,5,5,5,0,5,5,5,33,0,0,0,0,3,3,0,0,6,0,5,5,5,16,5,5,5,5,2,0,2,0,2,2,2,2,2,2,3,6,3,2,12,0,55,0,0,2,0,67
2019onham_qm30,blue,frc2056,frc2386,frc5076,86,63,0,15,5,5,5,0,0,5,2,5,33,30,30,0,12,6,3,0,3,21,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,4,15,0,68,5,0,5,0,86
2019onham_qm30,red,frc6878,frc6323,frc6537,63,86,0,12,5,5,5,2,5,5,5,5,27,0,0,0,6,3,3,1,0,12,0,5,5,5,12,2,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,51,0,0,0,0,63
2019onham_qm31,blue,frc6854,frc4902,frc4907,62,74,0,12,5,5,0,5,5,0,5,5,18,30,0,0,3,3,12,0,0,18,30,5,5,5,14,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,3,2,12,0,50,2,0,0,0,62
2019onham_qm31,red,frc2200,frc4992,frc7456,74,62,0,12,2,2,0,0,5,5,5,5,30,30,0,30,12,3,3,0,0,18,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,3,4,12,0,62,0,5,0,5,74
2019onham_qm32,blue,frc7623,frc7564,frc1241,61,44,0,15,2,2,2,0,0,2,2,2,18,30,0,30,3,3,6,0,0,12,0,5,5,5,16,2,5,0,5,2,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,46,0,5,0,5,61
2019onham_qm32,red,frc7022,frc3543,frc6330,44,61,0,9,2,5,5,5,0,5,5,5,18,0,0,0,12,0,3,0,0,15,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,9,0,35,0,0,0,0,44
2019onham_qm33,blue,frc3161,frc4618,frc6342,41,79,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,1,0,9,0,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,29,0,0,0,0,41
