MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019onlon_qm1,blue,frc3739,frc1360,frc6202,64,40,0,15,2,2,5,0,0,5,5,5,21,0,0,0,12,3,3,0,0,18,30,5,5,5,10,0,5,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,49,0,5,0,5,64
2019onlon_qm1,red,frc4951,frc6110,frc3756,40,64,0,12,0,0,0,5,5,5,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,Unknown,3,3,6,0,12,0,28,0,0,0,0,40
2019onlon_qm10,blue,frc2702,frc7659,frc6331,73,44,0,12,5,5,5,5,5,2,2,2,27,0,0,0,12,3,0,0,3,15,30,5,5,5,16,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,3,12,0,58,0,0,2,0,73
2019onlon_qm10,red,frc4976,frc6052,frc6339,44,73,0,12,5,5,2,5,0,5,2,2,12,0,0,0,12,3,3,1,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,32,0,0,0,0,44
2019onlon_qm11,blue,frc5483,frc7475,frc4940,23,73,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,10,3,0,5,5,0,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,1,7,0,0,0,0,23
2019onlon_qm11,red,frc781,frc5408,frc5834,73,23,0,15,2,2,5,5,5,5,5,5,18,0,0,0,3,6,12,0,13,21,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,1,45,0,0,0,0,73
2019onlon_qm12,blue,frc7058,frc3739,frc6162,71,24,0,15,5,5,5,5,0,5,5,5,21,30,0,0,3,6,3,0,13,12,0,5,5,5,10,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,43,0,0,0,0,71
2019onlon_qm12,red,frc6856,frc6992,frc5288,24,71,0,12,5,2,5,0,0,2,5,2,9,0,0,0,3,0,0,1,0,3,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,1,12,0,0,0,0,24
2019onlon_qm13,blue,frc6130,frc3756,frc6725,49,45,0,15,5,5,5,0,0,5,5,5,18,30,0,0,6,0,3,0,3,9,0,5,5,5,4,0,0,0,2,0,2,0,0,2,2,2,2,2,2,6,3,6,3,15,1,31,0,0,0,0,49
2019onlon_qm13,red,frc2609,frc5689,frc4617,45,49,0,6,2,2,0,5,2,5,5,5,12,0,0,0,6,3,0,1,10,9,0,5,5,3,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,29,0,0,0,0,45
2019onlon_qm14,blue,frc4814,frc4595,frc4976,75,51,0,12,5,5,5,5,2,5,5,5,33,0,0,0,6,0,12,0,0,18,30,5,5,5,12,5,5,5,5,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,63,0,0,0,0,75
2019onlon_qm14,red,frc6481,frc5024,frc6339,51,75,0,15,5,5,5,5,5,2,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,36,0,0,0,0,51
2019onlon_qm15,blue,frc2702,frc4525,frc6052,61,44,0,12,5,5,5,5,0,2,2,2,18,0,0,0,6,6,3,1,6,15,30,5,5,5,10,2,0,0,0,5,0,5,0,2,2,2,2,2,2,3,6,3,3,12,0,43,2,0,0,0,61
2019onlon_qm15,red,frc1360,frc6331,frc5821,44,61,0,9,2,5,2,5,2,5,5,5,18,0,0,0,3,3,0,2,3,6,0,5,5,3,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,32,0,2,0,5,44
2019onlon_qm16,blue,frc6130,frc4617,frc6881,57,43,0,15,5,5,5,5,0,5,5,5,21,0,0,0,6,3,0,1,10,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,32,0,0,0,0,57
2019onlon_qm16,red,frc3756,frc3739,frc7475,43,57,0,15,2,2,5,0,0,5,5,5,12,0,0,0,3,3,3,0,3,9,0,5,5,5,4,0,0,0,0,0,2,0,0,2,2,2,2,2,2,6,6,3,0,15,1,25,0,0,0,0,43
2019onlon_qm17,blue,frc6992,frc5699,frc4940,53,69,0,15,2,5,5,0,5,5,5,5,18,0,0,0,3,3,12,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,38,0,0,0,0,53
2019onlon_qm17,red,frc7058,frc6856,frc4814,69,53,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,0,6,0,0,12,0,5,5,5,12,0,5,2,5,0,2,0,0,2,2,2,2,2,2,6,3,6,2,15,0,54,0,0,0,0,69
2019onlon_qm18,blue,frc6162,frc5288,frc781,21,78,0,12,2,5,5,0,0,2,2,2,6,0,0,0,0,0,3,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,1,9,0,0,0,0,21
2019onlon_qm18,red,frc7659,frc6378,frc4951,78,21,0,12,5,5,5,5,5,5,5,5,27,0,0,0,3,3,3,0,10,9,0,5,5,5,20,2,5,2,2,0,2,2,0,2,2,2,2,2,2,3,3,6,2,12,0,56,0,0,0,0,78
2019onlon_qm19,blue,frc6202,frc5024,frc6110,60,57,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,0,3,0,10,3,0,5,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,35,0,0,0,0,60
2019onlon_qm19,red,frc6725,frc5483,frc5870,57,60,0,15,5,2,5,0,0,5,5,2,24,0,0,0,0,3,3,0,0,6,0,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,0,15,1,42,2,0,2,0,57
2019onlon_qm2,blue,frc5821,frc4525,frc5288,54,76,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,1,39,0,0,0,0,54
2019onlon_qm2,red,frc7058,frc4976,frc4617,76,54,0,15,5,5,5,0,5,5,5,2,24,0,0,0,6,12,3,0,10,21,30,5,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,51,0,0,0,0,76
2019onlon_qm20,blue,frc7722,frc5408,frc5689,64,63,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,6,3,0,0,21,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,1,49,0,0,0,0,64
2019onlon_qm20,red,frc5834,frc5596,frc2609,63,64,0,6,5,5,0,5,2,0,5,5,18,0,0,0,12,6,3,0,10,21,30,3,5,5,8,2,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,6,0,47,0,0,0,0,63
2019onlon_qm21,blue,frc6331,frc7058,frc3756,53,66,0,15,5,5,5,0,0,5,5,5,21,0,0,0,0,6,3,0,0,9,0,5,5,5,8,0,5,0,2,0,2,0,2,2,2,2,2,2,2,6,3,6,0,15,0,38,0,0,0,0,53
2019onlon_qm21,red,frc6992,frc3739,frc4595,66,53,0,15,5,5,5,0,5,5,5,5,27,0,0,0,3,12,3,0,0,18,30,5,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,51,0,0,0,0,66
2019onlon_qm22,blue,frc4814,frc5870,frc2702,50,58,0,15,2,2,2,0,5,5,5,5,15,0,0,0,6,3,3,0,0,12,0,5,5,5,8,5,0,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,35,0,0,0,0,50
2019onlon_qm22,red,frc4617,frc1360,frc6378,58,50,0,12,5,5,5,2,0,2,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,16,2,5,2,5,2,0,2,2,2,2,2,2,2,2,6,3,3,2,12,0,46,0,0,0,0,58
2019onlon_qm23,blue,frc5596,frc6110,frc5288,44,34,0,12,5,2,5,5,5,2,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,32,0,0,0,0,44
2019onlon_qm23,red,frc6856,frc5821,frc6881,34,44,0,12,5,5,5,0,0,5,5,2,15,0,0,0,0,3,0,0,0,3,0,5,5,5,4,0,0,0,0,0,0,2,0,2,2,2,2,2,2,3,6,3,0,12,0,22,0,0,2,0,34
2019onlon_qm24,blue,frc4951,frc5699,frc6339,45,35,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,3,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,27,0,0,0,0,45
2019onlon_qm24,red,frc4525,frc5689,frc6725,35,45,0,15,2,5,5,5,0,2,5,5,15,0,0,0,0,3,0,1,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,20,0,0,0,0,35
2019onlon_qm25,blue,frc5483,frc4976,frc6202,74,47,0,15,5,5,5,5,5,5,5,2,27,0,0,0,3,12,3,0,0,18,30,5,5,5,14,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,59,0,0,0,0,74
2019onlon_qm25,red,frc6130,frc2609,frc781,47,74,0,15,5,5,0,0,2,5,5,5,15,0,0,0,6,6,3,0,0,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,32,0,0,0,0,47
2019onlon_qm26,blue,frc7475,frc5408,frc6481,47,43,0,12,5,5,5,5,5,5,5,2,21,0,0,0,0,3,3,1,0,6,0,0,5,5,8,2,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,35,0,0,0,0,47
2019onlon_qm26,red,frc7722,frc6162,frc7659,43,47,0,12,5,5,5,5,5,2,2,0,15,0,0,0,3,0,0,0,3,3,0,5,5,5,10,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,28,0,0,0,0,43
2019onlon_qm27,blue,frc5834,frc6052,frc6725,44,54,0,15,5,5,5,0,2,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,29,0,0,0,0,44
2019onlon_qm27,red,frc4940,frc5024,frc3739,54,44,0,15,5,5,5,5,0,0,5,2,15,0,0,0,0,6,12,0,0,18,30,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,39,0,0,0,0,54
2019onlon_qm28,blue,frc6881,frc4814,frc6378,47,40,0,12,2,5,5,5,5,5,5,2,18,0,0,0,3,0,0,0,0,3,0,5,5,5,14,2,2,2,2,2,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,35,0,0,0,0,47
2019onlon_qm28,red,frc4595,frc6202,frc7058,40,47,0,12,5,5,5,5,0,2,2,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,28,0,0,0,0,40
2019onlon_qm29,blue,frc5870,frc5821,frc4617,49,42,0,15,2,5,5,5,2,5,5,5,18,0,0,0,3,3,3,0,3,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,31,0,0,0,0,49
2019onlon_qm29,red,frc5699,frc6331,frc5483,42,49,0,12,5,5,5,5,0,2,5,2,15,0,0,0,3,3,3,1,0,9,0,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,30,0,0,0,0,42
2019onlon_qm3,blue,frc6162,frc5596,frc5699,18,39,0,6,2,2,0,0,0,5,5,2,6,0,0,0,3,0,3,0,0,6,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,12,0,0,0,0,18
2019onlon_qm3,red,frc2609,frc2702,frc4595,39,18,0,9,2,2,2,0,5,0,2,2,3,0,0,0,6,0,3,0,0,9,0,5,5,5,18,2,2,2,2,0,2,0,2,2,2,2,2,2,2,3,3,3,2,9,0,30,0,2,0,2,39
2019onlon_qm30,blue,frc7722,frc2609,frc3756,48,49,0,9,5,2,5,5,5,0,5,5,18,0,0,0,3,6,0,1,0,9,0,3,5,5,12,2,2,2,0,0,0,0,2,2,2,2,2,2,2,6,3,6,0,9,0,39,0,0,0,0,48
2019onlon_qm30,red,frc1360,frc4951,frc5024,49,48,0,12,5,5,5,5,5,2,2,5,18,0,0,0,3,0,3,0,3,6,0,5,5,5,10,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,34,0,0,0,0,49
2019onlon_qm31,blue,frc4940,frc7659,frc6110,55,45,0,9,5,5,0,5,5,5,5,0,18,0,0,0,12,3,3,0,0,18,30,5,5,5,10,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,46,0,0,0,0,55
2019onlon_qm31,red,frc5408,frc6162,frc4525,45,55,0,12,2,2,2,5,5,5,5,2,12,0,0,0,6,3,3,0,0,9,0,5,0,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,33,0,0,0,0,45
2019onlon_qm32,blue,frc5834,frc6339,frc6856,37,64,0,15,5,5,5,2,2,2,5,2,12,0,0,0,3,3,0,1,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,22,0,0,0,0,37
2019onlon_qm32,red,frc6130,frc5689,frc2702,64,37,0,12,5,5,5,2,5,2,2,2,18,0,0,0,6,3,6,0,3,15,30,5,5,5,16,2,0,2,0,2,0,2,0,2,2,2,2,2,2,6,3,3,3,12,0,49,5,0,5,0,64
2019onlon_qm33,blue,frc6052,frc5288,frc6481,42,31,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,27,0,0,0,0,42
2019onlon_qm33,red,frc4976,frc6992,frc7475,31,42,0,9,2,2,2,5,0,2,2,2,6,0,0,0,6,3,0,0,0,6,0,5,0,5,10,2,2,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,22,0,0,0,0,31
2019onlon_qm34,blue,frc781,frc4617,frc4951,45,33,0,15,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,0,0,6,0,5,5,5,6,0,0,0,0,2,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,30,2,0,0,0,45
2019onlon_qm34,red,frc5596,frc4595,frc6331,33,45,0,12,5,5,5,0,0,0,5,5,15,0,0,0,3,0,3,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,21,0,0,0,0,33
2019onlon_qm35,blue,frc5024,frc2609,frc6881,74,54,0,15,2,5,5,5,5,5,5,5,21,0,0,0,12,6,3,2,3,21,30,5,5,5,14,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,56,0,0,0,0,74
2019onlon_qm35,red,frc5483,frc7722,frc5821,54,74,0,12,5,5,5,5,0,5,5,5,21,30,0,0,3,3,3,1,6,9,0,5,5,5,6,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,6,3,1,12,0,36,0,2,0,0,54
2019onlon_qm36,blue,frc6992,frc2702,frc1360,52,63,0,12,2,5,5,5,0,2,2,2,18,0,0,0,3,6,3,0,0,12,0,5,5,5,10,0,0,5,0,5,0,2,0,2,2,2,2,2,2,6,3,3,0,12,0,40,5,0,0,0,52
2019onlon_qm36,red,frc6725,frc4940,frc6202,63,52,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,12,3,0,0,18,30,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,48,0,0,0,0,63
2019onlon_qm37,blue,frc3739,frc5699,frc5689,73,35,0,12,5,5,5,5,5,5,2,2,27,0,0,0,12,3,3,0,0,18,30,5,5,5,16,5,0,5,0,5,0,2,0,2,2,2,2,2,2,6,3,3,3,12,0,61,2,0,2,0,73
2019onlon_qm37,red,frc4976,frc781,frc6481,35,73,0,15,2,2,2,2,0,5,5,2,12,0,0,0,0,0,0,0,0,0,0,5,5,5,8,2,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,20,0,0,0,0,35
2019onlon_qm38,blue,frc6052,frc5408,frc7058,63,36,0,15,5,5,5,5,5,5,2,5,21,0,0,0,3,6,6,0,0,15,30,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,48,0,0,0,0,63
2019onlon_qm38,red,frc6339,frc6162,frc6378,36,63,0,6,2,5,5,5,2,2,0,0,9,0,0,0,3,3,3,0,0,9,0,3,5,5,12,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,30,0,0,0,0,36
2019onlon_qm39,blue,frc6856,frc6130,frc7475,28,78,0,6,2,2,2,5,5,5,5,5,15,0,0,0,0,0,3,1,0,3,0,5,0,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,22,0,0,0,0,28
2019onlon_qm39,red,frc6110,frc4814,frc4525,78,28,0,15,5,5,5,5,5,5,5,2,33,0,0,0,3,6,6,0,3,15,30,5,5,5,12,5,5,5,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,60,0,0,0,0,78
2019onlon_qm4,blue,frc5689,frc6331,frc6481,26,58,0,9,2,2,5,0,0,5,5,5,12,0,0,0,0,3,0,0,0,3,0,5,3,5,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,6,6,0,9,0,17,0,0,0,0,26
2019onlon_qm4,red,frc4814,frc4940,frc7722,58,26,0,15,2,5,5,5,5,5,5,5,27,0,0,0,0,3,3,0,0,6,0,5,5,5,10,0,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,43,0,0,0,0,58
2019onlon_qm40,blue,frc5596,frc3756,frc5870,60,57,0,15,5,5,5,0,2,5,5,5,18,0,0,0,6,0,3,0,10,9,0,5,5,5,8,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,35,0,0,0,0,60
2019onlon_qm40,red,frc5288,frc7659,frc5834,57,60,0,15,5,0,0,5,5,0,5,5,18,0,0,0,3,3,12,0,0,18,30,5,5,5,6,0,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,1,42,0,0,0,0,57
2019onlon_qm41,blue,frc7058,frc781,frc5483,38,47,0,15,5,5,2,0,0,2,2,2,9,0,0,0,0,3,3,0,0,6,0,5,5,5,8,2,2,0,5,2,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,23,0,0,0,0,38
2019onlon_qm41,red,frc6725,frc6481,frc7722,47,38,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,32,0,0,0,0,47
2019onlon_qm42,blue,frc3739,frc4617,frc6339,36,56,0,12,2,2,2,5,0,5,5,5,12,0,0,0,3,0,3,0,0,6,0,5,5,3,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,24,0,0,0,0,36
2019onlon_qm42,red,frc4595,frc4940,frc1360,56,36,0,9,2,5,5,0,5,5,5,2,15,0,0,0,3,12,3,0,0,18,30,5,5,5,14,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,47,2,0,2,0,56
2019onlon_qm43,blue,frc2609,frc5288,frc6378,72,79,0,15,5,5,5,5,5,2,2,2,27,0,0,0,6,3,3,4,0,12,0,5,5,5,18,2,5,5,5,2,5,0,2,2,2,2,2,2,2,6,6,3,0,15,0,57,0,0,0,0,72
