MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019onnob_qm1,blue,frc1246,frc6864,frc610,43,70,0,15,5,5,5,5,5,5,2,2,18,0,0,0,0,3,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,28,0,0,0,0,43
2019onnob_qm1,red,frc1305,frc4152,frc6514,70,43,0,15,5,5,5,0,5,2,5,2,27,0,0,0,3,6,3,0,0,12,0,5,5,5,16,2,5,0,5,2,5,0,5,2,2,2,2,2,2,3,6,6,2,15,0,55,0,0,0,0,70
2019onnob_qm10,blue,frc6865,frc2013,frc610,56,72,0,12,5,5,5,5,0,5,5,5,27,0,0,0,3,3,3,1,0,9,0,5,5,5,8,0,0,0,2,0,5,0,5,2,2,2,2,2,2,3,6,3,0,12,0,44,0,0,0,0,56
2019onnob_qm10,red,frc2994,frc6461,frc1310,72,56,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,6,6,0,3,24,30,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,54,0,0,0,0,72
2019onnob_qm11,blue,frc6632,frc2706,frc4946,56,46,0,15,2,2,2,2,0,5,5,2,6,30,0,0,3,3,12,1,9,18,30,5,5,5,8,0,2,0,0,0,0,0,2,2,2,2,2,2,2,6,3,6,4,15,0,32,0,0,0,0,56
2019onnob_qm11,red,frc4678,frc6135,frc6987,46,56,0,15,5,2,0,0,0,5,5,5,12,0,0,0,3,6,3,3,3,12,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,28,0,0,0,0,46
2019onnob_qm12,blue,frc3543,frc6336,frc2013,50,65,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,0,3,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,32,0,0,0,0,50
2019onnob_qm12,red,frc1310,frc1305,frc6864,65,50,0,9,5,5,5,0,0,5,5,5,30,0,0,0,12,3,3,1,0,18,30,5,5,3,8,5,5,5,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,9,0,56,0,0,0,0,65
2019onnob_qm13,blue,frc6461,frc4946,frc4678,93,27,0,15,2,2,2,5,0,5,5,2,27,30,0,30,6,6,12,0,13,24,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,4,15,0,65,0,5,0,5,93
2019onnob_qm13,red,frc6865,frc5672,frc4783,27,93,0,15,2,5,2,0,0,0,0,0,3,0,0,0,3,3,3,1,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,1,12,0,0,0,0,27
