Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1246,20.99,21.23,-0.02,5.77,1.57,1.99,2.08,0.67,1.53,1.33,1.76,1.81,9.89,-1.06,-0.19,-0.34,1.14,1.77,0.75,-0.08,0.22,3.67,1.29,1.69,1.80,1.81,1.46,0.65,0.52,0.70,0.95,0.21,-0.17,0.45,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.92,1.39,1.70,0.28,5.77,0.14,15.02,-0.10,-0.17,-0.22,-0.22,20.99,
frc6864,9.05,22.96,-0.01,4.09,1.49,1.65,1.85,1.09,0.64,1.32,1.37,0.57,4.79,-0.43,0.07,-0.49,-0.29,1.56,0.13,0.16,-2.01,1.40,-2.99,1.70,1.58,0.94,0.78,0.32,0.82,0.11,0.17,-0.26,-0.21,-0.29,-0.27,0.67,0.67,0.67,0.67,0.67,0.67,2.22,1.93,1.58,-0.28,4.09,0.07,6.97,-0.06,-0.12,-0.10,-0.03,9.05,
frc610,21.37,18.38,0.16,3.86,1.23,1.18,1.45,1.13,0.73,1.70,1.37,1.65,8.02,1.12,-0.33,-0.91,-0.15,2.81,1.41,-0.05,1.80,4.06,5.90,1.48,1.72,1.74,3.46,-0.15,-0.26,0.33,0.14,0.38,1.17,0.92,0.92,0.67,0.67,0.67,0.67,0.67,0.67,1.11,0.96,1.74,0.80,3.86,-0.04,15.55,0.05,0.39,0.63,0.61,21.37,
frc1305,31.16,20.27,-0.03,3.67,1.54,1.23,1.59,-0.57,0.91,1.27,1.53,0.82,10.80,4.18,2.39,2.25,2.37,3.28,2.52,-0.07,1.43,8.16,17.52,1.69,1.73,1.54,7.12,2.02,1.69,1.79,2.08,0.28,1.19,-0.06,1.43,0.67,0.67,0.67,0.67,0.67,0.67,1.37,0.87,1.59,1.60,3.67,0.08,26.09,0.36,0.65,0.21,0.82,31.16,
frc4152,25.82,20.42,-0.02,5.47,1.86,2.01,1.60,1.92,0.36,0.87,1.10,0.78,9.67,1.53,2.09,-0.37,1.80,1.15,1.55,-0.01,-0.63,4.50,2.50,1.70,1.75,1.70,6.82,1.80,1.16,1.47,0.41,1.19,0.30,1.35,0.64,0.67,0.67,0.67,0.67,0.67,0.67,1.77,1.82,1.47,0.58,5.47,0.01,20.99,0.47,-0.21,1.04,-0.06,25.82,
frc6514,6.70,18.47,-0.00,3.56,0.11,0.90,1.03,-0.15,1.31,1.27,1.10,0.16,0.61,-1.40,-0.52,-0.61,1.42,-0.31,0.80,0.16,-0.48,1.90,-0.82,1.49,1.23,1.78,1.11,-0.18,0.00,-0.57,0.10,0.14,0.35,-0.19,0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.35,2.43,1.38,-0.29,3.56,0.02,3.62,-0.10,-0.16,-0.04,-0.19,6.70,
frc6865,9.85,28.53,-0.02,3.29,1.84,2.17,1.12,1.30,0.04,-0.11,1.09,0.72,4.09,-0.67,-0.19,-0.02,2.01,0.29,1.67,0.63,-1.84,3.97,1.88,1.67,1.56,1.50,0.37,-0.04,-0.55,0.18,-0.58,-0.24,0.18,-0.13,0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.96,1.68,1.50,-0.13,3.29,0.31,8.43,-0.07,-0.12,0.15,-0.14,9.85,
frc2013,21.96,20.28,-0.01,5.73,1.54,1.90,2.38,2.44,0.71,2.03,2.10,2.25,10.46,1.01,-0.53,2.01,0.78,1.57,2.11,0.04,0.38,4.46,-0.12,1.72,1.76,1.79,0.95,-0.81,0.24,-0.77,0.73,-0.24,0.66,-0.43,1.06,0.67,0.67,0.67,0.67,0.67,0.67,2.08,1.60,1.40,0.35,5.73,-0.09,15.87,-0.18,0.24,-0.26,0.14,21.96,
frc2994,26.67,21.12,-0.00,5.31,1.14,1.23,0.83,1.15,1.76,1.71,1.46,1.73,5.71,0.34,0.54,-0.20,3.50,1.45,3.55,0.23,4.20,8.50,19.58,1.66,1.58,1.74,2.96,0.40,0.06,0.35,-0.02,0.21,-0.02,-0.16,-0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.30,2.02,2.03,1.21,5.31,0.15,17.16,0.04,0.13,0.12,-0.07,26.67,
frc6461,20.34,11.81,-0.01,5.31,1.02,1.08,1.45,1.22,1.26,0.62,0.79,0.74,3.41,1.04,-0.45,2.03,2.01,2.22,3.69,0.20,1.35,7.93,6.82,1.70,1.75,1.78,2.37,-0.46,0.88,-0.25,0.69,-0.46,0.20,-0.08,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.42,1.55,1.79,0.99,5.31,-0.03,13.70,-0.15,0.22,0.05,0.34,20.34,
