MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019onosh_qm1,blue,frc2200,frc3571,frc5036,64,40,0,6,5,5,5,5,5,5,5,5,30,0,0,0,12,0,3,0,3,15,30,5,0,5,10,5,0,5,2,0,0,0,0,2,2,2,2,2,2,3,0,3,3,6,0,55,0,0,0,0,64
2019onosh_qm1,red,frc6110,frc6866,frc6864,40,64,0,12,5,5,5,5,5,0,0,0,15,0,0,0,3,3,3,1,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,28,0,0,0,0,40
2019onosh_qm10,blue,frc6070,frc5409,frc2852,32,66,0,15,2,0,0,0,2,5,2,2,3,0,0,0,3,3,0,5,6,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,11,0,0,0,0,32
2019onosh_qm10,red,frc4907,frc4946,frc6866,66,32,0,12,2,2,2,5,5,2,2,2,12,0,0,0,12,3,0,2,15,15,30,5,5,5,12,0,0,0,0,0,2,0,2,2,2,2,2,2,2,3,3,6,3,12,0,39,0,5,0,5,66
2019onosh_qm11,blue,frc4951,frc6975,frc4936,35,35,0,12,0,0,5,0,0,5,5,5,12,0,0,0,3,0,3,3,3,6,0,5,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,12,0,20,0,0,0,0,35
2019onosh_qm11,red,frc4476,frc4783,frc3571,35,35,0,9,5,5,5,0,0,2,2,2,9,0,0,0,3,3,0,1,9,6,0,5,5,3,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,0,17,0,0,0,0,35
2019onosh_qm12,blue,frc2386,frc7710,frc7690,48,18,0,15,0,0,2,0,0,5,0,0,3,0,0,0,12,3,3,0,0,18,30,5,5,5,12,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,33,2,0,0,0,48
2019onosh_qm12,red,frc4704,frc7735,frc7614,18,48,0,6,0,0,0,0,0,0,5,0,3,0,0,0,3,3,3,0,0,9,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,12,0,0,0,0,18
2019onosh_qm13,blue,frc6135,frc6867,frc5885,64,35,0,15,0,2,5,5,5,5,5,0,15,0,0,0,0,6,12,1,0,18,30,5,5,5,16,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,49,0,0,0,0,64
2019onosh_qm13,red,frc610,frc2708,frc6864,35,64,0,6,2,2,2,0,0,5,2,2,9,0,0,0,3,3,3,0,3,9,0,5,3,5,8,0,2,0,2,0,5,0,5,2,2,2,2,2,2,3,6,3,0,6,0,26,0,0,0,0,35
2019onosh_qm14,blue,frc4152,frc6859,frc6866,36,39,0,12,0,0,0,0,5,5,5,0,9,0,0,0,6,0,3,0,0,9,0,5,0,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,24,0,0,0,0,36
2019onosh_qm14,red,frc6975,frc7267,frc188,39,36,0,6,5,5,5,0,0,2,5,2,21,0,0,0,0,0,0,0,0,0,0,0,5,5,12,2,0,2,0,5,0,2,0,2,2,2,2,2,2,0,3,3,2,6,0,33,5,0,5,0,39
2019onosh_qm15,blue,frc4525,frc5409,frc2200,52,34,0,6,5,5,5,5,5,5,5,2,21,0,0,0,3,0,12,0,0,15,30,5,0,5,10,2,0,2,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,6,0,46,0,0,0,0,52
2019onosh_qm15,red,frc4936,frc5426,frc7690,34,52,0,15,0,2,2,0,0,0,0,0,6,0,0,0,3,0,0,0,0,3,0,5,5,5,10,5,2,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,19,0,0,0,0,34
2019onosh_qm16,blue,frc6864,frc4951,frc2852,46,51,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,3,0,9,0,5,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,31,0,0,0,0,46
2019onosh_qm16,red,frc4907,frc2994,frc6514,51,46,0,15,0,0,0,5,0,0,0,0,3,0,0,0,6,12,0,0,9,18,30,5,5,5,6,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,6,6,3,15,0,27,0,2,0,0,51
2019onosh_qm17,blue,frc6070,frc4704,frc2708,34,73,0,12,2,2,2,5,0,2,0,0,3,0,0,0,0,3,3,0,3,6,0,5,5,5,10,2,0,2,0,2,0,0,0,2,2,2,2,2,2,3,3,6,0,12,1,19,0,0,0,0,34
2019onosh_qm17,red,frc4946,frc2386,frc4519,73,34,0,15,2,5,5,0,0,5,5,5,21,0,0,0,3,12,6,1,10,21,30,5,5,5,6,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,6,6,3,15,0,48,0,5,0,5,73
2019onosh_qm18,blue,frc5885,frc7564,frc6110,50,42,0,15,0,0,5,5,5,0,0,0,9,0,0,0,12,3,3,4,0,18,30,5,5,5,8,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,35,0,0,0,0,50
2019onosh_qm18,red,frc7614,frc3571,frc7267,42,50,0,6,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,0,12,6,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,24,0,0,0,0,42
2019onosh_qm19,blue,frc4783,frc7710,frc6135,40,63,0,15,2,5,5,5,5,5,2,2,15,0,0,0,0,3,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,25,0,0,0,0,40
