Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2200,32.16,9.96,0.00,2.42,1.63,2.40,2.03,3.19,2.86,2.30,1.98,1.24,13.61,2.47,0.12,0.00,3.36,3.60,3.20,-0.04,1.11,10.17,23.28,1.49,0.95,1.55,4.85,1.05,1.25,0.90,1.23,0.00,0.40,0.09,0.41,0.67,0.67,0.67,0.67,0.67,0.67,1.24,0.85,0.39,2.01,2.42,-0.05,28.64,-0.00,0.32,-0.01,0.35,32.16,
frc3571,8.01,18.68,0.00,3.62,1.11,0.55,0.49,0.08,0.23,0.26,0.22,0.83,1.98,-0.40,0.10,0.00,0.04,-1.28,1.06,0.07,2.59,-0.16,1.29,1.75,0.12,1.39,-0.02,0.25,0.26,0.02,-0.24,-0.11,0.28,-0.08,0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.45,1.12,1.46,-0.20,3.62,-0.05,1.80,-0.11,0.25,-0.12,0.06,8.01,
frc5036,17.43,18.59,0.00,3.86,2.50,2.23,2.18,2.40,0.70,2.09,2.19,2.52,10.33,-1.23,-0.33,0.00,0.93,0.69,0.43,-0.18,0.23,2.07,0.15,1.56,1.57,1.80,0.96,0.18,-0.34,0.10,0.07,-0.19,0.03,-0.15,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.40,0.99,1.19,0.29,3.86,0.04,13.35,-0.11,0.09,-0.14,0.15,17.43,
frc6110,13.42,18.15,0.00,3.03,0.70,1.56,1.18,1.73,1.67,1.00,0.83,0.25,5.41,-0.02,-0.05,0.00,0.88,0.78,1.19,0.21,-1.08,2.85,0.94,1.44,1.77,1.56,3.21,0.40,0.43,0.31,-0.09,0.45,0.17,0.43,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.30,1.44,0.88,0.46,3.03,0.13,11.47,-0.01,0.09,-0.05,-0.08,13.42,
frc6866,16.25,14.22,0.00,5.20,1.93,2.22,1.92,0.62,1.49,0.84,1.12,0.37,6.67,2.43,0.01,0.00,1.16,0.83,1.22,0.15,0.69,3.25,0.32,1.14,1.48,2.10,0.44,-0.14,-0.36,-0.20,-0.09,0.19,0.02,-0.06,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.10,2.08,1.95,0.49,5.20,0.03,10.36,-0.01,0.42,-0.09,0.49,16.25,
frc6864,13.38,20.97,0.00,4.47,1.93,1.12,1.57,-0.16,1.07,1.86,0.74,1.23,4.36,-0.57,-0.47,0.00,2.59,0.18,0.17,0.19,1.86,2.96,-0.86,1.84,1.62,1.66,-0.27,-0.37,0.02,-0.37,0.53,-0.34,0.21,-0.31,0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.88,1.73,-0.44,4.47,-0.02,7.05,-0.15,-0.23,-0.17,-0.17,13.38,
frc6070,13.83,17.70,0.00,5.93,1.08,0.26,1.16,1.10,1.06,0.82,1.17,1.00,2.12,-0.78,-0.22,0.00,0.42,-0.15,1.17,0.22,2.40,1.45,-3.16,2.03,2.05,1.75,1.92,-0.32,0.33,-0.45,0.56,-0.16,0.27,-0.14,0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.70,1.11,2.18,0.29,5.93,0.07,5.49,-0.20,-0.21,-0.03,-0.19,13.83,
frc5409,14.13,13.44,0.00,4.59,0.82,0.89,0.61,-0.07,1.20,2.00,1.63,1.31,4.71,-0.28,-0.07,0.00,1.29,2.00,0.17,0.40,0.77,3.49,3.63,1.76,1.34,1.48,0.57,0.48,-0.72,0.93,-0.61,0.39,-0.28,0.45,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.63,2.10,1.62,0.62,4.59,-0.06,8.77,0.02,0.03,-0.02,-0.10,14.13,
frc2852,18.22,19.17,0.00,6.06,1.46,1.01,0.57,-0.39,0.34,1.21,0.75,0.89,2.66,-0.95,0.04,0.00,0.48,1.77,1.04,0.41,1.31,3.29,1.99,1.76,1.97,1.74,4.90,0.75,1.29,0.57,1.44,0.13,0.64,0.30,0.65,0.67,0.67,0.67,0.67,0.67,0.67,1.34,1.78,2.36,0.59,6.06,0.05,10.85,0.03,0.16,0.01,-0.03,18.22,
frc4907,24.31,11.67,0.00,3.59,-0.39,-0.14,0.15,1.61,1.26,0.95,0.65,1.07,2.12,-1.13,-0.49,0.00,3.59,4.77,2.50,-0.09,4.18,10.85,24.40,1.86,1.76,1.69,3.57,-0.32,0.18,-0.57,0.42,-0.33,0.89,-0.36,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.58,1.35,1.05,1.48,3.59,-0.03,16.54,-0.19,0.97,-0.03,0.63,24.31,
