MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019onto1_qm1,blue,frc5036,frc1334,frc5076,32,77,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,0,0,1,0,3,0,5,0,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,23,0,0,0,0,32
2019onto1_qm1,red,frc1285,frc6162,frc5406,77,32,0,12,5,5,5,5,0,2,2,2,30,30,30,0,3,3,12,0,3,18,30,5,3,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,4,12,0,62,5,0,5,0,77
2019onto1_qm10,blue,frc6162,frc6867,frc5719,55,41,0,12,5,5,2,2,2,2,5,2,9,0,0,0,0,6,3,0,13,9,0,0,5,5,12,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,30,0,0,0,0,55
2019onto1_qm10,red,frc2706,frc6397,frc5039,41,55,0,12,2,5,5,0,0,5,5,5,15,0,0,0,0,3,3,1,0,6,0,5,5,5,8,0,2,0,2,0,2,0,0,2,2,2,2,2,2,3,3,6,0,12,1,29,0,2,0,0,41
2019onto1_qm11,blue,frc7710,frc5406,frc5076,72,46,0,15,5,5,5,5,5,5,5,5,27,0,0,0,3,12,3,0,0,18,30,5,5,5,12,2,5,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,57,0,0,0,0,72
2019onto1_qm11,red,frc7476,frc7690,frc7136,46,72,0,12,5,5,5,0,0,5,5,2,21,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,5,0,5,2,2,2,2,2,2,3,6,3,0,12,0,34,0,0,0,0,46
2019onto1_qm12,blue,frc919,frc5719,frc746,30,43,0,15,2,5,2,0,0,5,2,5,9,0,0,0,3,0,3,1,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,15,0,0,0,0,30
2019onto1_qm12,red,frc5039,frc7456,frc1334,43,30,0,15,5,5,5,5,5,2,2,2,15,0,0,0,3,0,3,0,3,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,25,0,0,0,0,43
2019onto1_qm13,blue,frc1285,frc6866,frc4252,48,63,0,15,5,5,5,0,0,5,5,5,18,0,0,0,6,3,0,2,6,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,1,27,0,0,0,0,48
2019onto1_qm13,red,frc5024,frc6878,frc6162,63,48,0,12,5,5,5,0,0,5,5,5,18,0,0,0,12,3,0,2,16,15,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,12,0,35,0,0,0,0,63
2019onto1_qm14,blue,frc6867,frc7520,frc6342,47,40,0,12,5,5,2,5,2,2,5,2,12,0,0,0,6,3,0,0,0,9,0,5,5,0,14,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,0,2,12,0,35,0,0,0,0,47
2019onto1_qm14,red,frc5031,frc6397,frc4308,40,47,0,15,5,2,2,0,0,5,5,5,12,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,2,0,0,0,2,0,0,2,2,2,2,2,2,6,3,6,0,15,0,25,0,0,0,0,40
2019onto1_qm15,blue,frc4939,frc188,frc5911,42,47,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,12,0,5,0,15,30,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,1,9,0,33,0,0,0,0,42
2019onto1_qm15,red,frc5036,frc1246,frc2706,47,42,0,12,2,2,5,2,0,5,5,2,9,0,0,0,3,3,3,0,15,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,20,0,0,0,0,47
2019onto1_qm16,blue,frc6878,frc919,frc7520,20,75,0,9,2,2,5,0,5,2,2,2,6,0,0,0,0,3,0,6,0,3,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,11,0,0,0,0,20
2019onto1_qm16,red,frc5719,frc7136,frc5406,75,20,0,15,5,5,5,0,2,5,5,5,21,0,0,0,0,3,12,0,18,15,30,5,5,5,6,0,0,0,0,2,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,42,0,0,0,0,75
2019onto1_qm17,blue,frc6342,frc746,frc5024,50,43,0,12,5,5,5,0,0,2,2,2,9,0,0,0,3,3,12,0,9,18,30,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,12,0,29,0,0,0,0,50
2019onto1_qm17,red,frc7690,frc5039,frc7710,43,50,0,15,5,5,5,0,5,0,2,5,15,0,0,0,3,3,3,3,0,9,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,28,0,0,0,0,43
2019onto1_qm18,blue,frc5911,frc7456,frc2706,8,31,0,3,2,2,2,5,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,0,0,3,0,5,0,0,0,0,8
2019onto1_qm18,red,frc6397,frc1285,frc7476,31,8,0,9,5,5,5,5,0,2,2,2,12,0,0,0,3,3,3,0,0,6,0,0,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,22,0,0,0,0,31
2019onto1_qm19,blue,frc4939,frc6867,frc188,58,52,0,15,5,5,0,5,5,5,5,2,24,0,0,0,3,6,0,0,0,9,0,5,5,5,10,2,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,43,0,0,0,0,58
2019onto1_qm19,red,frc1246,frc5076,frc4308,52,58,0,15,5,5,5,0,0,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,37,0,0,0,0,52
2019onto1_qm2,blue,frc188,frc7456,frc4252,48,36,0,6,2,2,5,5,5,5,5,5,18,0,0,0,12,3,0,0,3,15,30,5,5,0,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,39,0,0,0,0,48
2019onto1_qm2,red,frc2706,frc7710,frc6342,36,48,0,15,2,0,5,0,5,0,0,0,6,0,0,0,3,3,3,1,0,9,0,5,5,5,6,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,6,6,0,15,0,21,0,0,0,0,36
2019onto1_qm20,blue,frc1334,frc4252,frc5031,43,36,0,15,2,5,5,0,0,5,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,4,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,28,0,0,0,0,43
2019onto1_qm20,red,frc5036,frc6866,frc6162,36,43,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,27,0,0,0,0,36
2019onto1_qm21,blue,frc188,frc1285,frc919,57,45,0,12,5,5,5,0,5,5,5,2,18,0,0,0,12,3,3,2,3,18,30,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,42,0,0,0,0,57
2019onto1_qm21,red,frc7710,frc4939,frc7476,45,57,0,15,2,2,5,0,0,5,5,5,12,0,0,0,0,3,3,1,6,6,0,5,5,5,6,0,2,0,2,0,0,2,0,2,2,2,2,2,2,6,6,3,0,15,0,24,0,0,0,0,45
2019onto1_qm22,blue,frc2706,frc6878,frc4308,46,66,0,15,5,5,2,0,5,2,2,5,18,0,0,0,0,0,3,3,0,3,0,5,5,5,10,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,31,2,0,2,0,46
2019onto1_qm22,red,frc5076,frc5039,frc746,66,46,0,15,2,5,5,5,5,2,5,5,18,0,0,0,3,3,12,0,9,18,30,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,42,0,0,0,0,66
