Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7509,17.64,9.69,0.00,5.52,-0.31,0.24,0.31,2.64,1.60,1.33,1.73,1.44,4.34,-1.29,-0.79,0.00,2.02,-0.18,2.06,0.09,-0.57,3.89,1.75,1.91,1.71,1.61,4.46,0.68,0.24,0.06,0.58,-0.01,0.08,-0.01,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.26,1.94,1.92,0.70,5.52,-0.05,12.69,-0.16,0.02,-0.15,0.05,17.64,
frc7558,16.03,14.97,0.00,2.44,1.83,1.35,1.96,0.15,-0.25,1.90,1.41,1.09,5.79,-1.18,-0.38,0.00,3.55,2.23,2.77,0.28,-1.27,8.55,13.39,1.74,1.62,1.39,0.51,0.32,0.46,-0.14,-0.04,0.20,0.21,0.18,0.26,0.67,0.67,0.67,0.67,0.67,0.67,0.73,0.98,1.04,0.76,2.44,-0.06,14.86,-0.16,-0.07,-0.19,-0.05,16.03,
frc2198,5.92,16.26,0.00,3.18,1.28,1.52,1.98,-0.93,-0.34,0.94,0.71,0.44,1.24,-1.68,-0.59,0.00,0.66,0.61,2.33,0.12,-0.69,3.61,1.47,1.49,1.63,1.09,-1.41,0.03,-0.19,0.15,0.19,-0.37,-0.18,-0.36,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,2.62,1.36,1.72,0.01,3.18,0.08,3.44,-0.21,-0.09,-0.24,-0.09,5.92,
frc7480,14.18,14.36,0.00,4.78,0.65,1.11,1.50,-0.43,0.34,1.71,1.90,0.82,4.75,-1.75,-0.72,0.00,0.57,-0.55,1.27,-0.02,2.78,1.29,-2.25,1.76,1.39,1.84,0.58,0.11,0.40,0.44,0.57,-0.05,0.25,0.12,0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.77,2.12,0.99,-0.14,4.78,-0.04,6.62,-0.16,0.11,0.03,-0.05,14.18,
frc7902,6.73,15.27,0.00,2.87,0.55,0.49,0.69,1.00,-0.19,1.11,0.70,0.90,1.52,2.52,0.33,0.00,1.04,0.90,0.52,0.25,-0.42,2.45,-2.67,1.39,1.41,1.31,0.32,0.28,0.03,0.07,-0.01,0.01,-0.08,0.00,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.10,1.26,2.18,-0.04,2.87,0.04,4.29,0.40,-0.09,0.11,-0.09,6.73,
frc6513,13.84,18.02,0.00,4.06,1.01,0.98,1.18,1.24,1.33,1.18,1.59,0.62,2.19,1.75,-0.88,0.00,1.85,1.37,0.83,0.07,0.47,4.04,3.78,1.65,1.92,1.61,3.08,0.53,0.08,0.58,0.02,-0.27,-0.07,-0.27,0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.24,0.74,1.69,0.45,4.06,0.04,9.31,-0.24,0.01,-0.21,0.02,13.84,
frc5834,16.87,17.81,0.00,3.76,1.41,1.07,2.28,0.99,-0.10,2.06,1.60,0.52,6.39,1.46,2.43,0.00,4.60,1.27,1.34,0.66,0.14,7.22,11.05,1.52,1.38,1.56,-0.63,-0.16,-0.52,0.02,-0.09,0.24,-0.10,0.23,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.88,1.72,1.78,0.49,3.76,-0.06,12.98,0.35,-0.08,0.30,-0.06,16.87,
frc854,19.84,20.79,0.00,5.09,0.61,0.59,0.69,1.12,2.37,1.48,0.79,0.75,3.51,2.00,-0.52,0.00,1.00,0.97,3.01,0.11,0.38,4.97,3.34,1.51,1.79,1.64,5.88,1.34,1.08,1.29,1.14,-0.09,-0.07,0.11,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,2.14,1.31,2.15,0.55,5.09,0.00,14.37,0.28,-0.06,0.02,-0.02,19.84,
frc4939,19.00,10.65,0.00,4.19,1.07,1.50,1.23,-0.22,0.31,1.23,1.08,1.21,3.46,0.41,0.32,0.00,1.71,1.38,1.67,0.14,1.05,4.76,7.97,1.36,1.58,1.65,5.54,0.63,0.36,0.38,0.58,0.55,0.42,0.54,0.81,0.67,0.67,0.67,0.67,0.67,0.67,2.39,2.20,1.00,1.03,4.19,-0.07,13.76,0.20,0.50,0.55,0.46,19.00,
frc4039,25.61,13.35,0.00,4.43,1.10,1.74,1.58,-0.60,1.07,1.49,2.07,1.16,8.79,-1.44,-0.58,0.00,1.68,2.21,1.67,0.24,2.06,5.56,10.94,1.40,1.80,1.65,4.76,1.53,1.48,1.58,0.71,0.14,0.29,0.17,0.20,0.67,0.67,0.67,0.67,0.67,0.67,2.22,0.55,2.32,1.13,4.43,0.05,19.11,0.26,-0.06,0.26,0.12,25.61,
frc771,13.24,22.49,0.00,4.69,0.67,0.80,1.27,0.52,0.94,0.99,0.39,-0.08,-0.34,-0.99,-0.62,0.00,1.43,-0.45,0.71,-0.01,-0.30,1.70,-5.63,1.89,1.58,1.53,7.50,0.25,0.37,0.46,0.18,0.15,0.01,0.12,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.61,2.68,0.97,-0.32,4.69,0.14,8.86,-0.19,0.09,-0.04,-0.04,13.24,
frc7013,8.97,18.35,0.00,3.45,0.42,0.30,1.80,0.27,-0.20,1.19,1.44,0.93,0.76,-0.02,0.30,0.00,0.16,0.58,1.32,0.18,2.43,2.06,2.47,1.45,1.49,1.83,0.26,-0.40,-0.25,0.21,-0.29,-0.06,-0.16,-0.05,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.08,1.62,1.37,0.19,3.45,-0.06,3.09,0.12,-0.10,0.09,-0.09,8.97,
frc7723,13.63,11.89,0.00,3.78,0.55,1.30,1.25,0.38,1.20,0.68,0.83,1.23,2.52,-0.36,0.10,0.00,0.61,2.01,1.12,0.16,1.18,3.74,0.82,1.49,1.44,1.72,2.41,0.15,-0.05,-0.19,-0.43,0.88,-0.09,0.74,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.29,2.38,0.81,0.26,3.78,0.04,8.67,0.55,-0.03,0.60,-0.05,13.63,
frc1374,17.55,16.87,0.00,4.40,1.44,1.97,1.16,0.55,0.47,2.12,2.54,1.76,8.00,-1.15,-0.54,0.00,1.11,2.94,1.21,0.80,-0.33,5.27,2.94,1.62,1.74,1.45,0.21,0.41,0.16,0.91,0.13,-0.28,-0.21,-0.26,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.86,2.09,0.89,0.49,4.40,-0.07,13.48,-0.18,-0.09,-0.19,-0.10,17.55,
frc6141,8.21,21.19,0.00,3.51,0.98,0.93,0.84,0.18,0.91,0.43,0.72,1.46,0.84,-1.66,-0.99,0.00,-0.94,1.13,1.84,0.50,1.04,2.03,1.06,0.87,1.46,1.83,0.80,-0.11,0.35,-0.01,0.16,-0.25,-0.01,-0.27,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.18,2.02,1.62,0.06,3.51,0.15,3.66,-0.19,0.08,-0.22,0.14,8.21,
frc1114,31.54,8.45,0.00,3.56,1.62,1.34,0.71,1.97,2.91,0.77,-0.33,1.28,10.46,7.75,5.25,0.00,2.32,2.79,4.22,-0.06,0.05,9.33,20.33,1.60,1.87,1.83,8.14,1.16,0.73,0.71,0.84,1.04,0.58,1.07,1.05,0.67,0.67,0.67,0.67,0.67,0.67,0.85,1.61,0.42,2.29,3.56,-0.05,27.93,0.92,0.00,0.94,0.15,31.54,
frc907,18.02,19.55,0.00,5.59,1.42,1.75,0.29,0.63,0.25,1.84,1.87,2.04,5.73,-0.02,-0.15,0.00,2.18,2.73,1.25,0.19,-0.13,6.16,4.52,1.73,1.68,1.79,0.67,-0.34,0.11,-0.35,0.36,0.02,0.16,0.04,0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.60,2.04,1.20,0.46,5.59,0.12,12.56,-0.03,0.11,0.09,-0.02,18.02,
frc5031,13.69,12.52,0.00,1.90,1.76,2.25,2.32,-0.61,1.24,0.61,0.71,1.34,6.78,1.59,2.18,0.00,0.17,1.56,1.64,0.42,0.92,3.36,4.56,1.39,1.39,1.27,0.73,0.72,-0.33,0.43,0.50,0.23,-0.06,0.24,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,2.08,1.44,1.14,0.61,1.90,-0.02,10.87,0.31,0.17,0.31,-0.03,13.69,
frc6977,7.05,8.26,0.00,2.48,1.01,1.67,1.46,0.63,-0.01,1.84,0.90,0.75,2.76,1.34,-0.54,0.00,0.34,1.45,-0.24,0.14,1.30,1.56,-2.26,1.40,1.19,1.79,-1.03,-0.64,-0.26,-0.27,-0.46,-0.31,-0.21,-0.35,-0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.07,1.01,1.50,0.06,2.48,0.05,3.28,-0.20,-0.09,-0.24,-0.03,7.05,
frc7603,20.86,7.58,0.00,3.65,1.51,2.09,1.66,1.58,1.64,1.18,0.57,1.62,7.69,1.46,-0.63,0.00,1.95,1.11,2.02,0.43,2.20,5.08,6.47,1.46,1.51,1.90,2.24,1.34,-0.26,1.40,-0.46,-0.06,-0.16,-0.06,-0.26,0.67,0.67,0.67,0.67,0.67,0.67,1.21,1.52,0.93,1.64,3.65,0.10,15.02,-0.13,-0.04,-0.16,-0.07,20.86,
frc5870,11.75,22.84,0.00,5.69,1.17,1.57,1.26,1.10,1.11,1.30,0.44,0.96,2.77,-1.14,-0.20,0.00,-0.60,0.53,1.46,0.15,1.36,1.39,0.56,1.71,1.84,1.53,0.54,0.05,-0.25,-0.11,-0.17,-0.18,-0.18,-0.01,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.83,1.66,2.01,0.02,5.69,0.15,4.70,-0.12,-0.07,-0.11,-0.08,11.75,
frc746,13.68,17.66,0.00,3.45,0.74,1.00,1.15,1.13,0.36,1.16,0.91,0.61,2.57,-0.52,-0.02,0.00,2.98,1.45,3.32,0.08,-0.92,7.74,12.81,1.44,1.27,1.45,0.84,0.03,0.24,-0.24,-0.12,-0.11,0.10,0.07,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.45,0.75,1.60,0.99,3.45,-0.04,11.15,-0.04,0.11,0.15,-0.05,13.68,
frc1310,19.45,13.70,0.00,4.98,2.56,1.95,1.60,2.27,1.62,1.17,1.84,0.84,8.20,-1.31,-0.53,0.00,0.29,3.23,0.27,0.01,0.19,3.79,5.92,1.71,1.79,1.46,2.28,0.47,0.06,0.43,0.49,0.10,-0.06,-0.08,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.78,1.10,2.55,0.37,4.98,0.14,14.27,-0.21,-0.02,-0.19,-0.00,19.45,
frc4343,16.10,19.64,0.00,5.00,1.17,0.86,0.34,0.80,1.35,0.96,1.31,0.56,5.57,-1.21,-0.64,0.00,1.92,1.19,0.29,0.17,-0.64,3.40,-0.80,1.80,1.24,1.52,2.77,-0.37,0.57,-0.41,1.58,-0.24,0.54,-0.28,0.86,0.67,0.67,0.67,0.67,0.67,0.67,2.03,1.21,1.72,-0.27,5.00,-0.06,11.74,-0.18,0.08,-0.24,0.44,16.10,
frc6009,5.57,21.43,0.00,3.85,0.66,0.74,0.15,0.04,-0.88,1.21,0.98,0.20,-0.51,-0.33,0.19,0.00,0.67,1.22,0.85,0.05,-0.13,2.75,-0.29,1.65,1.49,1.71,-0.38,-0.40,0.35,-0.62,0.59,-0.20,0.32,-0.18,0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.31,1.36,-0.11,3.85,0.21,1.85,-0.01,0.10,-0.05,-0.07,5.57,
frc3683,31.66,8.28,0.00,5.96,1.80,1.54,1.70,2.06,1.76,1.40,1.81,2.37,12.82,2.13,-0.19,0.00,0.45,1.81,1.78,-0.08,2.53,4.04,6.93,1.91,1.80,1.81,6.30,1.81,0.39,1.69,0.57,1.04,0.56,1.05,0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.90,1.99,1.64,5.96,-0.07,23.16,0.80,0.18,0.54,-0.01,31.66,
frc2935,17.40,19.46,0.00,5.64,1.59,1.85,2.26,-0.26,-0.09,2.00,1.82,2.62,8.13,-1.30,-0.72,0.00,1.51,-0.75,1.39,0.28,1.14,2.15,-1.31,1.92,1.86,1.59,0.33,-0.57,0.49,-0.58,0.78,-0.16,0.37,-0.33,0.57,0.67,0.67,0.67,0.67,0.67,0.67,1.87,1.19,1.96,-0.04,5.64,-0.03,10.61,-0.26,0.14,-0.24,0.18,17.40,
frc2405,12.32,19.37,0.00,2.80,2.05,2.15,1.88,0.19,0.68,2.12,1.93,2.02,7.29,-1.06,-0.79,0.00,0.11,0.24,-0.26,0.18,2.49,0.08,-2.50,1.52,1.68,1.71,-0.34,-0.49,0.06,-0.13,-0.31,-0.31,-0.17,-0.31,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.47,1.41,1.50,0.12,2.80,0.05,7.03,-0.22,0.09,-0.22,-0.06,12.32,
frc4308,14.90,13.19,0.00,2.94,1.21,1.37,0.80,1.31,0.17,1.60,1.66,1.52,6.51,4.88,2.36,0.00,0.02,2.29,-0.28,0.01,1.87,2.03,-2.93,1.43,1.42,1.54,1.54,0.64,-0.01,0.87,-0.26,0.42,-0.15,0.38,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.32,0.95,1.66,0.40,2.94,-0.08,10.08,0.45,-0.06,0.42,-0.05,14.90,
frc7623,18.06,16.58,0.00,4.66,1.13,0.89,0.80,1.64,0.97,1.38,0.58,0.70,4.37,0.25,0.43,0.00,0.89,1.00,1.38,0.39,3.59,3.27,1.53,1.61,1.44,1.66,2.17,0.27,0.14,0.45,-0.06,0.27,-0.09,0.25,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.29,1.23,1.62,0.18,4.66,-0.06,9.81,0.02,0.13,0.07,-0.02,18.06,
frc6978,11.20,7.84,0.00,2.44,0.65,1.02,0.97,-0.72,0.23,0.50,0.21,-0.08,1.49,1.36,2.19,0.00,1.32,2.99,0.15,-0.17,1.80,4.45,1.38,1.22,1.34,1.78,1.02,0.54,0.08,0.36,-0.15,0.70,-0.07,0.51,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.33,0.59,1.19,0.43,2.44,-0.03,6.96,0.19,-0.10,0.21,0.12,11.20,
frc865,17.17,19.35,0.00,4.74,1.50,1.22,1.52,0.59,1.06,2.05,1.72,1.66,6.62,2.02,-0.07,0.00,0.70,1.24,1.33,0.43,-0.39,3.27,-0.36,1.88,1.98,1.11,2.92,0.83,0.62,1.06,0.54,-0.03,-0.10,0.01,0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.18,2.63,1.43,0.19,4.74,0.16,12.82,-0.13,-0.02,-0.09,0.12,17.17,
