MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019onwat_qm1,blue,frc6854,frc5032,frc4976,15,36,0,6,2,2,2,0,0,2,2,2,0,0,0,0,0,3,6,0,0,9,0,0,3,5,0,0,0,0,0,0,0,0,0,Unknown,Unknown,Unknown,2,2,2,3,3,6,0,6,0,9,0,0,0,0,15
2019onwat_qm1,red,frc7022,frc5912,frc4920,36,15,0,6,5,5,5,5,5,5,2,2,18,0,0,0,3,3,6,0,0,6,0,5,5,0,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,6,0,30,0,0,0,0,36
2019onwat_qm10,blue,frc5912,frc4069,frc6330,35,35,0,6,5,5,5,0,5,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,6,0,29,0,0,0,0,35
2019onwat_qm10,red,frc5032,frc3683,frc5672,35,35,0,9,0,0,0,5,5,0,0,5,12,0,0,0,3,3,0,0,0,6,0,3,5,5,8,0,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,9,0,26,2,0,0,0,35
2019onwat_qm11,blue,frc7800,frc1241,frc7722,40,33,0,15,5,5,5,0,0,5,2,2,18,0,0,0,0,0,3,1,0,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,25,5,0,5,0,40
2019onwat_qm11,red,frc6992,frc4917,frc4976,33,40,0,15,5,2,2,0,0,2,2,5,6,0,0,0,3,0,6,0,3,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,15,0,0,0,0,33
2019onwat_qm12,blue,frc2702,frc4920,frc4678,47,29,0,15,2,2,5,0,0,2,2,2,12,30,0,0,3,3,3,1,3,9,0,5,5,5,8,0,5,0,0,0,5,0,5,2,2,2,2,2,2,3,6,6,3,15,0,29,0,0,0,0,47
2019onwat_qm12,red,frc3756,frc4617,frc4968,29,47,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,1,3,9,0,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,11,0,0,0,0,29
2019onwat_qm13,blue,frc4069,frc6854,frc7664,54,50,0,9,2,2,2,2,2,5,2,5,6,0,0,0,12,0,3,0,18,15,30,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,27,0,0,0,0,54
2019onwat_qm13,red,frc6856,frc3739,frc1241,50,54,0,15,2,5,5,0,2,5,5,2,18,0,0,0,3,3,3,6,0,9,0,5,5,5,8,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,35,5,0,5,0,50
