MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019onwin_qm1,blue,frc5885,frc4992,frc4938,45,32,0,15,0,0,0,2,5,5,2,2,6,0,0,0,3,3,0,0,0,6,0,5,5,5,18,2,0,0,0,2,0,0,2,2,2,2,2,2,2,6,3,6,2,15,0,30,0,0,0,2,45
2019onwin_qm1,red,frc6052,frc2198,frc4932,32,45,0,9,2,2,2,0,0,5,5,2,6,0,0,0,3,0,12,0,0,15,30,5,3,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,0,23,0,0,0,0,32
2019onwin_qm10,blue,frc5426,frc5885,frc4940,50,58,0,15,2,5,5,0,2,5,0,0,15,0,0,0,3,3,3,2,3,9,0,5,5,5,8,0,0,0,0,0,5,0,5,2,2,2,2,2,2,6,6,3,0,15,0,32,0,0,0,0,50
2019onwin_qm10,red,frc4903,frc6544,frc7800,58,50,0,15,5,5,5,5,5,2,5,2,18,0,0,0,6,6,3,1,6,15,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,37,0,0,0,0,58
2019onwin_qm11,blue,frc773,frc6537,frc7136,29,43,0,6,5,5,5,5,0,5,5,2,18,0,0,0,3,0,0,4,0,3,0,3,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,6,0,23,0,0,0,0,29
2019onwin_qm11,red,frc4938,frc5821,frc6052,43,29,0,9,5,5,5,0,2,5,2,2,12,0,0,0,3,0,3,0,12,6,0,5,0,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,9,0,22,0,0,0,0,43
2019onwin_qm12,blue,frc1114,frc4932,frc5911,54,50,0,12,2,2,2,0,0,2,2,2,18,30,0,30,12,0,0,0,0,12,0,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,3,3,12,0,42,0,5,0,5,54
2019onwin_qm12,red,frc2634,frc4595,frc2198,50,54,0,15,5,2,2,5,0,5,5,5,15,0,0,0,0,3,3,0,0,6,0,5,5,5,14,0,2,2,2,0,2,0,2,2,2,2,2,2,2,6,3,6,0,15,0,35,0,2,0,0,50
2019onwin_qm13,blue,frc865,frc5689,frc7058,57,59,0,12,2,5,5,5,5,5,5,5,21,0,0,0,3,3,12,0,0,18,30,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,45,0,0,0,0,57
2019onwin_qm13,red,frc4920,frc1285,frc7480,59,57,0,15,5,5,0,0,2,5,5,5,15,0,0,0,6,12,3,0,0,21,30,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,44,0,0,0,0,59
2019onwin_qm14,blue,frc6881,frc772,frc6875,39,58,0,12,2,2,5,5,0,2,2,2,6,0,0,0,3,12,0,1,0,15,30,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,27,0,0,0,0,39
2019onwin_qm14,red,frc2852,frc773,frc4688,58,39,0,9,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,0,3,6,0,5,0,5,10,0,5,0,5,0,0,2,0,2,2,2,2,2,2,6,6,3,2,9,0,46,0,0,0,0,58
2019onwin_qm15,blue,frc4595,frc5408,frc5821,31,62,0,9,0,0,0,0,5,5,5,5,12,0,0,0,3,3,0,0,0,6,0,5,5,3,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,22,0,0,0,0,31
2019onwin_qm15,red,frc2198,frc4903,frc6202,62,31,0,15,2,5,5,5,5,5,5,2,24,0,0,0,0,6,3,0,0,9,0,5,5,5,14,2,2,0,0,0,5,0,5,2,2,2,2,2,2,6,3,6,2,15,0,47,0,0,0,0,62
2019onwin_qm16,blue,frc5426,frc6544,frc5409,56,51,0,15,2,5,2,5,0,5,2,2,9,0,0,0,3,6,12,0,3,21,30,5,5,5,8,2,0,0,0,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,38,0,0,0,0,56
2019onwin_qm16,red,frc2935,frc4932,frc7757,51,56,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,12,3,1,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,36,0,0,0,0,51
2019onwin_qm17,blue,frc2634,frc7136,frc4920,63,48,0,15,5,5,5,5,0,5,5,5,21,0,0,0,0,3,12,2,0,15,30,5,5,5,12,2,0,0,0,2,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,48,2,0,0,0,63
2019onwin_qm17,red,frc7480,frc6537,frc7058,48,63,0,12,5,5,0,0,0,5,5,5,15,0,0,0,6,3,6,0,6,15,30,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,12,0,30,0,0,0,0,48
