Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5885,26.90,14.14,0.00,6.32,0.53,0.52,1.53,2.23,1.84,0.51,-0.43,0.06,2.87,-0.12,0.08,-0.20,3.44,2.22,3.75,0.26,0.65,9.46,11.24,1.77,1.92,1.86,7.60,0.59,0.19,0.08,0.59,0.42,0.20,-0.15,0.43,0.67,0.67,0.67,0.67,0.67,0.67,2.75,1.61,1.15,1.18,6.32,0.13,19.93,0.08,-0.02,0.06,0.05,26.90,
frc4992,17.94,13.22,0.00,3.76,0.73,0.51,0.66,1.53,2.32,1.80,1.28,1.20,5.35,1.66,-0.47,-0.24,1.53,-0.02,0.85,-0.00,2.48,2.43,3.63,1.84,1.05,1.86,3.92,0.38,-0.10,0.53,0.14,0.25,0.06,0.22,0.43,0.67,0.67,0.67,0.67,0.67,0.67,0.93,1.52,1.04,0.76,3.76,-0.03,11.70,-0.09,0.19,0.10,0.64,17.94,
frc4938,11.51,14.73,0.00,3.97,1.15,1.27,1.51,-0.49,1.25,1.58,0.96,1.33,4.74,0.98,1.94,-0.14,-0.29,0.85,-0.29,0.12,0.51,0.28,-2.71,1.90,0.95,1.65,2.01,-0.20,0.06,0.15,0.06,0.23,-0.18,0.13,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.38,1.91,1.85,0.43,3.97,0.04,7.03,0.15,-0.07,0.16,0.16,11.51,
frc6052,10.91,26.92,0.00,3.67,1.46,1.65,1.24,0.83,0.05,1.67,1.10,0.48,2.38,-0.81,-0.15,-0.50,-0.50,-0.09,2.46,0.37,2.30,1.84,-2.44,1.69,0.84,1.65,0.72,0.24,0.18,0.16,0.41,-0.08,-0.24,-0.05,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,2.05,1.98,1.21,-0.33,3.67,0.45,4.94,-0.16,-0.03,-0.18,-0.18,10.91,
frc2198,19.65,10.30,0.00,5.01,0.80,0.53,-0.30,1.28,2.13,0.74,1.32,0.86,3.09,3.62,0.01,-0.37,0.26,-1.00,1.54,-0.01,5.14,0.93,0.09,1.82,1.66,1.53,5.47,0.81,0.23,0.06,0.25,0.15,0.09,-0.21,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.51,1.49,2.12,0.71,5.01,0.16,9.49,0.02,-0.05,-0.14,-0.10,19.65,
frc4932,19.88,22.89,0.00,4.58,1.22,1.54,1.56,0.81,-0.26,1.94,1.42,1.40,6.16,0.79,-0.40,2.47,3.33,2.21,2.08,0.54,0.72,7.61,12.85,1.80,1.64,1.56,0.81,-0.08,0.20,-0.09,0.45,-0.27,0.47,-0.04,0.69,0.67,0.67,0.67,0.67,0.67,0.67,1.04,2.33,1.65,0.64,4.58,-0.14,14.59,-0.21,0.44,-0.01,0.42,19.88,
frc5426,10.94,20.82,0.00,4.56,1.47,1.83,1.38,-0.45,0.88,1.54,0.54,0.20,4.31,1.66,0.08,-0.11,-0.21,0.63,1.65,0.00,-2.64,1.59,-4.04,1.77,1.88,0.71,3.12,0.84,0.29,0.63,-0.11,0.30,0.61,0.10,0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.27,2.04,2.01,-0.25,4.56,-0.15,9.02,-0.00,-0.11,-0.02,-0.13,10.94,
frc4940,21.48,14.93,0.00,4.14,0.75,1.60,0.60,-0.48,-0.51,1.65,1.41,1.36,4.11,-1.20,-0.44,-0.05,1.32,0.63,1.12,0.58,10.73,3.01,2.00,1.79,1.89,1.67,-0.50,-0.38,0.67,0.02,0.57,-0.39,0.39,-0.28,0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.50,1.55,1.08,0.39,4.14,0.07,6.62,-0.21,-0.23,-0.16,-0.14,21.48,
frc4903,28.70,12.97,0.00,3.97,1.60,1.67,2.42,2.09,2.03,1.08,2.31,2.08,12.54,-0.22,0.24,0.09,2.32,1.58,2.34,-0.07,0.64,6.26,6.60,1.77,1.41,1.85,5.29,0.85,1.60,1.09,0.36,0.35,1.00,0.31,0.88,0.67,0.67,0.67,0.67,0.67,0.67,0.78,0.77,1.80,1.10,3.97,-0.11,24.09,0.02,0.07,-0.10,-0.07,28.70,
frc6544,23.48,24.45,0.00,5.64,2.21,2.07,1.04,1.60,1.52,1.16,1.27,1.02,7.72,-0.76,-0.16,-0.10,3.06,2.33,1.79,0.79,1.18,7.31,11.15,1.68,1.43,1.81,1.63,0.82,0.79,0.17,0.40,0.21,-0.21,0.07,0.00,0.67,0.67,0.67,0.67,0.67,0.67,2.05,1.79,1.68,1.08,5.64,0.16,16.66,-0.05,-0.03,-0.01,-0.01,23.48,
