MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019orlak_qm1,blue,frc5975,frc5468,frc1510,40,50,0,6,5,5,5,0,5,2,2,0,15,0,0,0,3,3,3,0,0,9,0,3,5,5,10,5,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,34,0,0,0,0,40
2019orlak_qm1,red,frc4057,frc7448,frc2635,50,40,0,9,2,2,5,5,2,5,2,2,9,0,0,0,12,3,3,0,0,18,30,5,5,5,14,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,41,0,0,0,0,50
2019orlak_qm10,blue,frc4127,frc6443,frc2898,55,65,0,15,5,5,5,5,0,2,2,2,12,0,0,0,3,12,3,0,0,18,30,5,5,5,10,2,2,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,1,15,0,40,0,0,0,0,55
2019orlak_qm10,red,frc4488,frc1510,frc957,65,55,0,9,5,5,5,2,5,0,5,5,27,0,0,0,12,0,3,0,0,15,30,5,0,5,14,5,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,56,0,0,0,0,65
2019orlak_qm11,blue,frc5970,frc5468,frc4662,54,74,0,12,5,5,5,5,0,5,5,2,24,0,0,0,0,3,3,0,0,6,0,5,5,5,12,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,42,0,0,0,0,54
2019orlak_qm11,red,frc3674,frc4110,frc2811,74,54,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,3,12,0,0,21,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,59,0,0,0,0,74
2019orlak_qm12,blue,frc3192,frc955,frc2733,59,34,0,15,2,2,2,0,0,5,5,2,12,0,0,0,3,3,12,1,0,18,30,5,5,5,14,2,5,0,5,0,2,0,2,2,2,2,2,2,2,6,6,3,3,15,0,44,0,2,0,2,59
2019orlak_qm12,red,frc7204,frc1571,frc7448,34,59,0,9,2,2,2,2,5,5,5,5,12,0,0,0,3,0,3,0,3,6,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,22,0,0,0,0,34
2019orlak_qm13,blue,frc2635,frc1510,frc5450,46,53,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,2,10,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,27,0,0,0,0,46
2019orlak_qm13,red,frc6465,frc2521,frc3812,53,46,0,15,2,5,2,5,0,2,5,2,12,0,0,0,3,3,6,0,6,12,0,5,5,5,8,0,5,2,0,0,2,0,0,2,2,2,2,2,2,6,3,6,2,15,1,32,0,0,0,0,53
