Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5975,12.13,19.91,0.00,3.40,0.13,0.20,-0.26,0.41,1.31,0.28,0.20,0.26,-0.25,2.14,0.00,0.00,2.07,-0.46,2.53,0.19,3.42,4.19,10.16,1.48,1.84,1.78,1.36,0.01,0.07,0.55,0.13,-0.40,-0.16,-0.22,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.66,1.36,1.27,0.44,3.40,-0.03,5.30,-0.14,0.25,-0.19,-0.05,12.13,
frc5468,18.76,15.11,0.00,2.42,1.37,1.42,1.43,0.67,2.09,1.27,1.39,0.32,7.22,1.99,0.00,0.00,0.73,1.28,0.86,-0.07,-0.41,2.91,1.04,1.48,1.48,1.74,6.63,2.00,-0.31,1.43,0.01,0.62,-0.19,0.44,0.00,0.67,0.67,0.67,0.67,0.67,0.67,0.73,1.61,1.20,0.41,2.42,-0.02,16.75,0.14,0.05,0.32,0.22,18.76,
frc1510,14.27,24.15,0.00,2.24,1.60,2.21,1.84,-0.53,1.26,1.22,1.76,1.62,8.20,-0.96,0.00,0.00,1.24,-0.07,0.80,0.66,0.32,1.76,-2.70,1.66,0.87,1.55,1.75,0.74,0.33,0.59,0.16,0.26,0.49,0.25,0.52,0.67,0.67,0.67,0.67,0.67,0.67,1.00,0.78,1.04,-0.36,2.24,-0.03,11.70,0.05,-0.01,-0.23,-0.11,14.27,
frc4057,24.60,20.68,0.00,3.36,-0.60,-0.21,1.57,1.56,0.75,1.69,0.76,0.98,1.54,-1.13,0.00,0.00,3.96,1.14,3.12,-0.20,3.03,8.31,14.18,1.90,1.67,1.74,8.36,-0.05,0.94,-0.33,0.96,-0.12,-0.04,-0.22,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.08,1.53,0.63,1.08,3.36,-0.01,18.21,0.11,-0.10,0.02,0.11,24.60,
frc7448,10.85,14.39,0.00,2.51,0.99,1.18,1.40,0.93,1.62,1.44,1.57,0.92,4.23,-0.18,0.00,0.00,1.05,1.11,0.47,-0.25,0.63,2.70,0.55,1.40,1.88,1.60,0.78,-1.01,0.02,-0.42,-0.17,-0.24,0.13,-0.32,0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.75,1.43,0.63,0.11,2.51,0.12,7.70,-0.10,0.18,-0.23,-0.12,10.85,
frc2635,15.63,25.24,0.00,4.23,1.17,0.94,1.61,0.05,-1.04,1.64,1.17,1.38,4.95,-0.49,0.00,0.00,1.85,2.09,0.15,1.01,0.04,4.10,3.25,1.73,1.73,1.74,2.31,1.15,0.42,0.27,0.64,0.02,0.04,0.04,0.63,0.67,0.67,0.67,0.67,0.67,0.67,1.86,1.11,0.95,-0.09,4.23,0.04,11.36,0.12,0.22,0.46,0.08,15.63,
frc4127,14.75,17.25,0.00,4.95,0.97,0.89,1.07,1.52,1.60,0.16,0.00,0.24,2.14,-1.00,0.00,0.00,0.96,3.28,1.13,0.02,-1.40,5.47,8.87,1.47,1.86,1.56,3.58,0.41,-0.03,0.49,0.75,0.24,-0.12,-0.17,0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.22,1.57,1.58,0.36,4.95,-0.03,11.20,0.11,-0.10,-0.08,0.01,14.75,
frc6443,26.75,19.50,0.00,5.84,1.34,1.48,0.95,1.60,0.76,1.30,1.56,2.19,7.23,0.02,0.00,0.00,4.00,3.94,1.56,0.16,0.22,9.57,17.84,1.91,1.49,1.59,3.89,0.27,1.75,0.89,1.83,-0.15,-0.26,0.03,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,2.32,1.68,1.81,1.27,5.84,0.04,20.69,0.00,-0.14,0.01,-0.14,26.75,
frc2898,16.87,18.07,0.00,5.00,1.04,1.08,1.23,0.83,0.48,0.98,0.88,0.56,4.33,1.60,0.00,0.00,-0.69,2.25,0.18,0.33,0.87,1.73,-0.64,1.53,1.81,1.73,4.94,1.74,-0.04,0.56,0.04,0.50,1.11,0.32,1.30,0.67,0.67,0.67,0.67,0.67,0.67,2.45,1.82,0.73,0.42,5.00,-0.03,11.00,0.06,0.04,0.21,0.46,16.87,
frc4488,33.17,16.19,0.00,5.69,1.96,2.51,1.64,-0.47,0.16,1.60,2.31,1.55,10.07,4.58,0.00,0.00,3.51,2.07,4.43,-0.01,2.36,10.07,20.69,1.83,1.37,1.56,4.98,1.94,2.07,1.69,0.98,-0.15,-0.37,0.45,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,2.32,1.39,1.84,1.98,5.69,-0.03,25.11,0.23,-0.12,0.44,-0.19,33.17,
frc957,19.55,15.20,0.00,3.29,1.16,1.57,0.57,0.61,1.28,0.82,0.42,0.74,5.04,1.77,0.00,0.00,1.41,2.79,1.22,-0.07,1.36,5.49,6.01,1.53,1.41,1.74,4.37,0.63,0.88,0.81,0.91,-0.07,0.19,-0.10,0.32,0.67,0.67,0.67,0.67,0.67,0.67,0.91,1.59,1.07,0.62,3.29,-0.02,14.91,0.06,-0.03,-0.15,0.39,19.55,
frc5970,13.99,20.06,0.00,3.09,1.97,1.87,1.85,1.23,0.81,1.55,1.66,1.14,6.81,-0.90,0.00,0.00,2.38,1.27,0.11,0.24,0.02,3.26,3.68,1.33,1.73,1.51,0.81,0.99,-0.67,0.53,-0.39,0.21,-0.32,0.16,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,1.71,0.95,0.96,0.21,3.09,0.03,10.88,-0.02,-0.18,-0.06,-0.14,13.99,
frc4662,25.03,14.04,0.00,5.22,1.44,1.42,1.63,2.04,1.28,1.97,2.19,2.01,9.36,2.15,0.00,0.00,0.53,0.51,3.04,-0.26,3.84,4.05,4.55,1.58,1.75,1.69,2.55,-0.26,0.94,0.75,0.37,0.14,0.03,-0.09,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.93,1.85,1.56,0.91,5.22,-0.06,15.96,-0.11,0.18,-0.20,0.28,25.03,
frc3674,32.74,14.76,0.00,5.77,2.32,1.76,1.65,2.42,2.40,2.05,1.65,2.08,12.28,1.75,0.00,0.00,1.19,3.19,4.49,0.08,0.47,8.92,17.59,1.80,1.72,1.54,5.31,0.37,1.27,1.21,1.23,0.26,0.16,0.49,0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.69,1.88,2.00,1.49,5.77,-0.04,26.51,0.04,0.04,0.22,0.03,32.74,
frc4110,13.37,17.70,0.00,4.39,2.37,2.33,2.19,0.21,0.36,1.90,2.03,2.05,7.68,-0.80,0.00,0.00,1.61,-0.74,0.47,1.13,-0.01,1.38,-3.37,1.80,1.39,1.77,-0.07,0.25,-0.48,-0.14,-0.05,-0.15,-0.03,-0.15,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.96,1.01,1.78,-0.10,4.39,0.05,8.98,-0.10,-0.26,0.16,-0.11,13.37,
frc2811,24.86,21.83,0.00,5.16,2.20,2.36,2.43,-0.04,0.37,1.18,1.71,1.76,8.96,-1.12,0.00,0.00,3.88,2.42,4.00,-0.02,0.00,10.30,17.40,1.76,1.77,1.37,0.43,0.62,0.33,0.12,0.42,0.00,0.02,-0.07,0.17,0.67,0.67,0.67,0.67,0.67,0.67,2.15,1.89,1.50,0.98,5.16,-0.05,19.69,0.09,-0.05,-0.00,-0.22,24.86,
frc3192,12.94,19.12,0.00,5.27,1.53,1.89,1.92,0.58,0.05,1.56,1.65,1.82,5.85,-0.84,0.00,0.00,0.14,-0.56,2.99,0.23,-0.85,2.60,-1.00,1.49,1.71,1.74,0.07,-0.00,0.13,0.19,-0.46,0.18,0.16,-0.10,0.14,0.67,0.67,0.67,0.67,0.67,0.67,2.07,1.32,2.38,0.10,5.27,0.08,8.52,-0.12,-0.02,-0.24,-0.08,12.94,
frc955,16.67,18.45,0.00,5.28,0.76,1.02,0.18,0.56,0.14,1.35,1.35,1.04,3.99,1.79,0.00,0.00,1.56,0.71,-0.20,-0.28,-0.32,2.13,-0.05,1.77,1.80,1.53,5.59,1.24,1.02,0.56,0.76,0.71,0.15,1.09,0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.23,1.41,1.63,0.62,5.28,-0.03,11.70,0.42,0.13,0.59,0.09,16.67,
frc2733,20.76,21.14,0.00,2.96,0.26,-0.08,0.51,-0.01,0.01,0.90,0.72,0.07,2.96,-0.90,0.00,0.00,1.77,1.49,1.21,1.63,2.06,4.22,5.20,1.81,1.19,1.61,8.56,1.15,1.90,0.77,1.38,0.77,1.18,0.82,0.95,0.67,0.67,0.67,0.67,0.67,0.67,1.42,1.02,1.00,0.53,2.96,0.07,15.73,0.63,0.91,0.85,0.83,20.76,
frc7204,10.41,20.17,0.00,2.15,0.27,0.46,1.15,1.41,1.83,0.95,0.29,1.14,3.22,-0.31,0.00,0.00,1.47,0.56,0.81,0.54,1.31,2.61,4.04,1.14,1.11,1.17,1.12,-0.31,0.71,-0.14,0.29,-0.18,-0.16,-0.24,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.85,1.65,1.53,0.28,2.15,-0.06,6.95,-0.08,0.06,-0.11,-0.19,10.41,
frc1571,16.45,19.46,0.00,5.58,1.22,1.94,0.91,1.51,1.27,1.61,1.87,2.00,6.60,-0.54,0.00,0.00,0.84,0.19,1.02,-0.21,0.45,2.11,2.37,1.65,1.61,1.76,1.71,-0.07,0.10,-0.29,0.00,0.01,0.41,-0.20,0.36,0.67,0.67,0.67,0.67,0.67,0.67,2.10,1.24,2.17,0.37,5.58,0.19,10.42,-0.03,0.08,-0.08,0.09,16.45,
frc5450,13.34,16.83,0.00,3.28,2.17,1.79,1.75,0.69,1.18,1.62,1.81,1.53,7.93,-0.60,0.00,0.00,1.37,0.49,0.23,0.42,-0.44,2.12,-1.54,1.61,1.58,1.76,0.45,-0.38,0.61,-0.07,0.37,-0.28,-0.17,0.45,-0.38,0.67,0.67,0.67,0.67,0.67,0.67,0.69,1.56,1.37,0.09,3.28,0.12,10.50,-0.08,0.02,0.01,-0.05,13.34,
