MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019orore_qm1,blue,frc1571,frc568,frc6831,37,46,0,15,5,5,5,2,0,5,5,2,15,0,0,0,0,3,0,0,0,3,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,22,0,0,0,0,37
2019orore_qm1,red,frc3192,frc3636,frc2550,46,37,0,12,5,5,5,0,5,2,0,2,18,0,0,0,0,3,3,0,0,6,0,3,5,5,10,5,2,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,34,0,0,0,0,46
2019orore_qm10,blue,frc4662,frc2521,frc2898,41,28,0,12,5,5,2,0,0,5,5,5,15,0,0,0,0,6,0,1,0,6,0,5,5,5,8,0,2,0,2,0,2,0,2,2,2,2,2,2,2,6,3,3,2,12,0,29,0,0,0,0,41
2019orore_qm10,red,frc2411,frc568,frc2374,28,41,0,6,2,2,0,0,0,2,5,2,9,0,0,0,0,3,3,0,3,6,0,3,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,19,0,0,0,0,28
2019orore_qm11,blue,frc5970,frc3673,frc6696,39,39,0,15,5,5,5,0,0,5,5,2,15,0,0,0,3,3,3,1,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,24,0,0,0,0,39
2019orore_qm11,red,frc1571,frc3024,frc4127,39,39,0,15,2,5,5,0,0,2,2,2,6,0,0,0,3,12,0,0,3,15,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,21,0,0,0,0,39
2019orore_qm12,blue,frc4110,frc5085,frc1510,40,39,0,9,5,5,5,0,5,5,5,5,24,0,0,0,0,3,0,0,0,3,0,5,5,0,4,0,0,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,31,0,0,0,0,40
2019orore_qm12,red,frc1425,frc4051,frc2635,39,40,0,9,5,5,5,5,0,5,5,2,18,0,0,0,3,3,0,0,0,6,0,5,5,0,6,2,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,0,0,9,0,30,0,0,0,0,39
2019orore_qm13,blue,frc568,frc2898,frc6845,57,54,0,9,2,2,5,5,5,5,5,5,27,0,0,0,3,3,0,0,3,6,0,3,5,5,12,0,5,0,5,0,0,0,5,2,2,2,2,2,2,3,3,6,2,9,0,45,0,0,0,2,57
2019orore_qm13,red,frc1432,frc1540,frc6831,54,57,0,15,5,5,5,5,0,5,5,5,24,0,0,0,3,3,3,1,0,9,0,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,39,0,0,0,0,54
