MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019orwil_qm1,blue,frc6831,frc3223,frc6696,17,63,0,0,0,2,2,0,0,2,2,0,3,0,0,0,0,0,0,1,10,0,0,0,0,0,4,5,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,0,0,7,0,0,0,0,17
2019orwil_qm1,red,frc3131,frc4043,frc3711,63,17,0,12,0,5,5,5,5,5,0,5,18,0,0,0,3,3,12,0,3,18,30,5,5,5,12,0,2,0,0,0,0,2,0,2,2,2,2,2,2,3,6,3,3,12,1,48,0,0,0,0,63
2019orwil_qm10,blue,frc7032,frc1425,frc6445,62,37,0,6,5,5,5,0,5,2,2,2,12,0,0,0,0,3,3,0,36,6,0,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,2,6,0,20,0,0,0,0,62
2019orwil_qm10,red,frc4692,frc2915,frc5468,37,62,0,12,5,5,5,0,5,0,0,0,12,0,0,0,3,3,3,12,0,9,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,25,0,0,0,0,37
2019orwil_qm11,blue,frc3711,frc2550,frc5085,49,14,0,12,2,5,5,0,0,5,2,5,12,0,0,0,12,3,3,0,3,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,34,0,0,0,0,49
2019orwil_qm11,red,frc5977,frc2733,frc1359,14,49,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,3,3,1,0,6,0,0,3,3,8,0,2,0,0,0,0,0,2,2,2,2,2,2,2,0,3,3,0,0,0,14,0,2,0,2,14
2019orwil_qm12,blue,frc4057,frc955,frc2811,33,39,0,6,0,5,5,0,0,0,2,2,6,0,0,0,12,0,3,0,0,15,30,5,3,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,6,0,27,0,0,0,0,33
2019orwil_qm12,red,frc6443,frc3024,frc5198,39,33,0,15,2,2,2,0,0,2,2,2,0,0,0,0,12,3,3,0,0,18,30,5,5,5,6,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,24,0,0,0,0,39
2019orwil_qm13,blue,frc7204,frc957,frc7448,18,45,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,3,0,0,0,0,18
2019orwil_qm13,red,frc6343,frc4043,frc4125,45,18,0,9,2,2,2,5,5,5,5,5,15,0,0,0,3,3,3,2,0,9,0,5,5,3,12,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,36,0,0,0,0,45
2019orwil_qm14,blue,frc1425,frc7034,frc753,44,25,0,9,5,5,5,0,5,5,5,2,18,0,0,0,12,0,3,0,0,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,35,0,0,0,0,44
2019orwil_qm14,red,frc4051,frc6831,frc2550,25,44,0,15,2,2,0,2,5,2,0,0,3,0,0,0,3,0,0,0,0,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,10,0,0,0,0,25
2019orwil_qm15,blue,frc5468,frc3636,frc955,21,33,0,6,5,2,5,2,2,0,0,0,6,0,0,0,0,0,3,0,0,3,0,3,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,15,0,0,0,0,21
2019orwil_qm15,red,frc1359,frc5198,frc2990,33,21,0,9,2,0,5,5,0,5,5,5,15,0,0,0,0,3,0,0,0,3,0,0,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,24,0,0,0,0,33
2019orwil_qm16,blue,frc2733,frc1540,frc3223,80,24,0,9,5,5,5,5,2,2,2,2,18,0,0,0,0,12,3,0,24,15,30,0,5,5,14,2,5,0,5,2,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,47,2,0,0,0,80
2019orwil_qm16,red,frc957,frc4125,frc7032,24,80,0,6,2,2,2,0,2,2,2,2,3,0,0,0,3,3,3,8,0,9,0,5,3,3,6,0,0,0,0,0,2,0,5,2,2,2,2,2,2,6,6,3,0,6,0,18,0,0,0,0,24
2019orwil_qm17,blue,frc3673,frc3711,frc6443,53,38,0,15,2,5,5,2,0,5,5,2,12,0,0,0,0,6,12,3,0,18,30,5,5,5,8,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,38,0,0,0,0,53
2019orwil_qm17,red,frc2811,frc3024,frc3131,38,53,0,9,5,5,5,0,0,5,2,2,12,30,0,0,3,3,0,0,9,6,0,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,20,0,0,0,0,38
2019orwil_qm18,blue,frc2915,frc997,frc5977,53,30,0,9,5,5,5,5,2,5,5,5,21,0,0,0,3,6,0,0,10,9,0,5,5,0,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,0,2,9,0,34,0,0,0,0,53
2019orwil_qm18,red,frc847,frc7204,frc4692,30,53,0,12,5,5,0,0,0,0,5,5,12,0,0,0,3,3,3,0,0,6,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,1,18,0,0,0,0,30
2019orwil_qm19,blue,frc6696,frc6343,frc4057,49,49,0,6,5,5,5,2,5,2,0,2,12,0,0,0,0,3,12,0,0,15,30,0,5,5,16,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,43,0,0,0,0,49
2019orwil_qm19,red,frc6845,frc6445,frc5085,49,49,0,12,2,2,2,5,0,5,5,5,18,0,0,0,6,3,0,0,0,9,0,5,5,5,10,0,0,0,0,0,2,0,2,2,2,2,2,2,2,6,3,3,1,12,0,37,0,5,0,5,49
