Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6831,7.44,17.17,0.00,2.82,0.31,0.86,0.78,-0.34,0.74,0.40,-0.22,0.06,1.40,-0.36,0.00,0.00,0.69,1.75,-0.48,0.43,-0.61,2.13,-0.43,1.20,0.59,1.22,1.70,0.99,0.59,0.97,0.51,0.12,0.03,0.32,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.92,1.30,1.56,0.01,2.82,0.02,5.24,-0.09,0.13,-0.14,0.15,7.44,
frc3223,15.19,19.21,0.00,2.56,2.01,1.24,1.72,0.59,0.99,1.74,1.62,0.70,6.19,-0.32,0.00,0.00,-1.07,2.44,0.55,-0.01,3.23,1.99,1.26,0.73,1.28,1.48,1.22,0.22,0.58,-0.46,0.59,0.05,-0.17,0.17,-0.26,0.67,0.67,0.67,0.67,0.67,0.67,1.76,0.29,1.52,0.08,2.56,0.21,9.40,0.05,-0.14,0.20,-0.18,15.19,
frc6696,9.52,13.51,0.00,2.71,0.65,0.84,0.88,0.64,-0.18,0.78,1.08,0.14,0.56,-0.53,0.00,0.00,1.82,-0.30,1.39,0.36,2.34,2.73,3.89,0.75,1.66,1.22,1.18,0.64,-0.28,0.26,-0.49,0.05,-0.15,-0.27,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.37,1.88,0.56,0.56,2.71,0.05,4.47,0.15,-0.13,0.41,-0.11,9.52,
frc3131,6.79,15.07,0.00,3.94,0.17,0.98,0.84,-0.92,-0.24,1.50,0.98,1.25,0.97,2.63,0.00,0.00,0.06,0.26,1.01,-0.30,1.17,0.97,-1.13,1.13,2.00,1.63,-0.25,0.04,-0.48,0.33,-0.61,-0.06,-0.10,0.20,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.31,1.65,2.05,0.07,3.94,0.04,1.68,0.59,-0.05,0.37,0.15,6.79,
frc4043,27.48,10.48,0.00,5.77,0.67,1.08,1.30,2.45,2.58,1.28,0.31,0.16,6.05,-0.38,0.00,0.00,0.94,0.74,3.64,0.39,1.03,5.20,4.78,1.45,1.94,1.62,9.42,0.62,1.90,0.19,0.95,-0.13,0.05,-0.05,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.32,1.29,2.14,1.01,5.77,0.14,20.67,-0.13,0.10,-0.11,-0.06,27.48,
frc3711,28.77,8.70,0.00,3.80,1.93,2.27,2.18,0.61,0.85,2.61,1.90,2.14,10.03,-0.30,0.00,0.00,1.58,3.24,5.41,-0.29,3.34,10.42,20.44,1.74,2.00,2.04,1.18,-0.03,0.64,0.07,0.31,0.06,-0.14,0.61,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.16,1.31,0.75,1.28,3.80,0.03,21.64,-0.07,-0.09,-0.09,-0.04,28.77,
frc7032,5.80,15.85,0.00,0.33,0.65,0.68,0.88,0.14,0.18,-0.01,0.21,-0.12,-0.45,-0.69,0.00,0.00,0.57,0.81,1.80,0.44,3.40,2.76,0.28,0.80,1.15,0.59,-0.25,-0.50,0.05,0.08,-0.42,-0.07,0.04,-0.01,0.23,0.67,0.67,0.67,0.67,0.67,0.67,0.28,0.49,1.51,0.13,0.33,0.05,2.07,-0.04,-0.08,-0.09,-0.06,5.80,
frc1425,19.28,12.30,0.00,3.84,1.76,1.49,1.68,0.67,1.06,1.21,1.26,0.86,4.50,-0.61,0.00,0.00,1.27,3.09,3.56,0.49,3.12,7.74,15.73,1.37,1.88,1.59,0.08,0.01,0.19,-0.20,0.31,-0.09,-0.25,-0.22,-0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.18,0.24,1.12,3.84,-0.05,12.32,-0.08,-0.20,-0.10,-0.12,19.28,
frc6445,17.21,12.49,0.00,3.31,1.29,2.13,1.80,-0.23,0.05,1.66,2.59,1.64,8.09,0.03,0.00,0.00,0.17,-0.10,0.97,-0.25,2.24,1.29,-2.34,1.54,1.46,1.67,2.28,0.77,0.39,0.34,0.07,0.03,0.33,0.11,0.61,0.67,0.67,0.67,0.67,0.67,0.67,1.08,1.07,0.45,0.34,3.31,0.02,11.66,-0.03,0.55,0.22,0.57,17.21,
frc4692,18.39,19.67,0.00,6.19,1.99,1.58,1.62,0.92,0.27,1.62,1.32,1.55,7.36,-0.15,0.00,0.00,1.75,1.44,3.10,1.17,-1.40,6.11,8.55,1.92,0.77,1.89,0.12,0.79,-0.26,0.51,0.14,-0.04,-0.26,-0.09,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,2.05,1.56,1.97,0.44,6.19,0.28,13.59,-0.01,-0.14,0.12,0.10,18.39,
frc2915,17.89,15.60,0.00,3.10,2.07,2.01,1.49,1.46,1.61,1.43,1.98,1.18,7.25,-0.39,0.00,0.00,1.28,0.80,2.42,1.21,0.71,4.33,1.15,2.21,1.50,1.76,2.50,0.24,1.00,-0.04,0.46,-0.11,0.09,-0.25,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.19,0.59,0.70,0.69,3.10,0.02,14.08,-0.01,0.04,-0.07,-0.12,17.89,
