MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019paben_qm1,blue,frc4361,frc224,frc204,57,57,0,15,5,2,5,5,0,5,5,5,18,0,0,0,6,6,3,0,3,15,30,5,5,5,6,0,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,39,2,0,0,0,57
2019paben_qm1,red,frc341,frc4637,frc555,57,57,0,9,5,5,5,0,5,5,5,5,24,0,0,0,12,3,3,1,0,18,30,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,48,0,0,0,0,57
2019paben_qm10,blue,frc2554,frc204,frc87,50,63,0,15,5,5,5,5,0,5,5,5,21,0,0,0,6,3,3,1,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,35,0,0,0,0,50
2019paben_qm10,red,frc2607,frc6808,frc2180,63,50,0,12,2,2,2,0,0,5,5,5,21,0,0,0,12,3,0,0,3,15,30,5,3,5,12,2,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,12,0,48,0,2,0,0,63
2019paben_qm11,blue,frc219,frc303,frc5401,95,73,0,12,2,2,2,5,0,2,2,2,30,30,0,30,12,3,12,0,0,27,30,5,5,5,26,5,5,5,5,2,5,5,5,2,2,2,2,2,2,3,3,6,4,12,1,83,2,5,2,5,95
2019paben_qm11,red,frc2016,frc316,frc4573,73,95,0,15,5,5,5,0,0,5,5,5,24,0,0,0,6,6,6,0,10,18,30,5,5,5,6,0,5,0,5,0,2,0,0,2,2,2,2,2,2,6,3,6,1,15,0,48,0,0,0,0,73
2019paben_qm12,blue,frc5490,frc7877,frc341,48,28,0,9,5,5,5,2,0,5,5,5,24,0,0,0,3,3,3,1,0,9,0,5,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,39,0,0,0,0,48
2019paben_qm12,red,frc1218,frc5404,frc87,28,48,0,9,2,2,2,0,5,5,5,5,12,0,0,0,0,0,0,0,3,0,0,5,0,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,16,0,0,0,0,28
2019paben_qm13,blue,frc708,frc224,frc7599,30,73,0,9,2,2,2,0,2,0,0,2,0,0,0,0,0,6,3,0,0,9,0,0,5,5,12,2,0,0,2,2,0,0,2,2,2,2,2,2,2,6,3,6,0,9,1,21,2,0,0,0,30
2019paben_qm13,red,frc204,frc1391,frc1640,73,30,0,15,5,5,5,0,5,5,5,5,21,0,0,0,0,12,3,0,10,15,30,5,5,5,12,2,0,0,0,2,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,48,2,0,2,0,73
