Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4361,10.03,17.75,0.00,3.16,0.80,1.23,1.64,-0.25,-0.34,1.78,1.54,0.91,3.87,-0.81,-0.42,-0.25,1.82,0.60,1.70,0.35,-0.49,3.89,2.69,0.84,1.76,1.41,-0.41,-0.01,-0.53,-0.18,0.12,0.45,0.32,0.21,0.24,0.67,0.67,0.67,0.67,0.67,0.67,0.30,1.37,2.00,0.17,3.16,-0.08,7.35,0.34,-0.14,0.04,-0.22,10.03,
frc224,19.67,23.45,0.00,4.75,1.04,1.28,1.21,0.20,1.01,0.44,0.55,0.66,2.04,-1.37,-0.69,-0.22,0.91,3.07,2.43,0.31,0.26,6.40,10.09,1.29,1.68,1.60,6.22,0.20,1.35,0.52,0.67,0.70,0.35,0.34,0.72,0.67,0.67,0.67,0.67,0.67,0.67,2.05,1.40,1.64,0.92,4.75,0.08,14.66,0.56,0.25,0.18,-0.17,19.67,
frc204,13.87,20.04,0.00,4.63,1.49,0.59,0.65,1.49,0.48,1.37,1.61,1.39,3.36,-0.46,-0.06,-0.04,0.15,1.97,1.51,0.26,1.52,3.68,5.01,1.75,1.58,1.76,0.68,0.58,-0.46,0.18,-0.29,-0.34,-0.18,-0.43,-0.47,0.67,0.67,0.67,0.67,0.67,0.67,1.92,1.97,1.32,0.30,4.63,0.20,7.72,-0.17,0.32,-0.24,0.41,13.87,
frc341,24.12,17.36,0.00,3.40,1.15,1.19,1.05,1.03,1.56,2.06,1.70,0.92,8.58,-1.91,-1.06,-0.45,1.20,1.71,3.46,0.36,0.47,6.38,4.86,1.85,1.76,1.60,5.29,0.38,2.08,0.27,1.49,0.30,1.12,0.26,0.73,0.67,0.67,0.67,0.67,0.67,0.67,0.89,1.08,1.29,0.42,3.40,-0.08,20.25,-0.35,0.50,-0.14,0.48,24.12,
frc4637,14.20,17.28,0.00,2.44,1.31,2.07,1.87,0.14,1.15,2.17,2.05,1.75,9.46,0.73,-1.24,1.86,-0.37,2.64,-0.21,-0.08,-1.49,2.09,3.63,1.31,1.67,1.86,1.70,-0.35,1.34,-0.04,1.76,-0.72,0.79,-0.50,1.11,0.67,0.67,0.67,0.67,0.67,0.67,1.09,0.72,0.89,0.32,2.44,-0.03,13.25,-0.58,0.33,-0.44,0.51,14.20,
frc555,20.15,22.73,0.00,3.82,1.32,1.33,2.22,1.43,0.64,0.86,0.98,1.49,8.13,0.42,1.72,-0.95,2.62,1.43,0.46,0.09,1.06,4.52,1.41,1.90,1.74,1.67,2.62,1.29,-0.13,0.97,0.84,0.90,-0.72,0.70,-0.60,0.67,0.67,0.67,0.67,0.67,0.67,1.19,1.15,1.11,0.56,3.82,-0.07,15.27,0.98,-0.43,0.67,-0.38,20.15,
frc2554,19.09,23.37,0.00,5.62,1.22,1.69,1.81,0.31,-0.14,1.90,2.56,2.33,8.26,1.02,-1.52,-0.07,3.00,1.35,0.87,-0.02,-0.08,5.19,5.26,1.72,1.76,1.65,0.09,-0.26,-0.02,-0.18,0.96,0.32,0.47,-0.04,0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.29,1.83,2.14,0.17,5.62,0.14,13.55,-0.71,0.45,-0.25,-0.12,19.09,
frc87,9.27,22.37,0.00,5.23,1.28,1.40,1.34,1.06,-0.33,1.70,1.68,1.76,3.95,0.38,1.31,-0.65,0.11,-0.64,1.88,0.34,-0.75,1.36,-1.44,1.86,1.25,1.68,-0.54,-0.37,0.20,-0.41,-0.57,-0.16,-0.33,-0.17,-0.52,0.67,0.67,0.67,0.67,0.67,0.67,2.53,1.57,1.46,-0.25,5.23,-0.11,4.78,0.29,-0.33,0.04,-0.30,9.27,
frc2607,34.66,19.53,0.00,5.26,1.76,1.66,0.66,0.73,0.17,0.55,0.76,0.42,12.40,11.52,9.52,2.17,1.37,3.21,1.72,0.58,2.44,6.31,12.83,1.27,1.53,1.76,8.24,2.58,0.92,2.48,1.14,2.77,0.70,2.25,1.29,0.67,0.67,0.67,0.67,0.67,0.67,2.02,1.46,2.31,1.69,5.26,0.04,26.96,1.63,0.20,1.76,0.16,34.66,
frc6808,10.79,25.32,0.00,2.86,1.55,1.11,1.03,1.60,1.44,1.21,0.57,0.60,2.43,-2.18,-1.30,-0.79,1.80,1.80,-0.43,0.01,1.12,3.17,4.32,1.74,1.46,1.40,1.20,-0.17,0.01,-0.23,-0.18,-0.18,-0.33,-0.32,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.33,1.46,0.74,-0.32,2.86,-0.10,6.80,0.04,-0.36,-0.04,-0.35,10.79,
