MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019paca_qm1,blue,frc3492,frc3201,frc5740,45,71,0,15,2,5,5,2,0,5,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,30,2,0,2,0,45
2019paca_qm1,red,frc144,frc4467,frc379,71,45,0,12,5,5,0,0,5,5,2,2,30,30,0,30,0,3,12,0,0,15,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,3,4,12,0,59,0,5,0,5,71
2019paca_qm10,blue,frc6032,frc3504,frc117,71,50,0,12,5,5,5,0,5,5,5,5,27,0,0,0,3,12,3,0,0,18,30,5,5,5,14,0,0,0,0,0,5,0,5,2,2,2,2,2,2,3,6,3,3,12,0,59,0,0,0,0,71
2019paca_qm10,red,frc4150,frc291,frc4467,50,71,0,12,5,5,5,5,5,5,5,5,24,0,0,0,0,3,3,0,0,6,0,5,5,5,8,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,38,0,0,0,0,50
2019paca_qm11,blue,frc5842,frc102,frc5811,48,36,0,12,2,2,5,5,0,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,12,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,36,0,0,0,0,48
2019paca_qm11,red,frc2641,frc48,frc379,36,48,0,6,0,0,0,5,5,0,0,0,6,0,0,0,0,6,12,0,0,18,30,3,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,6,0,30,0,0,0,0,36
2019paca_qm12,blue,frc2053,frc4050,frc1708,65,36,0,12,5,5,5,5,5,5,5,5,30,0,0,0,6,3,6,0,0,15,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,53,0,0,0,0,65
2019paca_qm12,red,frc4780,frc7515,frc7670,36,65,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,24,0,0,0,0,36
2019paca_qm13,blue,frc3954,frc2656,frc2051,67,41,0,15,2,5,0,2,0,0,2,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,16,2,0,2,2,5,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,52,5,0,5,0,67
2019paca_qm13,red,frc7274,frc4049,frc7460,41,67,0,15,5,0,5,0,0,5,0,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,5,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,26,0,0,0,0,41
2019paca_qm14,blue,frc3201,frc3260,frc156,49,58,0,15,2,5,5,0,5,5,5,5,21,0,0,0,0,3,0,0,0,3,0,5,5,5,10,0,2,0,5,0,0,0,2,2,2,2,2,2,2,6,6,3,0,15,0,34,0,0,0,2,49
2019paca_qm14,red,frc3957,frc4027,frc3324,58,49,0,6,2,2,2,0,0,5,5,5,24,0,0,0,3,3,6,0,0,12,0,3,5,5,16,5,0,5,0,0,5,0,5,2,2,2,2,2,2,3,3,3,2,6,0,52,0,5,0,2,58
