MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019pahat_qm1,blue,frc6943,frc6808,frc1807,36,43,0,3,5,5,5,2,0,0,2,0,9,0,0,0,3,3,12,0,0,18,30,3,3,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,3,0,33,0,0,0,0,36
2019pahat_qm1,red,frc5684,frc709,frc5401,43,36,0,12,5,5,5,5,0,5,2,2,18,0,0,0,3,3,3,0,0,9,0,3,5,5,4,0,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,12,0,31,0,0,0,0,43
2019pahat_qm10,blue,frc6943,frc4373,frc103,59,16,0,6,5,5,5,5,5,5,5,5,27,0,0,0,0,3,12,0,3,15,30,0,5,5,8,0,2,0,5,0,0,0,0,2,2,2,2,2,2,0,3,3,3,6,0,50,0,0,0,0,59
2019pahat_qm10,red,frc5666,frc6808,frc816,16,59,0,6,0,2,2,0,0,2,2,0,0,0,0,0,3,3,0,1,0,6,0,5,5,0,4,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,0,6,0,10,0,0,0,0,16
2019pahat_qm11,blue,frc2095,frc5181,frc2559,22,45,0,12,2,2,5,5,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,10,0,0,0,0,22
2019pahat_qm11,red,frc709,frc4652,frc1647,45,22,0,15,5,0,5,0,0,5,0,5,12,0,0,0,12,3,3,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,30,0,0,0,0,45
2019pahat_qm12,blue,frc5684,frc103,frc319,52,20,0,9,5,5,5,5,2,5,5,5,21,0,0,0,3,12,3,0,0,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,43,0,0,0,0,52
2019pahat_qm12,red,frc6921,frc1391,frc2458,20,52,0,6,2,2,5,0,0,2,2,5,6,0,0,0,0,0,6,0,0,6,0,5,5,3,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,14,0,0,0,0,20
2019pahat_qm13,blue,frc6808,frc1647,frc4454,43,36,0,9,0,2,0,0,0,0,2,0,0,0,0,0,3,3,3,0,23,9,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,11,0,0,0,0,43
2019pahat_qm13,red,frc293,frc1807,frc203,36,43,0,9,2,2,0,5,5,0,2,2,6,0,0,0,3,12,0,1,0,15,30,5,5,3,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,2,27,0,0,0,0,36
2019pahat_qm14,blue,frc708,frc3974,frc3929,35,44,0,12,2,2,2,0,0,5,2,2,3,0,0,0,3,12,3,0,0,18,30,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,23,0,0,0,0,35
2019pahat_qm14,red,frc7414,frc2559,frc1391,44,35,0,12,5,5,0,0,5,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,8,0,2,2,0,0,2,0,0,2,2,2,2,2,2,3,6,3,2,12,0,32,0,0,0,0,44
2019pahat_qm15,blue,frc6943,frc5684,frc4652,39,58,0,9,2,5,2,2,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,3,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,30,0,0,0,0,39
2019pahat_qm15,red,frc5895,frc2607,frc319,58,39,0,12,2,5,5,5,5,5,5,5,24,0,0,0,6,3,3,0,0,12,0,5,5,5,10,0,5,0,2,0,2,0,0,2,2,2,2,2,2,3,6,3,2,12,0,46,0,0,0,0,58
2019pahat_qm16,blue,frc709,frc2234,frc5181,77,47,0,15,5,5,5,5,5,5,2,5,21,0,0,0,12,3,3,0,13,18,30,5,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,49,0,0,0,0,77
2019pahat_qm16,red,frc4285,frc4373,frc5401,47,77,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,3,3,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,1,32,0,0,0,0,47
2019pahat_qm17,blue,frc1143,frc2095,frc6921,28,60,0,9,5,0,0,5,5,2,2,2,9,0,0,0,0,0,3,0,3,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,16,0,0,0,0,28
2019pahat_qm17,red,frc5666,frc2539,frc6226,60,28,0,12,2,2,0,0,0,0,5,2,18,0,0,0,0,12,6,1,0,18,30,5,5,5,12,5,2,5,0,0,5,0,0,2,2,2,2,2,2,6,3,3,3,12,0,48,5,0,5,0,60
2019pahat_qm18,blue,frc1218,frc293,frc2234,36,37,0,6,5,0,0,5,0,0,2,2,6,0,0,0,12,3,3,0,0,18,30,3,5,5,6,2,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,6,0,30,0,0,0,0,36
2019pahat_qm18,red,frc5457,frc816,frc2607,37,36,0,12,5,0,5,0,5,5,0,5,15,0,0,0,3,0,3,0,0,6,0,5,5,5,4,0,0,0,0,0,0,2,0,2,2,2,2,2,2,3,3,6,2,12,0,25,0,0,0,0,37
