Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6943,5.91,15.99,0.00,1.84,0.93,1.02,0.68,0.41,-0.60,0.65,1.91,0.84,1.78,-0.73,0.00,0.00,0.57,-0.91,3.03,0.03,0.03,2.54,3.40,0.74,0.95,1.61,-0.28,-0.60,0.42,-0.36,0.57,-0.10,-0.16,0.08,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.83,1.02,1.92,-0.32,1.84,-0.05,4.04,-0.04,-0.06,-0.01,-0.04,5.91,
frc6808,11.49,17.86,0.00,2.38,0.94,2.38,1.42,0.47,-0.62,0.84,1.21,0.90,4.10,-0.33,0.00,0.00,0.88,0.82,1.35,0.27,1.47,3.22,2.74,1.68,1.51,1.35,0.33,0.38,0.05,-0.49,0.19,-0.01,0.01,-0.13,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.22,1.04,0.73,-0.01,2.38,-0.06,7.65,-0.09,-0.07,-0.08,-0.06,11.49,
frc1807,27.27,14.15,0.00,2.47,1.90,2.04,1.29,3.29,1.31,0.73,2.12,1.70,11.32,4.31,0.00,0.00,0.79,3.80,2.18,0.01,1.35,6.68,8.60,1.55,1.73,1.23,5.44,0.78,1.94,0.56,1.70,-0.09,0.33,-0.19,0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.76,1.20,1.58,1.11,2.47,0.10,23.44,-0.01,-0.06,-0.02,-0.02,27.27,
frc5684,18.69,10.30,0.00,2.67,1.45,2.10,2.23,1.47,0.84,2.58,2.06,1.88,9.51,-0.92,0.00,0.00,0.73,2.63,0.52,0.06,0.05,3.70,1.14,1.53,1.57,1.46,2.76,-0.34,0.86,0.60,0.94,-0.10,0.30,0.18,0.50,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.06,0.70,0.68,2.67,0.02,15.97,-0.03,-0.02,0.00,-0.01,18.69,
frc709,25.90,19.38,0.00,6.75,1.98,2.15,2.28,1.07,0.75,2.18,0.94,1.89,8.60,-0.39,0.00,0.00,3.83,1.34,3.72,-0.14,0.82,8.90,17.62,1.69,1.96,1.76,0.83,0.43,-0.08,0.98,-0.13,0.17,-0.17,0.08,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.53,2.22,2.07,0.91,6.75,-0.06,18.33,0.10,-0.03,-0.04,-0.03,25.90,
frc5401,18.19,18.63,0.00,5.57,1.35,1.81,2.00,1.03,1.43,1.82,0.85,0.95,7.49,-0.46,0.00,0.00,0.93,1.45,1.02,0.08,-0.61,3.17,-1.16,1.42,1.49,1.51,2.57,0.57,0.54,0.31,1.03,0.15,-0.26,-0.04,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.21,2.11,1.95,0.28,5.57,0.12,13.22,0.10,-0.06,-0.05,-0.05,18.19,
frc4373,15.09,19.15,0.00,3.11,1.75,1.40,1.81,-0.47,1.72,2.02,1.25,2.20,7.12,2.02,0.00,0.00,0.21,1.84,0.14,0.28,-0.12,2.24,0.18,1.42,1.73,1.77,2.74,0.04,0.11,0.26,0.82,-0.13,0.54,-0.17,0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.45,1.08,1.14,0.25,3.11,0.22,12.09,-0.08,0.55,-0.02,0.47,15.09,
frc103,25.68,10.26,0.00,3.18,1.75,1.78,1.21,1.14,1.54,1.95,1.36,1.74,7.79,4.52,0.00,0.00,4.13,2.00,3.09,-0.06,2.89,9.30,20.01,1.47,1.79,1.50,2.52,0.03,-0.08,0.35,0.35,0.52,-0.15,0.87,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,0.44,1.37,1.23,1.69,3.18,-0.05,19.61,0.08,0.31,0.10,0.07,25.68,
frc5666,11.52,12.47,0.00,4.83,-0.69,-0.24,-0.39,0.07,-0.60,0.91,0.63,1.02,1.19,4.49,0.00,0.00,0.92,1.04,-0.71,0.31,2.13,1.32,-3.69,1.56,1.52,1.46,2.05,0.26,0.65,0.19,0.62,-0.18,0.43,0.36,0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.70,1.36,2.40,0.51,4.83,-0.06,4.56,0.35,-0.04,0.40,-0.02,11.52,
frc816,8.63,16.29,0.00,2.01,1.38,0.88,1.45,-0.09,0.71,1.03,0.62,1.26,3.10,-0.67,0.00,0.00,1.74,0.58,0.62,-0.22,0.33,3.01,-0.63,1.52,1.82,0.75,0.17,0.18,-0.03,0.27,-0.29,-0.13,-0.02,0.10,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.27,0.83,1.28,0.05,2.01,0.04,6.29,-0.06,-0.05,-0.03,-0.03,8.63,
