MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019paphi_qm1,blue,frc4637,frc747,frc1218,67,38,0,6,5,5,5,5,2,5,2,2,15,0,0,0,3,12,3,0,22,18,30,3,3,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,6,0,39,0,0,0,0,67
2019paphi_qm1,red,frc321,frc293,frc316,38,67,0,15,2,5,5,5,0,5,2,5,15,0,0,0,3,3,0,4,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,1,23,0,0,0,0,38
2019paphi_qm10,blue,frc2168,frc2729,frc708,77,79,0,15,2,5,5,0,0,5,5,5,24,0,0,0,6,6,12,0,0,24,30,5,5,5,14,5,0,5,0,2,0,5,2,2,2,2,2,2,2,3,6,6,1,15,0,62,2,0,2,0,77
2019paphi_qm10,red,frc5407,frc1218,frc709,79,77,0,15,5,5,5,5,5,5,5,5,30,0,0,0,12,6,6,0,0,24,30,5,5,5,10,0,2,0,0,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,64,0,0,0,0,79
2019paphi_qm11,blue,frc7877,frc2234,frc5404,54,56,0,12,5,5,5,5,5,5,5,2,21,0,0,0,0,3,12,0,0,15,30,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,42,0,0,0,0,54
2019paphi_qm11,red,frc2016,frc321,frc225,56,54,0,9,2,2,2,0,5,2,5,5,27,30,0,30,3,0,3,0,0,6,0,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,3,9,0,47,0,5,0,5,56
2019paphi_qm12,blue,frc2180,frc1495,frc3974,39,52,0,9,5,5,5,5,2,5,2,5,18,0,0,0,0,3,3,0,0,6,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,30,0,0,0,0,39
2019paphi_qm12,red,frc7414,frc293,frc433,52,39,0,9,2,2,2,5,5,5,5,5,15,0,0,0,3,3,12,0,0,18,30,5,5,3,10,0,0,2,2,0,2,0,0,2,2,2,2,2,2,3,6,3,3,9,0,43,0,0,0,0,52
2019paphi_qm13,blue,frc225,frc4637,frc709,66,60,0,12,5,5,5,0,0,5,2,2,27,0,0,0,0,3,12,0,0,15,30,5,5,5,12,2,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,3,12,1,54,5,0,5,0,66
2019paphi_qm13,red,frc1168,frc752,frc1218,60,66,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,10,6,0,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,38,0,0,0,0,60
2019paphi_qm14,blue,frc5407,frc4342,frc2095,73,55,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,6,6,0,0,24,30,5,5,5,10,0,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,1,58,0,0,0,0,73
2019paphi_qm14,red,frc747,frc316,frc708,55,73,0,15,2,5,2,0,0,2,2,2,3,0,0,0,12,0,3,0,10,15,30,5,5,5,12,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,30,0,0,0,0,55
2019paphi_qm15,blue,frc5181,frc2539,frc2168,89,41,0,15,2,2,2,5,5,5,5,5,30,0,0,0,6,12,3,0,9,21,30,5,5,5,14,0,5,0,0,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,65,0,5,0,5,89
2019paphi_qm15,red,frc2729,frc4373,frc7599,41,89,0,12,5,5,5,5,0,5,2,5,18,0,0,0,3,3,3,3,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,29,0,0,0,0,41
2019paphi_qm16,blue,frc4342,frc486,frc7877,44,65,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,2,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,32,0,0,0,0,44
2019paphi_qm16,red,frc747,frc2234,frc103,65,44,0,12,5,5,5,0,5,5,5,5,27,0,0,0,3,3,6,0,6,12,0,5,5,5,8,5,2,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,47,0,0,0,0,65
2019paphi_qm17,blue,frc5407,frc752,frc1495,51,70,0,12,5,5,5,0,5,5,5,2,18,0,0,0,12,0,3,0,0,15,30,5,5,5,6,0,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,39,0,0,0,0,51
2019paphi_qm17,red,frc293,frc2539,frc2016,70,51,0,12,5,5,5,0,0,5,2,5,27,0,0,0,3,12,6,0,0,21,30,5,5,5,10,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,3,12,0,58,0,0,2,0,70
2019paphi_qm18,blue,frc2729,frc7877,frc225,53,62,0,12,5,5,5,0,5,5,5,2,24,0,0,0,3,3,3,3,0,9,0,5,5,5,8,2,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,41,0,0,0,0,53
2019paphi_qm18,red,frc1218,frc7599,frc103,62,53,0,6,5,5,5,5,5,5,5,5,24,0,0,0,3,0,12,0,9,15,30,5,0,3,8,2,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,6,0,47,0,0,0,0,62
2019paphi_qm19,blue,frc2180,frc1168,frc2168,60,68,0,12,2,2,2,0,0,5,5,5,18,0,0,0,3,0,12,0,3,15,30,5,5,5,12,0,5,0,2,0,5,0,5,2,2,2,2,2,2,3,3,6,1,12,0,45,0,2,0,2,60
2019paphi_qm19,red,frc321,frc5404,frc486,68,60,0,12,2,5,5,5,5,5,5,5,27,0,0,0,6,12,3,1,0,21,30,3,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,12,0,56,0,0,0,0,68
2019paphi_qm2,blue,frc709,frc4342,frc2234,54,56,0,12,2,2,2,0,5,5,5,5,15,0,0,0,12,6,3,0,0,21,30,5,5,5,6,5,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,42,0,0,0,0,54
2019paphi_qm2,red,frc752,frc3974,frc103,56,54,0,9,2,2,5,5,5,5,5,5,18,0,0,0,3,12,6,0,0,21,30,5,5,5,8,2,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,47,0,0,0,0,56
2019paphi_qm20,blue,frc5181,frc316,frc2095,55,38,0,15,2,5,5,5,0,5,5,5,18,0,0,0,6,0,6,0,0,12,0,5,5,5,10,0,2,0,2,0,0,0,2,2,2,2,2,2,2,6,3,6,2,15,0,40,0,0,0,0,55
2019paphi_qm20,red,frc7414,frc3974,frc4637,38,55,0,6,2,2,2,2,2,5,5,5,9,0,0,0,3,12,0,0,0,15,30,5,5,3,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,1,6,0,32,0,0,0,0,38
2019paphi_qm21,blue,frc4373,frc433,frc321,57,53,0,12,5,5,5,5,5,5,5,5,27,0,0,0,3,6,3,0,0,12,0,5,5,5,6,5,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,45,0,0,0,0,57
2019paphi_qm21,red,frc2016,frc708,frc709,53,57,0,15,2,2,5,5,2,2,5,5,12,0,0,0,3,3,12,0,0,18,30,5,5,5,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,6,6,1,15,0,38,0,0,0,0,53
2019paphi_qm22,blue,frc103,frc4342,frc7414,75,54,0,9,5,5,5,5,0,5,5,5,33,0,0,0,6,12,3,0,0,21,30,5,5,5,12,5,0,5,0,0,0,2,0,2,2,2,2,2,2,3,3,3,3,9,0,66,5,0,5,0,75
2019paphi_qm22,red,frc4637,frc5407,frc2180,54,75,0,12,2,2,2,2,5,5,5,5,12,0,0,0,3,12,3,0,0,18,30,5,5,5,12,0,2,0,2,0,2,0,0,2,2,2,2,2,2,3,6,3,1,12,0,42,0,2,0,0,54
