MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019pawch_qm1,blue,frc4454,frc1791,frc2191,9,39,0,3,2,2,2,0,0,2,2,2,0,0,0,0,0,0,3,0,3,3,0,0,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,3,0,3,0,0,0,0,9
2019pawch_qm1,red,frc3929,frc486,frc5407,39,9,0,12,2,5,2,2,0,2,2,2,3,0,0,0,3,3,12,1,0,18,30,5,5,3,6,0,0,0,0,2,0,2,0,2,2,2,2,2,2,6,6,3,3,12,0,27,0,0,0,0,39
2019pawch_qm10,blue,frc834,frc484,frc4575,46,44,0,12,2,5,5,0,0,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,3,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,12,0,34,0,0,0,0,46
2019pawch_qm10,red,frc1391,frc87,frc486,44,46,0,12,5,5,2,0,0,2,5,2,9,0,0,0,12,3,6,0,0,21,30,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,32,0,0,0,0,44
2019pawch_qm11,blue,frc365,frc5404,frc3929,66,34,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,0,0,9,0,5,5,5,12,5,0,2,0,2,0,5,0,2,2,2,2,2,2,6,6,3,2,15,0,51,0,0,0,0,66
2019pawch_qm11,red,frc1640,frc423,frc1370,34,66,0,12,5,5,5,0,0,2,2,0,9,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,22,0,0,0,0,34
2019pawch_qm12,blue,frc87,frc272,frc4638,72,29,0,9,5,5,5,2,2,5,5,5,18,0,0,0,3,3,3,0,26,9,0,5,5,5,10,0,2,0,2,0,0,0,2,2,2,2,2,2,2,3,3,3,2,9,0,37,0,0,0,0,72
2019pawch_qm12,red,frc486,frc3151,frc1168,29,72,0,12,2,2,2,2,5,2,2,2,6,0,0,0,0,0,3,2,0,3,0,5,5,5,8,0,0,0,0,5,0,2,0,2,2,2,2,2,2,6,3,3,0,12,2,17,0,0,0,0,29
2019pawch_qm13,blue,frc7110,frc423,frc1712,39,82,0,9,2,2,2,5,0,5,2,5,9,0,0,0,3,3,3,6,6,9,0,5,5,5,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,3,0,9,0,24,0,0,0,0,39
2019pawch_qm13,red,frc433,frc5407,frc834,82,39,0,15,5,5,5,0,5,5,5,5,21,0,0,0,6,12,6,2,18,24,30,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,49,0,0,0,0,82
2019pawch_qm14,blue,frc1811,frc1495,frc365,41,31,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,26,0,0,0,0,41
2019pawch_qm14,red,frc2191,frc4750,frc3929,31,41,0,12,2,5,5,2,2,5,5,5,15,0,0,0,0,0,0,0,0,0,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,19,0,0,0,0,31
2019pawch_qm15,blue,frc5420,frc1640,frc1391,78,15,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,3,12,0,0,21,30,5,5,5,12,5,0,5,2,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,63,0,0,0,0,78
2019pawch_qm15,red,frc4454,frc4342,frc204,15,78,0,3,2,2,5,0,0,5,2,5,9,0,0,0,3,0,3,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,12,0,0,0,0,15
2019pawch_qm16,blue,frc2180,frc4575,frc1791,26,39,0,9,2,2,2,0,5,5,5,5,12,0,0,0,3,0,0,0,0,3,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,17,0,0,0,0,26
2019pawch_qm16,red,frc341,frc484,frc5113,39,26,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,24,0,0,0,0,39
