Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4454,8.93,15.64,-0.00,3.51,1.43,1.55,1.80,0.38,0.03,1.30,0.62,0.84,3.24,1.68,0.00,0.00,1.31,1.32,1.74,0.15,-0.71,3.88,5.50,1.06,1.69,0.54,-0.98,-0.44,0.17,-0.51,-0.51,-0.20,0.07,-0.21,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,2.09,1.90,1.48,0.47,3.51,-0.02,6.14,-0.03,-0.05,-0.04,-0.04,8.93,
frc1791,5.97,16.89,0.01,0.17,1.00,0.23,-0.15,0.63,-0.18,1.34,1.27,0.96,0.89,-0.01,0.00,0.00,1.10,2.11,0.61,0.90,1.86,3.62,6.43,0.79,1.06,0.85,-0.57,-0.34,-0.46,-0.22,-0.02,0.04,-0.01,0.19,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.56,1.56,1.88,-0.18,0.17,-0.02,3.93,0.11,-0.03,-0.04,-0.02,5.97,
frc2191,9.10,10.87,-0.02,2.76,0.14,0.71,0.75,0.38,1.07,1.26,1.59,1.13,2.53,-0.50,0.00,0.00,0.34,-1.26,2.08,0.01,0.68,1.31,-3.39,1.52,1.11,1.97,1.84,0.40,0.05,0.29,0.19,0.01,0.25,0.10,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.86,0.99,1.90,-0.10,2.76,-0.03,5.68,-0.03,0.14,0.12,0.15,9.10,
frc3929,12.12,12.66,-0.02,4.56,1.53,2.32,1.67,1.19,0.99,1.89,1.86,1.14,7.40,4.33,0.00,0.00,-0.30,-0.23,-0.13,0.04,-0.98,-0.58,-1.56,1.97,1.75,1.06,1.73,0.25,-0.30,0.54,-0.17,0.16,0.01,0.44,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.42,1.79,1.67,0.29,4.56,-0.03,8.56,-0.03,-0.04,-0.10,-0.02,12.12,
frc486,15.54,13.86,-0.01,5.66,0.96,1.44,0.75,0.56,0.62,0.76,0.71,0.78,1.37,-0.72,0.00,0.00,1.45,2.24,1.61,0.24,1.64,5.43,4.33,1.57,1.92,1.86,1.44,0.04,0.05,-0.16,-0.41,0.49,0.06,0.21,0.17,0.67,0.67,0.67,0.67,0.67,0.67,2.01,1.80,1.68,0.23,5.66,0.16,8.25,-0.03,-0.05,-0.05,0.00,15.54,
frc5407,25.42,16.20,0.16,5.50,0.37,0.86,1.00,0.62,0.60,1.17,1.17,0.89,2.56,-1.24,0.00,0.00,3.96,4.17,3.61,0.38,1.52,11.81,22.00,1.82,1.64,1.78,3.86,0.34,0.18,0.43,0.59,0.40,0.38,0.17,0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.10,0.92,2.10,1.31,5.50,0.06,18.23,0.13,0.14,0.16,-0.07,25.42,
frc834,23.30,17.77,-0.02,4.75,1.55,1.61,1.77,0.83,0.71,1.90,1.80,1.73,8.83,1.68,0.00,0.00,2.32,2.19,0.18,-0.05,2.62,4.83,2.52,1.46,1.77,1.36,2.29,0.77,0.65,1.12,-0.02,-0.01,-0.23,-0.01,0.30,0.67,0.67,0.67,0.67,0.67,0.67,2.56,1.35,1.91,0.61,4.75,-0.02,15.96,-0.04,0.15,-0.04,0.33,23.30,
frc484,14.95,12.40,0.01,5.24,0.89,2.01,1.47,0.16,1.03,2.13,1.03,0.93,4.48,-0.18,0.00,0.00,0.96,1.26,1.92,0.13,-0.05,4.22,0.88,1.92,1.70,1.46,1.06,0.05,-0.21,0.05,-0.44,0.17,0.13,0.13,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.21,1.76,1.37,0.69,5.24,-0.00,9.76,0.13,0.14,-0.08,-0.05,14.95,
frc4575,7.04,13.30,-0.01,4.10,0.72,1.07,1.25,-0.69,0.99,1.21,1.70,1.37,3.11,-0.50,0.00,0.00,0.05,0.02,0.36,-0.26,-1.07,0.53,-2.26,2.02,1.26,1.41,0.37,0.07,0.08,0.28,-0.43,-0.09,0.19,-0.06,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,2.20,2.46,0.84,0.05,4.10,-0.02,4.01,-0.06,-0.04,0.10,-0.02,7.04,
frc1391,21.69,13.35,-0.02,2.82,1.55,2.28,1.49,1.89,1.77,1.60,1.84,1.38,8.46,-0.90,0.00,0.00,2.86,1.91,4.42,-0.06,-0.88,9.30,16.68,1.27,1.70,1.71,2.02,0.33,-0.29,0.31,0.12,-0.04,-0.07,0.13,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.58,0.67,1.79,0.91,2.82,0.05,19.78,0.11,0.14,0.12,-0.00,21.69,
