MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019pncmp_qm1,blue,frc3574,frc3024,frc2412,57,94,0,12,5,5,5,2,2,5,5,5,24,0,0,0,6,3,0,0,0,9,0,5,5,5,12,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,45,2,0,2,0,57
2019pncmp_qm1,red,frc4512,frc2907,frc2910,94,57,0,15,5,5,5,5,5,5,5,5,36,0,0,0,3,0,12,0,0,15,30,5,5,5,28,5,5,5,2,0,5,0,2,2,2,2,2,2,2,6,3,6,3,15,0,79,0,2,0,2,94
2019pncmp_qm10,blue,frc1899,frc3588,frc2928,50,74,0,15,2,5,5,0,5,0,5,5,21,0,0,0,3,0,3,0,0,6,0,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,35,0,0,0,0,50
2019pncmp_qm10,red,frc5803,frc2522,frc2930,74,50,0,15,2,2,5,0,5,5,5,5,27,0,0,0,12,3,3,0,0,18,30,5,5,5,14,5,5,5,5,0,2,0,0,2,2,2,2,2,2,6,6,3,3,15,0,59,0,0,2,0,74
2019pncmp_qm100,blue,frc3223,frc3574,frc2522,53,78,0,15,2,2,2,0,0,5,2,2,9,0,0,0,3,12,0,0,0,15,30,5,5,5,14,5,2,2,5,0,0,0,2,2,2,2,2,2,2,6,3,6,1,15,0,38,0,2,0,2,53
2019pncmp_qm100,red,frc4469,frc4110,frc1983,78,53,0,15,5,5,5,5,5,5,5,5,36,0,0,0,12,3,0,0,0,15,30,5,5,5,12,5,5,5,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,63,0,0,0,0,78
2019pncmp_qm101,blue,frc4131,frc2733,frc2097,72,61,0,9,5,5,5,5,0,5,5,5,33,0,0,0,3,12,3,0,0,18,30,5,5,5,12,5,0,5,2,0,0,5,0,2,2,2,2,2,2,3,3,3,3,9,0,63,5,0,0,0,72
2019pncmp_qm101,red,frc6445,frc1318,frc5588,61,72,0,12,2,5,5,2,5,2,2,2,9,0,0,0,0,12,6,0,0,18,30,5,5,5,22,2,2,2,2,0,2,0,2,2,2,2,2,2,2,3,3,6,1,12,0,49,0,2,2,2,61
2019pncmp_qm102,blue,frc2412,frc4061,frc4513,81,68,0,15,5,5,5,5,0,5,5,2,36,0,0,0,3,3,3,0,3,9,0,5,5,5,18,5,5,5,5,5,0,5,0,2,2,2,2,2,2,6,3,6,2,15,0,63,2,0,2,0,81
2019pncmp_qm102,red,frc5827,frc4488,frc3786,68,81,0,15,2,2,5,5,2,5,5,5,21,0,0,0,12,3,3,1,0,18,30,5,5,5,14,2,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,53,0,0,0,0,68
2019pncmp_qm103,blue,frc5468,frc4911,frc4060,61,74,0,15,2,5,5,5,5,5,5,5,27,0,0,0,0,3,6,0,0,9,0,5,5,5,10,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,46,0,0,0,0,61
