MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019qcmo_qm1,blue,frc229,frc3990,frc3975,60,14,0,12,5,5,0,5,5,5,5,5,21,0,0,0,3,12,0,0,0,15,30,5,5,0,12,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,12,0,48,0,0,0,0,60
2019qcmo_qm1,red,frc3533,frc7053,frc3981,14,60,0,6,0,2,2,0,0,5,2,0,3,0,0,0,0,3,0,0,0,3,0,5,5,3,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,8,0,0,0,0,14
2019qcmo_qm10,blue,frc3533,frc3532,frc3990,34,27,0,12,2,2,0,5,2,2,0,2,9,0,0,0,0,3,0,1,0,3,0,5,5,5,10,0,5,0,5,0,0,0,2,2,2,2,2,2,2,3,3,6,2,12,0,22,0,0,0,0,34
2019qcmo_qm10,red,frc3988,frc7471,frc6929,27,34,0,6,5,5,5,0,0,5,2,2,12,0,0,0,3,3,0,0,3,6,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,18,0,0,0,0,27
2019qcmo_qm11,blue,frc6541,frc7615,frc3985,26,70,0,3,5,5,5,0,0,5,5,2,18,0,0,0,0,3,0,0,0,3,0,3,3,5,2,5,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,23,0,0,0,0,26
2019qcmo_qm11,red,frc4930,frc229,frc3360,70,26,0,15,5,5,5,0,5,5,5,5,27,0,0,0,12,3,3,0,0,18,30,5,5,5,10,0,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,55,0,0,0,0,70
2019qcmo_qm12,blue,frc6869,frc7555,frc3975,32,36,0,6,2,2,2,0,5,5,5,5,12,0,0,0,6,3,3,3,0,12,0,5,3,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,26,0,0,0,0,32
2019qcmo_qm12,red,frc2626,frc5865,frc5443,36,32,0,9,2,5,5,2,0,0,2,2,6,0,0,0,3,0,3,0,9,6,0,5,5,3,6,2,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,18,0,0,0,0,36
2019qcmo_qm13,blue,frc3981,frc7605,frc7134,37,22,0,6,2,5,2,0,0,5,5,2,9,0,0,0,3,6,3,0,0,12,0,5,3,5,10,2,0,0,0,0,2,0,2,2,2,2,2,2,2,3,6,3,2,6,0,31,0,2,0,2,37
2019qcmo_qm13,red,frc7700,frc4955,frc3379,22,37,0,12,2,2,2,0,2,2,2,2,0,0,0,0,3,3,0,0,0,6,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,10,0,0,0,0,22
