MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019qcqc_qm1,blue,frc5570,frc5440,frc3360,48,39,0,9,5,5,5,5,5,2,2,2,15,0,0,0,3,3,12,0,0,18,30,3,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,9,0,39,0,0,0,0,48
2019qcqc_qm1,red,frc6431,frc2095,frc5095,39,48,0,15,5,5,5,0,0,5,5,5,18,0,0,0,0,6,0,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,24,0,0,0,0,39
2019qcqc_qm10,blue,frc5800,frc5952,frc2626,29,70,0,6,5,5,5,0,2,5,5,5,18,0,0,0,0,3,0,0,0,3,0,0,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,23,0,0,0,0,29
2019qcqc_qm10,red,frc5440,frc2234,frc4613,70,29,0,6,5,5,5,0,5,2,2,2,30,30,30,0,3,3,12,0,0,18,30,3,5,5,16,5,2,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,4,6,0,64,5,0,5,0,70
2019qcqc_qm11,blue,frc2095,frc4952,frc4942,26,72,0,6,2,2,0,2,0,0,5,5,6,0,0,0,6,6,0,0,0,12,0,5,3,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,20,0,0,0,0,26
2019qcqc_qm11,red,frc3986,frc5910,frc5439,72,26,0,12,2,5,5,5,5,5,5,5,24,0,0,0,12,3,3,0,0,18,30,5,5,5,18,0,2,2,5,0,2,0,2,2,2,2,2,2,2,3,6,3,3,12,0,60,0,2,0,2,72
2019qcqc_qm12,blue,frc3533,frc5570,frc2626,28,44,0,6,2,5,5,0,0,2,5,2,9,0,0,0,3,3,3,0,0,9,0,5,3,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,22,0,0,0,0,28
2019qcqc_qm12,red,frc4950,frc3117,frc5952,44,28,0,9,2,2,2,0,0,5,5,5,12,0,0,0,6,6,3,0,0,15,30,5,5,5,8,0,5,0,2,0,2,0,2,2,2,2,2,2,2,3,3,3,3,9,0,35,0,0,0,0,44
2019qcqc_qm13,blue,frc5528,frc2234,frc3996,33,63,0,12,2,5,5,0,0,0,2,5,9,0,0,0,0,6,0,0,0,6,0,5,5,5,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,6,0,12,0,21,0,0,0,2,33
2019qcqc_qm13,red,frc7590,frc3386,frc5659,63,33,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,12,3,0,0,18,30,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,48,0,0,0,0,63
