Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5570,7.64,25.82,0.00,0.92,0.50,1.13,1.91,0.38,-0.21,0.97,1.10,0.61,2.90,-0.23,-0.04,-0.19,0.55,0.67,2.10,-0.28,0.59,3.02,1.16,0.86,1.01,1.82,0.20,-0.37,0.18,0.03,0.28,-0.01,0.02,-0.11,-0.13,0.67,0.67,0.67,0.67,0.67,1.32,0.48,1.20,0.02,0.92,0.01,6.13,-0.04,0.32,-0.03,0.31,7.64,
frc5440,17.08,4.72,0.00,3.16,1.05,1.06,0.95,1.73,0.60,0.84,0.61,0.93,3.36,1.48,1.84,-0.36,1.44,1.45,3.20,-0.38,1.83,6.12,8.39,1.62,1.51,1.76,2.61,0.41,0.04,0.75,0.00,0.05,-0.18,0.09,-0.11,0.67,0.67,0.67,0.67,0.67,1.33,0.62,0.94,1.00,3.16,-0.08,12.09,0.06,0.30,0.17,-0.01,17.08,
frc3360,21.94,14.13,0.00,5.18,1.72,1.58,2.27,1.32,0.79,1.49,1.13,0.77,9.23,1.67,1.88,-0.21,0.01,3.28,1.62,0.72,-0.53,4.73,8.24,1.10,1.74,1.60,3.33,1.09,1.67,1.21,0.91,0.11,0.08,0.18,-0.15,0.67,0.67,0.67,0.67,0.67,1.65,2.20,1.65,1.16,5.18,-0.04,17.30,0.18,0.07,0.20,0.30,21.94,
frc6431,13.99,22.31,0.00,6.46,1.33,1.83,2.14,-0.12,0.05,0.52,0.78,0.88,4.26,-0.80,-0.63,-0.17,-0.06,1.07,0.80,-0.08,0.84,1.53,-0.05,1.77,1.37,1.90,0.90,0.60,-0.49,0.68,0.57,0.52,-0.18,0.28,-0.22,0.67,0.67,0.67,0.67,0.67,1.88,2.20,2.37,0.08,6.46,0.30,6.69,0.28,-0.11,0.21,-0.11,13.99,
frc2095,17.24,19.29,0.00,4.56,1.45,2.16,1.50,0.94,0.30,0.45,2.05,1.50,5.98,-0.22,0.05,-0.28,2.42,3.45,1.02,-0.19,0.52,6.59,9.92,1.54,1.29,0.74,-0.41,-0.18,-0.55,-0.10,-0.55,-0.03,-0.00,0.15,0.01,0.67,0.67,0.67,0.67,0.67,2.46,2.23,1.16,0.69,4.56,-0.01,12.15,-0.07,-0.06,-0.06,-0.14,17.24,
frc5095,12.27,21.92,0.00,2.85,1.84,0.67,2.14,0.44,-0.11,1.90,2.01,1.78,6.74,-1.27,-1.04,-0.23,0.56,0.21,-0.25,0.80,2.11,0.61,-5.73,2.00,1.25,1.50,-0.05,1.06,0.54,0.82,-0.48,-0.24,-0.09,-0.42,-0.15,0.67,0.67,0.67,0.67,0.67,1.23,1.28,0.41,-0.34,2.85,0.01,7.31,-0.44,-0.20,-0.31,0.17,12.27,
frc5800,12.71,18.40,0.00,3.04,1.00,1.03,0.97,0.69,1.63,2.01,1.33,1.36,5.00,-0.96,-0.63,-0.33,2.01,-0.63,0.12,0.04,1.07,1.20,-0.05,1.39,1.45,1.98,2.40,0.60,0.48,0.81,-0.20,0.35,0.10,0.22,-0.05,0.67,0.67,0.67,0.67,0.67,0.77,0.83,1.28,0.21,3.04,-0.02,8.60,-0.10,-0.04,0.03,-0.06,12.71,
frc5952,11.62,24.31,0.00,4.35,0.70,1.41,2.08,-0.64,0.21,0.91,1.43,1.54,3.78,0.53,0.06,0.47,0.98,1.10,1.20,0.14,-0.94,3.26,5.11,1.14,1.74,1.83,1.17,0.29,-0.30,0.02,0.22,0.08,0.16,0.09,0.21,0.67,0.67,0.67,0.67,0.67,2.08,0.80,1.79,0.12,4.35,0.23,8.21,0.17,0.17,0.05,0.12,11.62,
frc2626,16.09,16.54,0.00,3.31,1.99,1.73,1.35,1.12,1.67,1.59,2.03,1.90,8.12,-0.55,-0.67,0.12,-0.09,1.65,0.30,-0.01,1.62,1.96,-0.57,1.37,1.80,1.71,1.08,0.16,0.33,0.34,-0.18,-0.14,0.17,-0.21,0.02,0.67,0.67,0.67,0.67,0.67,0.37,1.65,1.09,0.29,3.31,-0.11,11.15,-0.30,-0.15,-0.02,-0.19,16.09,
frc2234,18.05,21.96,0.00,3.27,0.58,1.75,1.21,0.85,1.76,1.36,1.81,1.79,6.54,1.94,2.54,-0.59,1.18,1.78,1.25,-0.06,1.10,4.21,0.55,1.53,1.95,1.60,2.93,0.73,-0.03,0.85,-0.12,0.59,-0.28,0.52,-0.09,0.67,0.67,0.67,0.67,0.67,1.17,1.56,0.83,0.20,3.27,0.09,13.68,0.35,-0.29,0.38,-0.11,18.05,
frc4613,29.04,20.18,0.00,2.63,1.87,1.03,1.27,0.33,0.16,2.02,0.73,1.34,8.97,5.07,2.33,2.73,2.64,1.65,4.12,-0.10,0.77,8.52,13.84,1.24,1.97,1.75,8.15,1.73,1.32,1.66,0.48,0.99,0.90,0.86,0.64,0.67,0.67,0.67,0.67,0.67,0.87,1.04,0.83,1.19,2.63,0.12,25.64,1.20,0.67,0.86,0.66,29.04,
frc4952,23.05,10.04,0.00,5.16,1.68,1.97,-0.44,1.18,1.40,1.05,1.72,1.80,7.00,1.95,1.85,0.10,1.69,3.63,2.70,0.25,0.15,8.07,12.25,1.78,1.74,1.41,2.67,0.53,-0.28,0.32,0.88,0.20,-0.17,0.16,-0.17,0.67,0.67,0.67,0.67,0.67,1.71,0.91,2.76,1.04,5.16,-0.10,17.73,0.16,0.03,0.18,-0.12,23.05,
frc4942,11.05,21.90,0.00,2.58,1.15,0.69,1.65,0.49,0.13,1.60,1.30,0.81,5.41,0.29,0.21,0.09,1.71,0.92,-0.34,0.08,-0.19,2.41,-0.58,1.50,1.26,1.54,0.85,1.17,0.73,0.92,-0.27,-0.13,-0.10,0.24,0.00,0.67,0.67,0.67,0.67,0.67,1.19,1.11,0.76,-0.10,2.58,-0.06,8.67,-0.03,-0.10,0.03,-0.15,11.05,
frc3986,28.44,15.83,0.00,3.18,0.96,1.55,1.49,0.25,0.54,0.85,1.03,0.95,11.30,7.68,7.94,-0.25,1.33,-1.27,4.87,0.02,-0.02,4.91,9.70,1.31,1.62,1.86,9.08,2.52,1.09,1.82,0.86,2.71,0.29,2.27,0.33,0.67,0.67,0.67,0.67,0.67,1.71,1.58,1.21,1.00,3.18,0.13,25.29,2.35,0.35,2.60,0.46,28.44,
frc5910,28.30,15.47,0.00,5.73,-0.43,0.52,0.99,3.41,3.08,0.47,0.92,1.01,5.31,-0.73,-0.43,-0.30,2.70,1.51,-0.94,0.08,2.68,3.27,2.76,1.59,1.62,1.78,11.32,0.99,1.30,1.08,1.25,-0.18,0.35,-0.12,-0.02,0.67,0.67,0.67,0.67,0.67,1.60,2.54,1.69,0.56,5.73,0.03,19.90,-0.27,-0.05,-0.27,-0.02,28.30,
frc5439,18.23,13.26,0.00,2.91,1.06,1.38,1.26,0.20,1.16,2.24,1.70,1.75,7.14,-1.49,-0.99,-0.51,2.66,0.55,1.69,0.37,0.62,4.90,2.96,1.81,1.58,1.60,2.65,0.22,0.92,0.31,1.24,-0.45,0.33,-0.42,0.22,0.67,0.67,0.67,0.67,0.67,0.81,1.09,1.28,0.47,2.91,-0.00,14.70,0.14,0.87,-0.32,0.81,18.23,
frc3533,7.02,20.53,0.00,2.45,1.14,1.83,1.91,0.63,1.11,1.23,0.64,0.67,2.91,-0.82,-0.73,-0.10,1.23,0.39,-0.19,0.16,-0.30,1.50,-3.57,1.59,1.47,1.33,0.46,0.12,-0.18,-0.19,0.28,-0.31,-0.29,-0.28,-0.20,0.67,0.67,0.67,0.67,0.67,0.86,1.28,0.89,-0.68,2.45,-0.06,4.87,-0.27,-0.01,-0.27,-0.24,7.02,
frc4950,16.62,14.11,0.00,3.07,0.76,0.16,0.33,-0.59,0.28,1.48,0.96,1.35,3.41,-0.97,-0.81,-0.16,0.34,3.47,3.81,-0.04,-0.55,7.70,13.16,2.00,1.41,1.82,2.99,0.63,1.08,0.85,0.94,-0.01,0.74,0.09,0.17,0.67,0.67,0.67,0.67,0.67,0.83,1.12,0.75,1.34,3.07,-0.02,14.10,-0.29,0.46,-0.24,0.74,16.62,
frc3117,15.88,13.80,0.00,2.67,0.83,0.93,0.57,2.00,0.90,1.71,1.65,1.43,4.20,-1.48,-0.94,-0.55,4.45,1.40,0.58,0.37,1.36,6.50,9.45,1.78,1.55,1.95,1.16,-0.56,0.86,-0.29,0.47,-0.23,0.13,-0.35,0.17,0.67,0.67,0.67,0.67,0.67,0.76,1.37,0.64,1.10,2.67,0.21,11.85,-0.30,-0.07,-0.18,-0.08,15.88,
frc5528,19.36,14.21,0.00,3.67,1.16,1.53,2.06,0.62,1.50,0.98,0.80,0.57,7.47,1.24,1.44,-0.20,2.76,1.59,-0.13,0.07,0.82,4.26,3.06,1.84,1.73,1.68,3.14,0.95,0.36,0.67,1.18,0.35,-0.15,0.03,-0.02,0.67,0.67,0.67,0.67,0.67,1.27,1.13,1.01,0.69,3.67,0.08,14.86,0.16,0.09,0.24,0.22,19.36,
