MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019rismi_qm1,blue,frc716,frc2168,frc2713,68,37,0,15,5,5,5,0,5,5,5,5,27,0,0,0,3,12,3,0,0,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,53,0,0,2,0,68
2019rismi_qm1,red,frc2712,frc4097,frc1100,37,68,0,9,2,2,5,0,0,0,0,0,3,0,0,0,0,3,12,0,0,15,30,3,5,5,10,2,0,0,0,2,0,2,0,2,2,2,2,2,2,6,3,6,1,9,0,28,2,0,2,0,37
2019rismi_qm10,blue,frc5000,frc1153,frc2067,68,41,0,12,5,5,5,5,0,5,5,5,24,0,0,0,3,3,12,0,6,18,30,5,5,5,8,2,2,0,0,5,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,50,0,0,0,0,68
2019rismi_qm10,red,frc716,frc5494,frc1740,41,68,0,15,2,2,2,5,5,5,5,5,15,0,0,0,0,0,3,2,0,3,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,26,0,0,0,0,41
2019rismi_qm11,blue,frc1350,frc61,frc190,62,73,0,9,5,5,0,2,5,5,5,5,18,0,0,0,3,6,12,0,6,21,30,3,5,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,6,3,1,9,0,47,0,0,0,0,62
2019rismi_qm11,red,frc6620,frc173,frc121,73,62,0,12,2,2,5,5,5,5,5,5,27,0,0,0,3,12,3,2,0,18,30,5,5,5,16,5,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,61,0,0,0,0,73
2019rismi_qm12,blue,frc3146,frc5112,frc2712,60,49,0,15,5,5,2,5,5,5,5,5,24,0,0,0,3,3,0,1,3,6,0,5,5,5,12,5,0,2,0,2,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,42,0,0,0,0,60
2019rismi_qm12,red,frc4048,frc4908,frc5494,49,60,0,12,2,2,0,5,0,5,5,5,12,0,0,0,6,3,3,1,3,12,0,5,5,5,10,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,3,6,0,12,0,34,0,0,0,0,49
2019rismi_qm13,blue,frc1153,frc4176,frc2713,59,82,0,15,5,5,5,5,5,5,5,5,27,0,0,0,3,3,3,0,0,9,0,5,5,5,8,5,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,44,0,0,0,0,59
2019rismi_qm13,red,frc2168,frc133,frc5000,82,59,0,15,5,5,5,0,0,5,5,5,30,0,0,0,6,12,3,0,0,21,30,5,5,5,16,5,2,5,2,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,67,2,0,2,0,82
2019rismi_qm14,blue,frc5846,frc78,frc3236,76,45,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,12,6,0,6,21,30,5,5,5,10,0,2,0,0,0,0,0,2,2,2,2,2,2,2,6,3,6,3,15,0,55,0,0,0,2,76
2019rismi_qm14,red,frc3719,frc716,frc4151,45,76,0,15,0,0,2,5,5,5,0,0,15,0,0,0,3,0,0,2,0,3,0,5,5,5,12,0,2,0,0,0,0,2,0,2,2,2,2,2,2,6,3,6,0,15,0,30,5,0,5,0,45
2019rismi_qm15,blue,frc4097,frc1100,frc4048,49,65,0,12,5,5,5,2,0,0,5,5,15,0,0,0,3,12,3,0,0,18,30,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,2,37,0,0,0,0,49
2019rismi_qm15,red,frc4796,frc4176,frc173,65,49,0,9,2,2,5,5,5,5,5,2,15,0,0,0,3,3,3,0,20,9,0,3,5,5,12,0,2,0,2,0,2,0,0,2,2,2,2,2,2,6,3,6,2,9,0,36,0,0,0,0,65
2019rismi_qm16,blue,frc716,frc5000,frc2712,45,69,0,6,2,2,2,0,5,2,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,3,12,2,0,0,0,5,0,5,0,2,2,2,2,2,2,3,3,3,0,6,0,39,5,0,5,0,45
2019rismi_qm16,red,frc5112,frc6620,frc2168,69,45,0,15,2,5,5,2,5,5,5,5,24,0,0,0,3,3,12,0,0,18,30,5,5,5,12,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,54,0,0,0,0,69
2019rismi_qm17,blue,frc61,frc1350,frc190,56,52,0,9,5,5,5,0,0,5,5,5,18,0,0,0,6,3,12,0,0,21,30,5,3,5,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,6,6,3,3,9,0,47,2,0,0,0,56
2019rismi_qm17,red,frc4097,frc4796,frc2067,52,56,0,6,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,0,0,18,30,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,6,0,46,0,0,0,0,52
2019rismi_qm18,blue,frc3236,frc5494,frc4151,61,35,0,15,5,5,5,5,0,5,5,5,21,0,0,0,6,6,3,0,6,15,30,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,40,0,0,0,0,61
