Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc716,16.93,22.34,0.00,3.52,1.24,0.67,0.20,1.52,2.37,1.66,1.20,1.01,9.06,-2.19,-0.66,-1.01,-1.29,-0.45,1.04,0.20,-0.46,-0.70,-1.88,1.43,1.84,1.71,5.52,1.31,0.82,1.05,1.12,0.53,0.15,0.67,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.31,0.98,1.31,-0.19,3.52,-0.06,13.88,1.28,-0.08,1.25,-0.07,16.93,
frc2168,34.19,15.03,0.00,5.29,1.87,2.03,2.06,-0.38,0.40,1.87,1.61,1.50,14.57,11.28,7.25,3.99,2.31,4.30,1.91,0.14,0.51,8.52,14.35,1.44,1.81,1.57,5.30,2.69,0.84,2.30,0.31,1.22,0.49,1.34,0.50,0.67,0.67,0.67,0.67,0.67,0.67,0.89,1.95,2.11,1.86,5.29,0.10,28.39,1.45,0.60,1.35,0.54,34.19,
frc2713,10.10,19.48,0.00,3.72,1.66,1.84,1.90,0.01,0.62,1.01,1.28,1.59,4.64,-2.46,-0.79,-1.08,1.33,0.94,0.35,-0.35,-0.88,2.63,2.19,1.23,0.89,1.60,-0.01,0.06,0.24,0.10,0.67,-0.71,0.17,-0.61,0.42,0.67,0.67,0.67,0.67,0.67,0.67,1.16,0.84,2.00,-0.25,3.72,0.04,7.26,-0.50,-0.31,-0.31,-0.33,10.10,
frc2712,9.55,17.49,0.00,3.56,0.60,0.50,0.67,0.07,1.09,1.38,1.48,1.72,3.36,-0.29,-1.20,1.27,1.65,-1.64,1.29,-0.11,-0.86,1.30,-0.26,1.71,1.67,1.58,2.18,0.26,-0.08,0.32,0.03,0.06,0.06,0.23,0.32,0.67,0.67,0.67,0.67,0.67,0.67,0.83,1.67,1.73,0.18,3.56,0.13,6.85,0.19,0.02,0.16,-0.02,9.55,
frc4097,14.56,21.17,0.00,3.45,1.90,1.88,1.40,1.08,0.57,0.82,1.35,1.34,7.14,1.01,-0.37,2.23,0.48,2.00,1.43,0.07,-1.62,3.91,8.79,1.64,1.63,1.83,1.68,0.12,-0.17,0.46,0.72,-0.17,0.04,-0.06,0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.15,0.62,1.58,0.43,3.45,0.11,12.73,-0.13,0.22,-0.03,0.38,14.56,
frc1100,22.88,27.85,0.00,4.52,1.69,1.87,1.42,0.60,0.16,0.91,1.37,0.95,6.16,3.51,2.00,-0.88,2.29,3.31,2.23,0.54,0.83,7.83,12.79,1.55,1.54,1.64,3.54,1.07,0.62,0.83,0.39,0.28,0.15,0.05,0.09,0.67,0.67,0.67,0.67,0.67,0.67,2.09,1.59,1.45,0.33,4.52,0.12,17.53,0.40,-0.11,0.22,0.10,22.88,
frc5000,18.40,14.52,0.00,3.81,1.40,0.85,1.12,0.10,-0.03,1.77,1.76,1.52,6.77,-2.54,-0.43,-1.67,1.48,1.13,1.33,-0.25,1.58,3.94,3.21,1.92,1.85,1.61,2.31,0.07,0.10,0.28,0.47,1.64,0.11,1.20,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.13,1.92,0.42,0.59,3.81,-0.08,13.02,0.40,0.04,0.62,0.03,18.40,
frc1153,28.77,20.36,0.00,5.36,2.13,1.69,2.10,2.87,1.70,2.01,1.72,2.39,13.86,-0.29,0.11,-0.04,2.80,1.98,1.18,0.00,-0.14,5.96,8.07,1.74,1.85,1.59,3.72,1.68,1.00,0.87,1.18,-0.25,0.60,-0.14,0.44,0.67,0.67,0.67,0.67,0.67,0.67,2.37,1.78,1.78,1.24,5.36,-0.04,23.55,-0.18,0.35,-0.25,0.29,28.77,
frc2067,22.86,12.82,0.00,3.23,2.10,2.24,2.44,0.49,-0.24,1.85,1.50,2.09,7.39,1.46,-0.43,-0.15,3.51,0.88,4.26,0.30,2.72,8.64,15.38,1.61,1.16,1.90,0.88,1.10,-0.26,0.82,-0.83,0.23,-0.17,-0.44,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,0.65,0.75,1.70,1.07,3.23,0.06,16.91,0.09,-0.08,-0.07,-0.23,22.86,
frc5494,8.57,22.55,0.00,4.19,0.77,0.93,1.51,2.01,-0.17,1.35,1.17,1.24,2.27,-2.53,-1.28,-0.99,0.68,2.12,-1.43,0.57,-0.77,1.36,0.38,1.60,1.88,1.35,1.52,-0.65,0.94,-0.45,0.70,-0.79,0.14,-0.66,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.93,1.19,1.29,-0.11,4.19,0.02,5.16,-0.61,0.21,-0.61,-0.02,8.57,
