MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019scmb_qm1,blue,frc900,frc6222,frc4451,30,6,0,6,5,5,5,5,5,2,2,2,15,0,0,0,3,0,0,0,0,3,0,5,0,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,2,6,0,24,0,0,0,0,30
2019scmb_qm1,red,frc3651,frc7489,frc1398,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,0,0,6,0,0,0,0,6
2019scmb_qm10,blue,frc21,frc1369,frc4267,24,17,0,6,5,5,5,0,0,2,2,2,9,0,0,0,3,6,0,1,0,9,0,5,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,0,2,6,0,18,0,0,0,0,24
2019scmb_qm10,red,frc2815,frc4847,frc1539,17,24,0,3,2,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,3,3,0,5,0,0,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,0,6,0,3,0,11,0,0,2,0,17
2019scmb_qm11,blue,frc6222,frc379,frc4074,32,33,0,9,2,2,2,0,0,5,2,2,3,0,0,0,3,12,3,1,0,18,30,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,23,0,0,0,0,32
2019scmb_qm11,red,frc1287,frc108,frc1758,33,32,0,9,5,0,0,0,0,0,0,5,6,0,0,0,3,12,0,0,3,15,30,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,3,9,0,21,0,0,0,0,33
2019scmb_qm12,blue,frc6366,frc6961,frc5410,31,44,0,6,2,2,2,0,5,2,2,2,3,0,0,0,6,0,6,0,0,12,0,5,0,5,10,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,0,3,0,6,0,25,0,0,0,0,31
2019scmb_qm12,red,frc1051,frc3824,frc5327,44,31,0,9,5,5,0,5,5,2,2,2,12,0,0,0,12,3,0,0,0,15,30,5,5,5,8,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,3,9,0,35,0,0,0,0,44
2019scmb_qm13,blue,frc4020,frc4965,frc342,70,47,0,15,5,5,5,0,5,2,2,2,21,0,0,0,12,0,3,0,3,15,30,5,5,5,16,5,0,5,0,5,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,52,2,0,2,0,70
2019scmb_qm13,red,frc4005,frc7152,frc283,47,70,0,9,5,5,5,0,0,5,5,5,21,0,0,0,3,3,3,1,0,9,0,5,5,5,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,0,9,0,38,0,2,0,5,47
2019scmb_qm14,blue,frc3651,frc5130,frc900,14,41,0,3,2,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,3,6,0,3,3,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,8,0,0,0,0,14
2019scmb_qm14,red,frc1902,frc3976,frc3489,41,14,0,9,5,5,5,5,0,5,2,2,18,0,0,0,3,3,0,1,0,6,0,5,3,5,8,0,0,0,0,0,2,0,0,2,2,2,2,2,2,6,3,3,2,9,0,32,0,2,0,5,41
2019scmb_qm15,blue,frc7085,frc5949,frc4823,30,50,0,6,0,5,0,2,0,5,5,5,12,0,0,0,3,0,3,0,0,6,0,3,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,24,0,0,0,0,30
