Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc900,8.21,17.04,0.00,3.44,1.10,1.23,1.32,1.20,0.94,-0.40,-0.13,1.06,1.98,-0.51,-0.51,0.00,0.95,-1.25,1.03,-0.06,0.36,0.79,-0.89,1.69,0.88,1.89,1.64,-0.09,-0.20,-0.06,0.66,-0.36,-0.30,-0.36,0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.82,0.17,1.54,-0.09,3.44,0.10,4.41,0.01,0.46,0.29,0.53,8.21,
frc6222,10.32,10.14,0.00,2.84,0.91,0.84,0.23,0.34,0.63,-0.30,-0.28,-0.17,0.10,-0.51,-0.51,0.00,1.78,3.26,0.79,0.34,1.63,5.86,5.03,1.97,0.54,0.85,-0.11,0.74,-0.52,0.74,-0.68,0.08,-0.19,0.24,-0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.53,0.95,2.09,0.24,2.84,-0.05,5.85,-0.18,-0.26,-0.10,-0.32,10.32,
frc4451,26.99,9.02,0.00,2.98,1.82,2.01,1.36,1.90,1.62,2.19,2.17,1.46,10.45,3.30,3.30,0.00,2.85,3.35,3.08,0.14,0.48,9.32,19.60,1.58,1.41,1.64,3.76,0.30,0.77,-0.13,1.24,0.28,0.59,0.15,0.24,0.67,0.67,0.67,0.67,0.67,0.67,0.58,0.61,1.13,1.70,2.98,0.08,23.53,0.41,0.40,0.21,0.20,26.99,
frc3651,3.75,5.76,0.00,1.60,0.41,0.95,0.43,0.80,0.28,0.92,0.13,0.61,1.27,-0.18,-0.18,0.00,0.55,0.11,1.00,-0.15,-0.31,1.63,-4.86,1.02,1.30,1.53,-0.44,0.28,-0.43,-0.10,-0.04,-0.09,-0.30,-0.23,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.45,1.00,0.88,0.04,1.60,-0.09,2.46,-0.01,-0.08,-0.36,-0.28,3.75,
frc7489,6.77,12.78,0.00,1.47,0.19,0.75,-0.11,0.00,0.08,1.53,0.65,0.66,2.29,0.26,0.26,0.00,0.28,1.69,1.07,-0.25,-0.01,3.04,5.32,0.81,1.16,1.61,-0.01,-0.03,0.20,-0.05,0.55,-0.21,-0.27,-0.23,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,0.40,1.33,1.62,0.16,1.47,0.08,5.31,-0.25,0.19,-0.07,-0.12,6.77,
frc1398,11.96,7.34,0.00,2.48,0.64,0.34,0.76,1.41,0.78,-0.17,0.41,0.61,1.63,0.12,0.12,0.00,1.31,2.69,0.36,0.00,2.07,4.36,7.45,0.95,0.70,1.49,1.43,-0.35,0.42,-0.27,0.41,-0.08,0.13,-0.35,0.34,0.67,0.67,0.67,0.67,0.67,0.67,1.87,1.02,2.20,0.95,2.48,0.19,7.41,-0.02,-0.35,-0.03,-0.08,11.96,
frc21,20.52,12.14,0.00,4.15,1.29,1.28,1.86,-0.72,0.98,0.95,1.12,1.19,2.71,0.13,0.13,0.00,2.27,2.13,2.52,0.10,5.91,6.99,2.62,1.10,1.78,1.09,0.76,0.28,-0.24,-0.10,-0.34,-0.16,-0.18,-0.14,0.02,0.67,0.67,0.67,0.67,0.67,0.67,2.30,1.18,2.10,0.77,4.15,0.03,10.46,0.19,-0.27,0.40,-0.04,20.52,
frc1369,18.45,12.32,0.00,5.45,2.25,1.90,1.25,0.96,2.01,1.12,1.71,1.57,5.55,-0.34,-0.34,0.00,1.82,2.67,1.22,0.08,0.35,5.76,8.10,1.51,1.28,1.34,1.35,-0.30,-0.73,-0.36,-0.19,1.02,-0.20,0.60,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.10,2.27,1.99,0.93,5.45,-0.01,12.65,0.16,-0.21,0.17,-0.17,18.45,
frc4267,4.03,9.92,0.00,0.00,0.46,0.96,0.93,0.46,-1.68,0.38,-0.18,0.13,1.20,0.34,0.34,0.00,-0.34,3.50,0.18,0.39,-0.77,3.27,3.97,1.34,1.31,0.49,0.32,-0.25,0.73,0.31,0.33,0.35,-0.08,0.31,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.92,1.24,0.21,0.34,0.00,-0.05,4.79,-0.17,0.47,0.04,0.38,4.03,
frc2815,10.64,12.00,0.00,2.33,0.24,0.19,0.68,0.91,1.22,1.93,0.64,1.09,2.66,-0.20,-0.20,0.00,2.83,1.04,-0.53,-0.30,-1.33,3.40,3.48,2.03,1.12,1.16,3.58,0.05,0.61,-0.04,-0.19,0.27,0.15,-0.27,0.21,0.67,0.67,0.67,0.67,0.67,0.67,0.53,0.62,1.59,0.55,2.33,-0.04,9.64,0.46,0.01,0.16,-0.05,10.64,
frc4847,1.01,10.32,0.00,-2.05,0.86,0.43,1.03,0.50,0.45,1.14,0.63,1.26,3.07,-0.25,-0.25,0.00,-0.36,0.08,-0.12,0.12,0.17,-0.44,1.02,0.36,-0.19,-0.79,0.26,-0.30,0.26,0.11,0.32,-0.06,-0.14,-0.27,0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.44,0.63,0.17,-0.30,-2.05,-0.00,2.89,-0.16,-0.40,0.11,-0.29,1.01,
frc1539,13.30,17.45,0.00,5.66,1.48,1.52,1.67,0.28,0.35,0.65,0.92,1.17,4.81,-0.26,-0.26,0.00,0.47,-0.61,1.27,-0.12,-0.66,1.09,-1.75,2.19,1.29,1.21,2.41,0.76,0.26,0.43,0.04,0.25,0.45,0.62,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.56,1.12,2.50,0.37,5.66,0.23,8.30,0.00,-0.16,0.45,0.01,13.30,
frc379,27.26,15.79,0.00,3.80,2.69,1.91,2.06,1.27,1.76,2.68,2.20,2.83,10.80,0.26,0.26,0.00,2.20,4.58,2.31,0.07,1.35,9.09,13.96,2.10,1.89,1.41,2.23,0.31,0.06,-0.48,0.17,0.13,-0.11,0.02,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.32,1.38,0.02,1.63,3.80,-0.05,22.12,0.28,0.59,-0.07,0.74,27.26,
frc4074,4.82,15.75,0.00,3.38,-0.27,0.59,1.12,-1.15,-0.71,1.51,1.50,0.87,-0.39,-0.67,-0.67,0.00,0.25,1.27,1.90,0.66,-0.91,3.45,2.48,1.72,1.93,2.45,-0.72,0.22,0.00,0.42,-0.37,-0.21,-0.12,0.08,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.07,1.65,0.86,-0.27,3.38,-0.10,2.34,-0.02,-0.08,0.04,-0.14,4.82,
