MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019tes_qm1,blue,frc4907,frc6569,frc3197,60,81,0,9,5,2,5,5,0,5,2,2,18,0,0,0,0,6,6,0,3,12,0,5,5,5,18,2,0,2,2,2,0,2,0,2,2,2,2,2,2,3,3,3,0,9,0,48,0,5,0,5,60
2019tes_qm1,red,frc4967,frc4145,frc834,81,60,0,15,5,5,5,0,0,5,5,5,33,0,0,0,12,3,6,1,0,21,30,5,5,5,12,5,5,2,5,0,5,0,5,2,2,2,2,2,2,3,6,6,3,15,0,66,0,0,0,0,81
2019tes_qm10,blue,frc977,frc2177,frc1747,82,74,0,15,2,2,2,5,0,2,2,2,30,30,0,30,6,6,3,0,0,15,30,5,5,5,22,5,5,5,5,2,5,5,5,2,2,2,2,2,2,6,6,3,4,15,0,67,0,5,0,5,82
2019tes_qm10,red,frc2626,frc7460,frc4909,74,82,0,15,5,5,5,5,0,5,2,2,30,0,0,0,0,3,12,0,0,15,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,1,15,0,59,5,0,2,0,74
2019tes_qm100,blue,frc3572,frc3357,frc4145,107,65,0,15,5,2,5,5,0,5,5,5,27,30,0,0,12,3,6,0,30,21,30,5,5,5,14,5,5,2,5,0,2,0,2,2,2,2,2,2,2,3,6,6,4,15,0,62,0,0,0,0,107
2019tes_qm100,red,frc3324,frc203,frc4476,65,107,0,15,5,5,5,5,5,0,5,5,27,0,0,0,6,0,3,10,0,9,0,5,5,5,14,2,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,50,0,0,0,0,65
2019tes_qm11,blue,frc1153,frc3357,frc4817,69,134,0,15,2,5,5,0,0,5,5,5,33,30,30,0,3,3,3,16,0,9,0,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,1,15,0,54,5,0,5,0,69
2019tes_qm11,red,frc1155,frc610,frc548,134,69,0,15,5,5,5,5,0,5,5,5,39,0,0,0,3,12,3,0,48,18,30,5,5,5,14,5,5,5,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,71,0,0,0,0,134
2019tes_qm12,blue,frc3986,frc5401,frc4338,67,93,0,9,5,5,5,5,5,5,5,5,30,0,0,0,6,0,12,0,0,18,30,5,0,5,10,5,0,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,9,1,58,0,0,0,0,67
2019tes_qm12,red,frc4917,frc7554,frc346,93,67,0,15,5,5,0,2,2,5,5,5,27,0,0,0,3,6,12,0,10,21,30,5,5,5,20,5,0,5,0,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,68,0,2,0,2,93
