Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4907,18.27,25.35,0.00,4.21,1.37,0.93,1.58,2.22,1.39,1.69,1.11,0.94,5.22,-2.12,-0.36,0.12,0.68,2.09,3.49,-0.23,-1.49,6.26,8.98,1.71,1.70,1.74,4.07,0.40,-0.29,-0.05,-0.18,0.84,-0.59,0.17,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.33,1.48,1.14,0.25,4.21,-0.01,15.55,-0.34,0.22,-0.20,0.29,18.27,
frc6569,37.85,28.60,0.00,3.13,2.26,2.17,1.70,1.16,2.81,2.04,1.73,1.62,18.00,1.48,-1.26,2.87,2.01,2.19,2.97,-0.01,0.19,7.17,6.96,1.71,1.52,1.64,9.36,1.73,2.52,1.80,2.71,0.69,0.79,1.27,1.38,0.67,0.67,0.67,0.67,0.67,0.67,1.47,1.02,1.07,1.10,3.13,-0.03,34.53,0.21,0.95,-0.06,1.65,37.85,
frc3197,23.46,20.02,0.00,3.43,1.96,1.73,1.86,2.05,0.36,1.25,0.50,0.75,7.30,-3.78,-0.65,-3.16,3.10,2.40,1.31,-0.01,1.59,6.81,9.58,1.66,1.80,1.64,4.35,0.34,1.35,1.70,1.01,-0.47,0.52,-0.11,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,1.03,0.48,1.67,0.39,3.43,-0.04,18.45,0.35,0.13,0.46,0.20,23.46,
frc4967,15.75,30.35,0.00,3.48,0.51,1.50,1.05,-0.35,0.27,1.86,1.40,2.01,4.37,-3.41,0.54,-3.51,3.57,0.90,1.65,1.37,-0.64,6.12,9.99,1.63,1.82,1.48,2.42,0.59,0.81,0.52,1.61,-0.26,0.81,-0.56,0.66,0.67,0.67,0.67,0.67,0.67,0.67,1.40,1.03,1.49,0.20,3.48,-0.02,12.91,-0.62,-0.28,-0.35,-0.33,15.75,
frc4145,19.06,16.21,0.00,5.59,1.67,1.42,1.30,0.27,0.39,1.88,1.77,1.79,5.28,-0.00,-3.14,0.34,3.29,-0.47,1.78,0.23,1.82,4.60,1.01,1.66,1.63,1.78,1.77,1.02,0.28,-0.03,0.87,-0.38,0.34,-0.64,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.60,2.43,1.47,0.35,5.59,-0.07,11.65,-0.45,-0.07,-0.48,-0.00,19.06,
frc834,26.70,28.49,0.00,5.08,1.98,1.90,1.84,0.51,1.15,2.14,1.46,1.21,11.43,-3.19,-2.58,0.57,1.29,5.27,1.39,1.01,-0.52,7.95,11.74,1.71,1.68,1.21,2.76,0.52,0.68,0.02,0.13,-0.18,1.72,-0.03,1.46,0.67,0.67,0.67,0.67,0.67,0.67,1.42,2.09,1.18,0.61,5.08,-0.01,22.14,1.04,0.14,0.69,0.04,26.70,
frc977,28.55,26.86,0.00,6.18,0.28,0.31,0.76,2.01,0.04,0.89,1.58,1.28,7.66,1.88,-3.19,6.09,0.82,0.50,2.52,-0.15,0.26,3.84,2.86,1.68,1.70,1.78,10.61,1.17,1.50,0.82,2.51,0.12,2.08,0.12,2.43,0.67,0.67,0.67,0.67,0.67,0.67,2.55,1.36,1.90,0.26,6.18,0.00,22.11,-0.32,1.72,-0.44,2.51,28.55,
frc2177,29.77,24.04,0.00,5.28,1.72,1.93,0.45,0.55,1.17,1.19,1.68,1.18,8.14,4.49,0.65,0.73,4.13,3.04,-0.77,-0.22,4.84,6.40,11.72,1.67,1.60,1.65,5.11,0.61,0.99,0.84,0.99,0.64,0.56,1.08,0.26,0.67,0.67,0.67,0.67,0.67,0.67,1.84,1.37,2.24,1.20,5.28,0.06,19.65,0.17,0.37,0.52,-0.08,29.77,
frc1747,30.67,20.59,0.00,3.32,0.56,0.67,1.47,0.12,-0.13,1.37,1.31,0.86,14.53,14.82,3.83,12.79,0.89,-0.54,1.55,-0.60,2.91,1.90,0.20,1.68,1.61,1.71,8.02,2.48,2.33,1.66,2.49,1.48,1.89,1.43,1.64,0.67,0.67,0.67,0.67,0.67,0.67,1.02,1.94,0.27,1.29,3.32,-0.05,24.45,0.50,2.23,0.43,2.63,30.67,
frc2626,27.07,28.38,0.00,4.24,1.74,1.75,1.53,2.28,1.36,1.84,1.59,1.81,10.86,-1.16,-3.79,2.12,0.30,1.64,1.27,0.48,4.32,3.21,5.14,1.68,1.75,1.78,4.44,1.24,0.61,1.25,0.79,0.63,-0.33,0.67,-0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.41,1.49,0.28,4.24,-0.02,18.51,0.14,-0.01,-0.23,0.35,27.07,
frc7460,24.75,30.79,0.00,5.94,1.88,2.40,2.16,2.27,0.77,1.40,1.22,1.50,11.75,-3.17,-1.92,-0.15,0.97,2.05,3.29,0.90,-2.20,6.30,8.23,1.74,1.79,1.69,2.97,2.07,0.60,1.70,0.25,0.89,-0.37,1.02,-0.52,0.67,0.67,0.67,0.67,0.67,0.67,2.23,1.56,1.64,-0.02,5.94,-0.05,21.02,-0.07,-0.08,0.31,-0.16,24.75,
frc4909,26.89,23.99,0.00,4.82,1.46,0.70,2.03,0.79,1.02,1.25,0.54,0.56,7.80,2.36,4.22,-0.73,1.81,1.77,4.34,-0.44,-0.13,7.92,15.52,1.71,1.48,1.73,6.48,1.25,0.50,1.73,0.79,1.81,-0.31,1.91,0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.70,1.95,1.64,0.69,4.82,-0.05,22.20,1.05,0.14,0.71,0.03,26.89,
frc3572,33.46,17.18,0.00,3.54,1.66,1.58,1.09,1.83,1.99,0.95,1.71,1.18,11.73,9.97,0.80,4.00,1.77,5.32,1.59,-0.42,3.78,8.67,14.64,1.64,1.72,1.70,5.73,0.58,1.74,0.88,1.44,0.88,0.93,1.03,0.60,0.67,0.67,0.67,0.67,0.67,0.67,0.52,1.59,1.26,1.87,3.54,0.14,26.13,0.01,0.38,0.16,0.24,33.46,
frc3357,30.72,27.14,0.00,5.04,1.15,0.40,2.08,-0.06,-0.99,1.22,0.88,0.44,10.51,9.07,10.42,-3.64,0.66,0.46,1.44,1.27,3.24,2.55,4.82,1.64,1.75,1.64,9.38,2.65,0.78,2.22,1.24,2.46,0.95,2.31,0.86,0.67,0.67,0.67,0.67,0.67,0.67,1.94,1.23,1.93,1.00,5.04,-0.08,22.44,2.48,0.46,2.56,0.45,30.72,
frc3324,26.78,25.09,0.00,5.03,1.41,0.86,1.37,1.49,1.30,-0.27,1.94,1.44,8.57,-2.63,0.06,-2.36,1.88,-1.28,2.68,1.49,2.93,3.27,-0.38,1.66,1.81,1.66,6.98,2.08,1.00,0.90,1.20,-0.06,-0.62,0.38,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.73,2.25,1.86,0.32,5.03,-0.09,18.82,0.38,0.14,0.82,0.07,26.78,
frc203,25.65,26.52,0.00,4.70,0.85,2.21,1.95,1.72,0.37,1.90,2.16,2.20,12.90,4.81,-1.33,5.88,3.71,2.05,-0.43,0.70,-0.36,5.34,11.03,1.64,1.74,1.65,3.06,-0.21,1.76,0.11,0.84,-0.12,2.00,0.01,1.20,0.67,0.67,0.67,0.67,0.67,0.67,1.96,1.29,1.42,0.96,4.70,0.20,21.30,0.09,0.75,-0.23,0.62,25.65,
frc4476,27.60,30.63,0.00,5.84,1.23,0.88,1.33,0.44,1.18,0.94,1.77,2.01,11.49,-1.02,-0.18,-0.01,1.77,0.23,2.69,0.88,-1.53,4.70,4.38,1.72,1.71,1.78,7.10,1.86,0.90,1.46,0.78,0.85,1.99,0.65,1.77,0.67,0.67,0.67,0.67,0.67,0.67,1.45,1.90,2.06,0.29,5.84,-0.04,23.29,0.30,0.74,0.44,0.46,27.60,
frc27,28.27,18.94,0.00,2.38,1.43,1.37,1.84,0.55,1.01,1.56,1.84,1.69,10.47,5.22,-2.75,2.08,2.75,3.70,0.52,-0.21,2.86,6.96,11.56,1.44,1.75,1.66,5.60,1.59,1.08,1.05,1.16,0.90,1.38,1.13,0.84,0.67,0.67,0.67,0.67,0.67,0.67,1.63,0.57,0.75,1.09,2.38,-0.06,23.03,-0.08,0.02,-0.48,0.45,28.27,
frc5667,34.19,30.28,0.00,3.98,1.14,0.67,1.31,3.36,1.83,2.12,1.90,1.50,13.88,4.15,-0.60,5.20,1.80,-0.45,1.00,-0.64,2.09,2.35,4.36,1.69,1.63,1.74,11.89,0.85,2.44,0.92,2.12,0.86,2.30,1.24,1.69,0.67,0.67,0.67,0.67,0.67,0.67,0.51,2.20,1.14,0.75,3.98,0.08,28.12,-0.29,1.56,-0.25,1.61,34.19,
frc341,23.21,20.05,0.00,3.07,0.40,2.18,1.38,-0.14,0.56,1.65,0.98,0.96,6.78,2.37,1.57,0.75,3.37,1.42,2.11,1.35,1.54,6.90,5.50,1.72,1.50,1.65,4.92,0.48,1.43,0.74,1.61,1.07,0.36,0.47,0.47,0.67,0.67,0.67,0.67,0.67,0.67,1.38,1.19,1.03,0.91,3.07,-0.01,18.60,0.27,0.23,0.36,0.02,23.21,
frc5992,17.92,26.97,0.00,3.26,1.27,1.83,1.46,0.88,-0.82,2.16,1.65,1.51,8.92,5.67,5.81,-0.31,0.79,0.77,2.80,-0.04,0.22,4.36,9.68,1.47,1.34,1.63,1.15,1.78,0.47,1.00,-0.04,1.24,-0.64,0.41,-0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.52,0.94,1.73,-0.03,3.26,0.05,14.44,0.73,-0.37,0.54,-0.41,17.92,
frc3986,32.27,23.81,0.00,4.83,1.56,1.81,0.81,0.73,2.57,1.99,1.13,1.19,13.09,8.12,6.16,2.86,-0.97,2.28,3.80,-0.64,1.20,5.10,6.48,1.72,1.18,1.61,8.04,1.91,0.70,1.97,0.90,0.62,1.74,0.56,1.28,0.67,0.67,0.67,0.67,0.67,0.67,1.48,2.03,1.80,1.10,4.83,0.27,26.24,0.69,1.01,0.56,1.09,32.27,
frc4590,28.63,26.53,0.00,5.23,1.40,1.94,0.22,0.78,0.22,1.13,1.78,1.42,9.79,3.26,4.06,-0.41,1.43,4.82,0.73,0.49,0.66,6.98,13.27,1.68,1.81,1.72,5.97,0.52,0.15,0.85,0.60,1.61,0.36,1.92,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.65,1.55,1.78,1.01,5.23,-0.05,22.74,0.93,0.75,1.04,0.50,28.63,
