MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019tnkn_qm1,blue,frc3011,frc3140,frc5744,25,44,0,9,2,2,2,0,0,2,2,2,3,0,0,0,3,3,0,0,3,6,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,13,5,0,2,0,25
2019tnkn_qm1,red,frc4265,frc5022,frc4306,44,25,0,6,2,2,2,5,5,5,5,5,15,0,0,0,3,3,3,1,0,9,0,5,5,3,14,0,2,0,0,0,2,0,2,2,2,2,2,2,2,3,3,6,2,6,0,38,0,2,0,2,44
2019tnkn_qm10,blue,frc3959,frc1706,frc3489,70,30,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,0,0,9,0,5,5,5,16,0,5,0,5,0,2,0,2,2,2,2,2,2,2,6,3,6,2,15,0,55,0,0,0,0,70
2019tnkn_qm10,red,frc3011,frc6517,frc7406,30,70,0,9,2,2,2,0,0,2,2,2,6,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,3,3,0,9,0,21,0,0,0,0,30
2019tnkn_qm11,blue,frc3140,frc4764,frc4504,55,32,0,15,0,2,2,5,5,5,5,5,15,0,0,0,3,3,3,0,6,9,0,5,5,5,10,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,34,0,0,0,0,55
2019tnkn_qm11,red,frc5744,frc5492,frc801,32,55,0,9,5,5,5,0,0,5,5,2,15,0,0,0,3,3,0,2,0,6,0,3,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,23,0,0,0,0,32
2019tnkn_qm12,blue,frc3821,frc1293,frc3966,53,72,0,15,5,5,5,5,5,2,5,0,18,0,0,0,0,3,3,0,0,6,0,5,5,5,14,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,1,38,0,0,0,0,53
2019tnkn_qm12,red,frc4020,frc6928,frc4462,72,53,0,15,5,5,5,2,0,5,5,5,24,0,0,0,12,3,0,0,10,15,30,5,5,5,8,0,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,47,0,0,0,0,72
2019tnkn_qm13,blue,frc5022,frc1319,frc6219,40,53,0,9,5,5,5,5,0,5,5,5,21,0,0,0,3,3,0,0,0,6,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,31,0,0,0,0,40
2019tnkn_qm13,red,frc2386,frc6302,frc7525,53,40,0,15,2,2,5,0,0,5,5,2,15,0,0,0,12,0,3,0,0,15,30,5,5,5,8,0,5,2,5,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,38,0,0,0,0,53
