Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3011,7.96,14.29,0.00,2.95,0.61,0.25,0.02,-0.70,0.45,0.67,0.61,0.37,-1.32,-0.58,-0.11,-0.63,1.83,0.48,1.54,-0.27,-0.47,3.85,2.00,1.80,1.66,1.46,2.95,-0.57,0.89,0.08,0.54,-0.32,-0.05,0.27,0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.62,0.70,0.87,-0.07,2.95,-0.03,5.48,0.41,0.41,0.20,0.37,7.96,
frc3140,16.17,17.58,0.00,5.83,0.73,1.26,1.35,0.11,0.14,1.86,1.54,1.71,6.13,-0.74,-0.23,-0.26,0.78,2.26,-0.33,-0.39,0.09,2.72,0.32,1.86,1.76,1.54,1.39,-0.71,1.18,-0.75,1.92,-0.34,0.73,-0.68,0.58,0.67,0.67,0.67,0.67,0.67,0.67,2.13,1.43,2.14,0.32,5.83,-0.02,10.24,0.84,-0.16,0.15,0.20,16.17,
frc5744,5.10,18.13,0.00,2.19,1.03,1.01,0.93,0.17,1.78,0.90,1.10,0.58,2.06,-0.15,0.26,-0.13,0.70,-0.84,1.12,0.18,-0.53,0.98,-3.43,1.24,1.76,1.58,0.40,0.38,-0.88,0.28,-0.85,0.74,-0.46,0.22,-0.51,0.67,0.67,0.67,0.67,0.67,0.67,0.86,1.05,0.96,-0.18,2.19,0.10,3.44,0.29,-0.15,0.13,-0.10,5.10,
frc4265,20.83,11.52,0.00,2.59,0.61,0.17,0.59,1.76,1.32,1.61,0.80,1.23,9.79,9.03,2.97,5.87,-0.31,-0.12,0.87,-0.16,-0.26,0.43,-8.63,1.75,1.74,1.42,8.28,0.85,1.31,-0.27,0.98,1.24,1.55,0.77,1.49,0.67,0.67,0.67,0.67,0.67,0.67,0.90,0.94,1.27,0.95,2.59,0.00,18.50,1.46,1.43,1.60,1.66,20.83,
frc5022,21.51,15.13,0.00,2.97,2.16,1.91,2.00,2.23,1.89,2.00,2.63,2.56,12.70,-1.17,-0.27,-0.78,1.02,0.72,0.57,0.62,0.42,2.31,-1.02,1.63,1.65,1.71,3.11,0.89,0.36,0.95,0.77,0.23,-0.08,0.38,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.14,1.45,0.79,0.43,2.97,0.00,18.12,-0.27,-0.20,-0.32,-0.23,21.51,
frc4306,12.39,9.99,0.00,5.00,1.46,1.35,0.99,1.29,1.00,1.16,1.13,1.19,3.10,-0.97,-0.11,-0.86,1.56,2.72,0.25,-0.05,-0.64,4.52,8.50,1.57,1.66,1.46,0.41,0.15,-0.23,0.21,-0.77,-0.04,-0.34,-0.08,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.38,2.41,1.96,0.61,5.00,-0.00,8.03,-0.55,-0.01,-0.28,0.10,12.39,
frc3959,29.79,6.08,0.00,4.98,2.48,2.42,2.06,2.78,2.47,1.96,2.35,2.58,15.67,0.06,-0.06,-0.08,2.66,0.99,0.31,-0.16,-1.05,3.96,4.12,1.54,1.62,1.56,6.22,1.11,0.83,1.34,1.08,0.92,0.06,0.66,0.31,0.67,0.67,0.67,0.67,0.67,0.67,2.54,1.38,2.20,1.32,4.98,-0.01,25.86,0.07,0.02,0.25,0.07,29.79,
frc1706,18.75,20.52,0.00,3.05,0.56,0.82,0.57,-0.62,0.61,0.40,1.17,1.56,6.11,-0.88,0.01,-0.70,1.23,2.82,0.13,0.03,0.52,4.18,-0.18,1.77,1.78,1.85,4.89,1.14,1.40,1.46,1.44,0.22,0.81,0.82,0.61,0.67,0.67,0.67,0.67,0.67,0.67,0.83,0.98,0.57,0.07,3.05,0.01,15.18,-0.00,-0.24,0.19,0.02,18.75,
frc3489,25.64,17.70,0.00,5.09,1.88,1.37,1.28,2.01,0.30,1.51,1.87,2.01,10.18,0.31,0.00,0.04,1.59,-0.14,2.62,0.66,0.63,4.07,1.23,1.74,1.68,1.61,5.66,0.58,1.56,0.54,1.07,0.59,0.57,1.25,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.57,1.62,1.78,0.80,5.09,-0.01,19.92,0.25,0.32,0.18,0.03,25.64,
frc6517,19.06,29.70,0.00,2.91,0.46,0.79,0.85,0.20,0.17,0.94,1.41,0.84,7.86,0.58,0.24,0.36,0.36,1.35,-0.86,0.90,-0.61,0.84,2.52,1.90,1.67,1.66,8.07,1.54,2.29,1.21,2.05,1.32,1.51,1.37,0.84,0.67,0.67,0.67,0.67,0.67,0.67,1.29,0.62,0.96,-0.04,2.91,-0.01,16.77,0.75,0.68,0.78,0.41,19.06,
frc7406,5.99,11.25,0.00,3.37,1.11,0.99,1.02,0.24,-0.89,0.49,0.39,0.47,0.14,-0.74,-0.33,-0.49,-0.14,1.89,2.75,-0.36,-0.35,4.50,4.54,1.48,1.44,1.72,-1.68,-1.08,1.18,-0.92,1.06,-0.72,-0.02,-0.72,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.23,1.99,0.69,0.58,3.37,-0.03,2.96,-0.37,-0.20,-0.45,0.14,5.99,
frc4764,8.36,18.27,0.00,5.65,0.34,1.14,1.40,0.26,0.75,1.43,1.38,1.20,2.32,0.08,-0.09,0.23,1.84,-0.70,0.54,0.14,0.22,1.68,-3.52,1.90,1.74,1.19,-1.50,-0.34,-1.04,-0.22,-0.56,-0.39,0.13,-0.48,0.07,0.67,0.67,0.67,0.67,0.67,0.67,2.21,1.25,1.86,-0.32,5.65,-0.02,2.50,-0.07,0.38,-0.18,-0.37,8.36,
frc4504,16.24,10.02,0.00,5.63,0.03,-0.16,-0.68,2.16,1.67,0.86,1.06,0.88,2.84,-0.58,0.07,-0.21,1.27,1.69,1.43,-0.06,0.25,4.39,3.28,1.61,1.81,1.84,3.12,0.79,-0.28,1.27,-0.34,0.62,-0.26,0.69,0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.70,1.49,2.08,0.95,5.63,0.10,10.35,-0.18,-0.25,0.20,-0.14,16.24,
frc5492,28.65,18.09,0.00,6.09,1.68,2.00,2.23,1.31,1.33,2.08,2.23,1.92,10.92,-0.87,-0.18,-0.28,3.94,1.62,0.79,0.47,2.14,6.35,9.10,1.63,1.76,1.78,3.15,0.63,0.22,1.57,0.27,0.56,0.16,0.48,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,2.45,1.44,1.92,0.47,6.09,-0.03,20.41,0.16,-0.11,-0.25,-0.32,28.65,
