MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019tuis2_qm1,blue,frc6874,frc7469,frc6380,15,55,0,6,2,5,5,0,0,2,2,2,6,0,0,0,0,0,3,11,0,3,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,9,0,0,0,0,15
2019tuis2_qm1,red,frc7839,frc7086,frc7298,55,15,0,3,5,5,0,5,2,0,5,5,15,0,0,0,0,0,0,0,33,0,0,3,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,2,3,0,19,0,0,0,0,55
2019tuis2_qm10,blue,frc6838,frc7329,frc7549,39,12,0,6,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,6,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,6,0,27,0,0,0,0,39
2019tuis2_qm10,red,frc3646,frc7831,frc7839,12,39,0,6,5,5,0,0,0,0,2,2,6,0,0,0,0,0,0,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,6,0,6,0,0,0,0,12
2019tuis2_qm11,blue,frc7544,frc7086,frc6431,40,36,0,6,5,5,5,0,5,5,5,5,21,0,0,0,6,3,0,0,0,9,0,5,5,3,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,6,0,34,0,0,0,0,40
2019tuis2_qm11,red,frc5665,frc6388,frc7840,36,40,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,0,6,0,0,9,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,27,0,0,0,0,36
2019tuis2_qm12,blue,frc7851,frc5883,frc7469,46,17,0,6,5,5,5,0,5,5,5,5,21,0,0,0,0,12,3,1,0,15,30,3,5,3,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,6,0,40,0,0,0,0,46
2019tuis2_qm12,red,frc7831,frc6874,frc7758,17,46,0,3,2,0,2,5,0,2,0,2,3,0,0,0,3,0,3,0,3,6,0,3,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,3,0,11,0,0,0,0,17
2019tuis2_qm13,blue,frc5665,frc7298,frc3646,29,57,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,0,12,0,6,15,30,5,3,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,6,1,17,0,0,0,0,29
2019tuis2_qm13,red,frc6038,frc7830,frc7536,57,29,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,2,10,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,32,0,0,0,0,57
2019tuis2_qm14,blue,frc6431,frc7761,frc7828,27,53,0,12,2,2,2,0,5,2,2,2,3,0,0,0,3,3,0,1,0,6,0,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,15,0,0,0,0,27
2019tuis2_qm14,red,frc7086,frc7439,frc6064,53,27,0,12,5,2,5,2,2,5,5,5,21,0,0,0,3,3,3,0,3,9,0,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,38,0,0,0,0,53
2019tuis2_qm15,blue,frc7329,frc6014,frc7841,41,43,0,9,5,5,5,0,5,5,5,5,21,0,0,0,3,3,3,3,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,32,0,0,0,0,41
2019tuis2_qm15,red,frc7458,frc7839,frc6838,43,41,0,6,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,0,9,6,0,5,3,3,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,6,0,28,0,0,0,0,43
