MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019tuis_qm1,blue,frc7570,frc6999,frc6232,40,29,0,9,5,0,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,4,2,0,0,0,0,0,0,5,2,2,2,2,2,2,3,3,3,2,9,1,31,0,0,0,0,40
2019tuis_qm1,red,frc6902,frc6988,frc6430,29,40,0,6,2,5,2,0,0,2,2,5,6,0,0,0,0,3,0,0,10,3,0,3,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,13,0,0,0,0,29
2019tuis_qm10,blue,frc7600,frc7228,frc7481,36,56,0,6,5,2,5,0,0,5,5,5,15,0,0,0,3,12,0,0,0,15,30,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,6,1,30,0,0,0,0,36
2019tuis_qm10,red,frc7569,frc6988,frc7296,56,36,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,10,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,37,0,0,0,0,56
2019tuis_qm11,blue,frc7108,frc7576,frc7585,39,46,0,12,2,2,5,0,0,5,5,5,12,0,0,0,12,3,0,3,0,15,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,27,0,0,0,0,39
2019tuis_qm11,red,frc6430,frc5883,frc7466,46,39,0,9,0,5,2,0,0,2,2,0,9,0,0,0,3,12,0,0,9,15,30,5,5,0,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,0,3,9,0,28,0,0,0,0,46
2019tuis_qm12,blue,frc7035,frc7033,frc6988,36,40,0,9,5,5,5,5,5,2,2,2,15,0,0,0,0,3,3,3,0,6,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,27,0,0,0,0,36
2019tuis_qm12,red,frc6838,frc6697,frc7682,40,36,0,6,2,0,2,5,2,5,0,5,9,0,0,0,3,3,3,0,9,6,0,5,0,5,10,2,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,3,2,6,0,25,0,0,0,0,40
2019tuis_qm13,blue,frc7637,frc6232,frc7010,49,6,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,1,0,9,0,5,5,5,10,2,2,0,2,0,2,0,2,2,2,2,2,2,2,3,3,6,2,12,0,37,0,0,0,0,49
2019tuis_qm13,red,frc7683,frc5655,frc7628,6,49,0,3,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,3,0,0,0,0,0,0,6
2019tuis_qm14,blue,frc7035,frc6985,frc6902,38,20,0,9,5,5,5,5,0,5,5,5,21,0,0,0,0,3,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,29,0,0,0,0,38
2019tuis_qm14,red,frc7600,frc7071,frc6999,20,38,0,6,2,2,2,0,0,5,5,5,9,0,0,0,3,0,0,0,0,3,0,3,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,14,0,0,0,0,20
2019tuis_qm15,blue,frc7296,frc7228,frc7466,47,56,0,12,5,2,5,0,2,5,5,5,15,0,0,0,3,12,3,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,35,0,0,0,0,47
2019tuis_qm15,red,frc7570,frc7108,frc6430,56,47,0,6,5,5,5,5,5,5,5,5,24,0,0,0,3,12,3,0,0,18,30,3,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,50,0,0,0,0,56
2019tuis_qm16,blue,frc7684,frc5883,frc2905,71,48,0,15,5,5,5,2,5,5,5,5,21,0,0,0,3,12,3,0,13,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,1,43,0,0,0,0,71
2019tuis_qm16,red,frc7569,frc3646,frc7576,48,71,0,6,2,5,5,0,0,5,5,2,12,0,0,0,3,3,12,1,10,18,30,5,5,3,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,6,1,6,1,32,0,0,0,0,48
2019tuis_qm17,blue,frc6838,frc6429,frc7481,28,27,0,12,2,2,5,0,0,0,2,2,3,0,0,0,3,3,3,0,0,9,0,5,5,5,4,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,16,0,0,0,0,28
2019tuis_qm17,red,frc7585,frc7293,frc7444,27,28,0,9,2,2,5,0,0,5,5,2,9,0,0,0,3,3,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,18,0,0,0,0,27
2019tuis_qm18,blue,frc5883,frc6988,frc7071,57,40,0,12,5,5,5,0,0,5,5,5,24,0,0,0,12,0,3,0,0,15,30,5,5,5,6,5,0,5,2,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,45,0,0,0,0,57
2019tuis_qm18,red,frc3646,frc7228,frc7684,40,57,0,15,5,5,0,0,5,5,5,2,15,0,0,0,3,3,0,0,0,6,0,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,25,0,0,0,0,40
2019tuis_qm19,blue,frc6999,frc7466,frc7585,22,21,0,9,2,2,2,2,2,2,5,2,3,0,0,0,3,0,3,0,0,6,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,13,0,0,0,0,22
2019tuis_qm19,red,frc7637,frc7600,frc6697,21,22,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,0,3,0,0,6,0,3,5,5,6,0,2,2,0,0,0,2,0,2,2,2,2,2,2,3,3,6,0,9,0,12,0,0,0,0,21
2019tuis_qm2,blue,frc7628,frc6429,frc6697,25,18,0,3,5,2,2,0,0,5,5,5,18,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,2,2,2,2,2,2,6,3,6,2,3,0,22,0,0,0,0,25
2019tuis_qm2,red,frc7682,frc7684,frc7600,18,25,0,6,2,2,5,0,0,5,2,2,6,0,0,0,3,3,0,0,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,12,0,0,0,0,18
2019tuis_qm20,blue,frc7293,frc7035,frc7570,44,42,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,0,0,0,0,3,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,1,35,0,0,0,0,44
2019tuis_qm20,red,frc7628,frc2905,frc7010,42,44,0,6,5,5,5,0,5,5,5,5,21,0,0,0,3,0,0,0,10,3,0,3,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,6,0,26,0,0,0,0,42
2019tuis_qm21,blue,frc7682,frc5655,frc6430,24,29,0,9,5,0,5,0,0,2,0,0,6,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,15,0,0,0,0,24
2019tuis_qm21,red,frc7683,frc6902,frc7444,29,24,0,6,2,5,5,5,0,5,5,5,18,0,0,0,0,0,3,0,0,3,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,6,0,23,0,0,0,0,29
2019tuis_qm22,blue,frc7576,frc7296,frc6838,41,38,0,12,5,5,5,0,0,2,2,2,9,0,0,0,3,3,3,1,9,9,0,5,5,5,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,3,3,2,12,0,20,0,0,0,0,41
2019tuis_qm22,red,frc6232,frc7569,frc6985,38,41,0,9,2,2,2,0,5,5,5,5,12,0,0,0,0,3,3,3,3,6,0,5,5,5,8,0,2,0,2,0,2,0,0,2,2,2,2,2,2,3,3,3,0,9,0,26,0,0,0,0,38
2019tuis_qm23,blue,frc7033,frc6429,frc6902,53,38,0,15,5,5,5,2,5,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,0,0,0,0,2,0,2,2,2,2,2,2,2,6,3,6,2,15,0,38,0,0,0,0,53
2019tuis_qm23,red,frc7481,frc7108,frc7628,38,53,0,9,5,2,0,0,2,0,5,5,9,0,0,0,3,12,3,0,0,18,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,9,0,29,0,0,0,0,38
2019tuis_qm24,blue,frc6697,frc7296,frc7684,47,52,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,3,0,4,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,29,0,0,0,0,47
2019tuis_qm24,red,frc7010,frc6838,frc7466,52,47,0,12,5,5,5,2,0,5,5,5,18,0,0,0,3,3,0,1,12,6,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,28,0,0,0,0,52
2019tuis_qm25,blue,frc7444,frc6985,frc6988,40,41,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,31,0,2,0,2,40
2019tuis_qm25,red,frc2905,frc6430,frc7585,41,40,0,15,2,2,5,0,5,5,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,26,0,0,0,0,41
