Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7570,19.18,11.29,0.00,2.20,1.33,1.22,2.19,2.53,1.93,1.53,2.00,1.51,10.20,0.00,0.00,0.00,-0.75,0.58,0.18,-0.48,2.51,0.02,-3.41,1.15,1.62,1.57,4.26,0.36,-0.02,0.76,0.18,0.15,0.23,0.78,0.61,0.67,0.67,0.67,0.67,0.67,0.67,0.63,0.63,1.42,0.59,2.20,0.09,14.48,0.14,0.42,0.16,0.13,19.18,
frc6999,10.22,15.17,0.00,2.94,0.50,1.23,0.94,-0.43,0.18,1.45,1.27,1.26,2.75,0.00,0.00,0.00,1.01,-0.23,0.16,0.69,0.92,0.94,1.21,1.89,1.41,1.85,2.67,0.23,0.36,0.09,0.52,0.18,0.05,0.13,0.85,0.67,0.67,0.67,0.67,0.67,0.67,0.79,0.64,1.62,0.61,2.94,0.02,6.37,0.10,0.13,0.11,0.13,10.22,
frc6232,16.02,11.70,0.00,3.50,1.34,0.73,1.00,-0.15,0.83,1.43,1.08,0.99,3.40,0.00,0.00,0.00,0.31,0.34,2.52,0.34,2.57,3.22,-0.01,1.87,1.52,2.01,3.33,0.45,1.45,0.24,0.45,0.16,0.15,0.11,0.53,0.67,0.67,0.67,0.67,0.67,0.67,1.21,1.57,1.16,0.23,3.50,0.11,9.95,-0.02,-0.14,-0.04,-0.07,16.02,
frc6902,13.38,15.80,0.00,3.34,1.34,1.80,1.66,1.38,0.25,1.66,2.02,2.29,7.48,0.00,0.00,0.00,-0.22,0.33,1.65,0.50,-0.21,1.78,-0.24,1.45,1.87,1.79,0.98,-0.11,0.47,-0.06,0.21,-0.13,0.25,-0.20,0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.96,0.62,1.03,0.36,3.34,0.10,10.24,-0.07,-0.05,-0.05,-0.05,13.38,
frc6988,18.69,12.72,0.00,3.54,2.14,2.05,1.90,1.49,0.67,1.69,1.38,2.00,8.79,0.00,0.00,0.00,0.61,-0.60,1.23,0.48,2.56,1.25,-0.22,1.53,1.74,1.96,2.56,0.38,0.36,0.75,0.46,0.25,-0.23,0.30,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.50,1.95,0.88,0.58,3.54,-0.07,12.59,-0.04,0.14,-0.01,0.16,18.69,
frc6430,10.89,17.23,0.00,2.94,0.81,0.83,1.17,-0.14,0.27,1.23,0.53,1.06,2.46,0.00,0.00,0.00,0.23,3.53,0.48,-0.05,1.15,4.33,2.72,1.69,1.89,0.94,0.00,0.39,0.14,0.26,-0.17,0.33,-0.20,-0.23,-0.31,0.67,0.67,0.67,0.67,0.67,0.67,0.90,1.47,0.92,-0.03,2.94,-0.07,6.80,0.14,-0.13,-0.08,-0.10,10.89,
frc7600,9.88,13.48,0.00,2.70,1.23,0.84,1.50,-0.40,0.94,1.98,1.78,1.78,4.40,0.00,0.00,0.00,0.94,1.37,0.49,0.15,0.69,2.85,1.66,1.26,1.74,1.42,-0.75,-0.29,0.12,-0.03,-0.30,-0.24,-0.23,-0.04,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,0.81,1.59,1.70,-0.00,2.70,0.08,6.50,-0.06,-0.06,-0.06,-0.05,9.88,
frc7228,15.95,19.70,0.00,4.97,2.02,0.87,1.10,0.89,-0.16,1.58,1.97,0.93,4.42,0.00,0.00,0.00,3.82,3.24,0.37,1.02,-0.92,7.44,13.64,1.62,1.49,1.63,0.04,-0.09,0.58,-0.15,-0.14,-0.19,-0.02,-0.23,-0.31,0.67,0.67,0.67,0.67,0.67,0.67,2.08,2.15,1.26,0.41,4.97,0.03,11.90,-0.08,-0.09,-0.06,-0.07,15.95,
frc7481,7.93,22.40,0.00,4.48,0.62,0.54,1.16,0.36,0.06,1.11,0.87,1.05,2.65,0.00,0.00,0.00,-0.13,1.34,0.29,-0.05,-1.25,1.51,1.48,1.59,1.27,1.50,0.53,0.06,0.00,-0.02,0.02,0.25,-0.01,-0.02,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,2.10,1.07,1.83,0.02,4.48,0.01,4.69,-0.05,0.06,0.16,0.01,7.93,
frc7569,8.87,14.93,0.00,1.33,0.70,1.62,1.30,-0.03,0.53,1.78,2.09,1.32,4.91,0.00,0.00,0.00,0.54,0.68,1.94,0.10,0.36,2.94,0.80,1.45,1.11,1.50,-0.67,-0.23,-0.17,-0.16,-0.15,-0.31,0.16,-0.33,0.04,0.67,0.67,0.67,0.67,0.67,0.67,0.90,1.12,1.17,0.07,1.33,0.19,7.18,-0.06,0.04,-0.02,-0.03,8.87,
frc7296,19.70,14.79,0.00,4.07,2.57,2.09,2.23,1.02,1.99,1.13,1.64,2.35,10.38,0.00,0.00,0.00,1.74,2.07,0.25,0.86,-0.06,4.13,1.30,1.64,1.87,1.58,1.17,0.73,-0.29,0.50,-0.27,0.51,-0.24,0.20,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.66,1.21,0.86,0.45,4.07,-0.11,15.68,-0.01,-0.10,-0.01,-0.09,19.70,
frc7108,32.37,18.63,0.00,2.98,2.26,1.88,1.46,1.60,2.71,1.64,2.29,2.54,11.37,0.00,0.00,0.00,4.61,4.19,3.12,0.20,3.42,11.96,25.43,1.76,1.87,1.30,2.65,0.15,1.20,0.08,0.79,-0.36,-0.12,-0.34,0.45,0.67,0.67,0.67,0.67,0.67,0.67,0.73,1.56,0.72,1.84,2.98,0.03,25.97,-0.10,-0.06,-0.07,-0.07,32.37,
frc7576,17.54,18.55,0.00,5.24,0.55,1.04,1.42,0.37,-0.04,1.45,1.40,0.92,2.80,0.00,0.00,0.00,2.22,2.15,2.27,0.07,2.29,6.70,10.39,1.83,1.70,1.52,0.51,-0.40,0.25,-0.07,0.25,-0.11,0.12,0.08,0.43,0.67,0.67,0.67,0.67,0.67,0.67,2.46,1.51,1.51,0.64,5.24,0.02,10.00,-0.05,0.07,-0.05,0.10,17.54,
frc7585,6.26,11.09,0.00,3.58,0.90,0.91,1.46,0.42,1.09,0.73,1.46,0.23,1.59,0.00,0.00,0.00,1.68,0.35,0.03,0.17,-0.33,2.07,-1.51,1.02,1.37,1.80,-0.66,-0.13,-0.20,-0.28,-0.36,-0.03,-0.13,-0.38,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.98,2.19,1.39,-0.10,3.58,-0.01,3.00,-0.11,-0.01,-0.10,-0.06,6.26,
frc5883,29.40,13.70,0.00,5.67,0.20,0.91,0.77,0.04,1.27,1.81,1.57,1.06,8.60,0.00,0.00,0.00,3.33,3.13,3.27,0.05,1.58,9.76,22.15,1.76,1.60,1.26,3.79,1.25,0.96,1.26,0.76,0.21,1.63,-0.32,1.35,0.67,0.67,0.67,0.67,0.67,0.67,2.14,1.55,1.77,1.60,5.67,0.09,22.15,-0.07,0.63,-0.04,0.31,29.40,
frc7466,9.87,15.79,0.00,3.04,0.87,1.33,1.07,0.35,-0.87,1.13,1.29,0.53,2.10,0.00,0.00,0.00,0.14,1.78,0.51,-0.40,2.61,2.19,0.73,1.25,1.53,1.25,-0.07,0.01,-0.23,0.40,0.26,-0.26,-0.11,0.09,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.92,1.52,0.77,0.29,3.04,0.02,4.22,-0.05,-0.11,-0.08,0.09,9.87,
frc7035,10.82,19.31,0.00,3.05,2.45,2.43,2.23,0.17,0.87,1.02,0.48,1.03,5.26,0.00,0.00,0.00,0.99,1.06,0.87,0.74,-0.14,2.93,2.02,1.73,1.64,1.94,-0.27,-0.31,-0.01,-0.01,0.21,-0.36,-0.25,-0.23,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.21,0.60,1.27,-0.01,3.05,0.12,7.91,-0.06,-0.10,-0.02,-0.04,10.82,
