MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019tur_qm1,blue,frc649,frc2733,frc7464,74,62,0,12,2,2,5,2,5,2,5,5,18,0,0,0,12,6,3,0,3,21,30,5,5,5,20,2,0,0,5,2,5,0,2,2,2,2,2,2,2,3,3,6,3,12,0,59,0,2,0,2,74
2019tur_qm1,red,frc4125,frc7494,frc1619,62,74,0,15,5,0,5,0,0,5,0,2,18,0,0,0,0,3,12,1,0,15,30,5,5,5,14,2,0,2,0,2,0,5,0,2,2,2,2,2,2,6,6,3,1,15,0,47,5,0,5,0,62
2019tur_qm10,blue,frc7661,frc1868,frc6831,52,50,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,3,3,0,3,9,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,34,0,0,0,0,52
2019tur_qm10,red,frc6579,frc3966,frc7753,50,52,0,15,5,5,0,5,5,0,5,5,18,0,0,0,3,3,3,1,0,9,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,35,0,0,0,0,50
2019tur_qm100,blue,frc5805,frc7277,frc6377,72,73,0,15,5,5,5,5,5,0,5,5,21,0,0,0,3,0,12,1,9,15,30,5,5,5,12,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,48,0,0,0,0,72
2019tur_qm100,red,frc6986,frc5754,frc4451,73,72,0,12,5,5,5,5,5,5,5,5,30,0,0,0,12,0,6,3,3,18,30,5,5,5,10,2,5,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,58,0,0,0,0,73
2019tur_qm101,blue,frc6579,frc7494,frc2839,58,71,0,15,2,2,2,0,0,2,2,2,15,0,0,0,0,3,12,0,3,15,30,5,5,5,10,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,1,15,0,40,0,5,0,0,58
2019tur_qm101,red,frc6315,frc7753,frc3478,71,58,0,9,5,5,5,5,0,5,5,5,39,30,30,0,3,3,3,1,0,9,0,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,3,9,0,62,5,0,5,0,71
2019tur_qm102,blue,frc5012,frc1094,frc6321,80,81,0,15,5,5,5,5,0,5,5,5,27,30,0,0,3,6,12,1,9,21,30,5,5,5,8,5,0,5,0,2,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,56,0,0,0,0,80
2019tur_qm102,red,frc3310,frc7621,frc3035,81,80,0,15,5,5,0,5,5,5,5,5,27,0,0,0,12,6,6,3,3,24,30,5,5,5,12,0,0,0,2,0,5,0,5,2,2,2,2,2,2,3,6,6,3,15,0,63,0,0,0,0,81
2019tur_qm103,blue,frc1683,frc6025,frc2733,97,65,0,12,5,5,5,0,0,5,5,2,42,30,0,30,6,3,12,0,0,21,30,5,5,5,22,5,5,5,5,5,5,2,5,2,2,2,2,2,2,3,6,3,4,12,0,85,0,5,0,5,97
2019tur_qm103,red,frc6391,frc4401,frc1421,65,97,0,15,2,5,2,5,0,5,5,5,30,0,0,0,0,3,3,0,0,6,0,5,5,5,14,0,2,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,0,15,0,50,0,5,0,5,65
2019tur_qm104,blue,frc7464,frc2383,frc6072,81,81,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,12,3,1,12,18,30,5,5,5,12,0,2,0,2,2,0,0,2,2,2,2,2,2,2,6,3,6,2,15,0,54,0,0,0,0,81
2019tur_qm104,red,frc4513,frc2403,frc589,81,81,0,15,5,5,5,0,0,5,5,5,36,30,0,30,3,12,0,4,3,15,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,3,15,0,63,0,5,0,5,81
2019tur_qm105,blue,frc1700,frc1726,frc5468,77,46,0,15,2,5,5,5,5,5,5,5,27,30,0,0,3,12,3,2,3,18,30,5,5,5,14,2,5,0,5,0,0,0,2,2,2,2,2,2,2,6,3,6,4,15,0,59,0,0,0,0,77
2019tur_qm105,red,frc3284,frc7528,frc6831,46,77,0,9,2,5,5,0,0,5,5,5,21,0,0,0,3,3,3,1,6,6,0,5,0,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,31,0,0,0,0,46
2019tur_qm106,blue,frc3966,frc5872,frc254,72,86,0,12,5,5,5,0,0,5,5,5,24,0,0,0,3,3,12,3,6,18,30,5,5,5,12,2,5,0,5,0,2,0,0,2,2,2,2,2,2,6,3,3,1,12,1,54,0,0,0,0,72
