MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019txama_qm1,blue,frc5417,frc7573,frc6133,22,35,0,9,2,2,0,0,0,0,2,2,0,0,0,0,0,3,0,2,10,3,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,3,0,0,0,0,22
2019txama_qm1,red,frc1296,frc7534,frc5613,35,22,0,12,2,0,2,0,2,2,0,2,0,0,0,0,12,0,3,0,6,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,1,17,0,0,0,0,35
2019txama_qm10,blue,frc7540,frc5417,frc3037,17,65,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,0,0,0,0,3,0,5,5,0,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,11,2,0,2,0,17
2019txama_qm10,red,frc7271,frc5866,frc3310,65,17,0,15,5,5,5,0,0,2,5,5,24,0,0,0,3,3,12,0,0,18,30,5,5,5,8,0,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,50,0,0,2,0,65
2019txama_qm11,blue,frc5212,frc7573,frc4717,15,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,9,0,3,0,0,0,0,15
2019txama_qm11,red,frc6133,frc6315,frc4641,15,15,0,9,0,2,2,0,0,2,2,0,0,0,0,0,3,3,0,1,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,9,0,6,0,0,0,0,15
2019txama_qm12,blue,frc7540,frc6974,frc4301,46,26,0,12,5,5,5,0,5,5,2,2,15,0,0,0,3,3,3,0,6,9,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,28,0,0,0,0,46
2019txama_qm12,red,frc5783,frc1296,frc4799,26,46,0,15,2,2,2,0,0,2,2,2,0,0,0,0,0,3,0,2,0,3,0,5,5,5,8,2,2,0,0,0,2,0,0,2,2,2,2,2,2,3,6,6,0,15,0,11,0,2,0,0,26
2019txama_qm13,blue,frc5888,frc4734,frc4694,40,50,0,15,0,0,0,0,0,5,2,5,6,0,0,0,3,3,0,0,13,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,12,0,0,0,0,40
2019txama_qm13,red,frc148,frc7649,frc1817,50,40,0,15,5,2,2,2,5,2,2,2,18,0,0,0,3,0,0,1,0,3,0,5,5,5,14,0,5,2,5,0,5,0,5,2,2,2,2,2,2,6,6,3,2,15,1,35,0,0,0,0,50
2019txama_qm14,blue,frc7534,frc3310,frc2657,46,52,0,9,5,2,5,0,0,2,2,2,18,0,0,0,3,0,3,0,3,6,0,5,5,5,10,2,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,0,9,1,34,0,0,0,0,46
2019txama_qm14,red,frc5613,frc4153,frc5417,52,46,0,9,5,5,5,0,2,0,0,0,9,0,0,0,3,6,3,1,10,12,0,3,5,5,12,2,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,33,0,0,0,0,52
2019txama_qm15,blue,frc7649,frc7271,frc6133,32,53,0,15,2,2,2,0,5,5,5,2,9,0,0,0,3,3,0,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,17,0,0,0,0,32
2019txama_qm15,red,frc7540,frc3366,frc2613,53,32,0,12,2,5,5,5,5,5,2,2,15,0,0,0,3,3,6,0,0,12,0,5,5,5,14,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,41,0,0,0,0,53
2019txama_qm16,blue,frc5866,frc6974,frc5888,49,67,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,0,2,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,34,0,0,0,0,49
2019txama_qm16,red,frc4799,frc148,frc6315,67,49,0,15,2,5,2,0,5,5,5,2,18,0,0,0,3,12,3,0,6,18,30,5,5,5,10,5,2,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,46,0,0,0,0,67
2019txama_qm17,blue,frc2657,frc4717,frc4694,21,15,0,12,0,0,0,0,0,5,2,2,3,0,0,0,3,3,0,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,9,0,0,0,0,21
2019txama_qm17,red,frc5417,frc4734,frc4301,15,21,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,6,0,0,0,0,15
2019txama_qm18,blue,frc3037,frc4641,frc1296,12,51,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,6,0,3,0,0,0,0,12
2019txama_qm18,red,frc4153,frc7271,frc2613,51,12,0,15,5,0,0,0,0,5,0,5,9,0,0,0,6,0,6,1,9,12,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,27,0,0,0,0,51
2019txama_qm19,blue,frc5212,frc3310,frc1817,48,40,0,6,0,0,2,2,5,2,2,2,21,30,0,30,0,3,0,0,0,3,0,0,5,5,18,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,3,6,1,42,0,5,0,5,48
2019txama_qm19,red,frc5783,frc5613,frc3366,40,48,0,6,2,2,2,5,0,5,5,5,12,0,0,0,6,3,3,0,10,6,0,0,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,24,0,0,0,0,40
2019txama_qm2,blue,frc2657,frc6315,frc3366,25,19,0,9,5,5,5,0,0,2,2,2,9,0,0,0,3,0,0,0,0,3,0,5,5,5,4,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,16,0,0,0,0,25
2019txama_qm2,red,frc2613,frc4734,frc4799,19,25,0,9,0,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,6,0,5,0,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,10,0,0,0,0,19
2019txama_qm20,blue,frc7573,frc7540,frc1296,40,56,0,15,0,2,2,0,0,2,2,0,6,0,0,0,3,3,3,4,6,9,0,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,1,19,0,0,0,0,40
2019txama_qm20,red,frc7534,frc7649,frc4734,56,40,0,15,2,2,5,2,2,5,2,5,9,0,0,0,3,0,3,2,22,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,19,0,0,0,0,56
2019txama_qm21,blue,frc5888,frc1817,frc6974,43,8,0,9,5,5,5,5,5,5,5,5,24,0,0,0,0,6,0,0,0,6,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,34,0,0,0,0,43
2019txama_qm21,red,frc6133,frc3037,frc2657,8,43,0,3,2,2,2,0,0,2,2,2,0,0,0,0,0,0,3,0,0,3,0,0,0,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,0,0,3,0,3,0,5,0,0,0,0,8
2019txama_qm22,blue,frc4694,frc4799,frc5866,25,75,0,9,2,5,5,2,2,2,2,2,6,0,0,0,3,0,3,0,0,6,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,16,0,0,0,0,25
2019txama_qm22,red,frc3310,frc4301,frc4153,75,25,0,12,5,2,2,0,0,0,5,5,27,30,0,30,12,3,3,0,0,18,30,5,5,5,18,0,5,2,5,0,5,0,5,2,2,2,2,2,2,3,3,6,4,12,0,63,0,5,0,5,75
2019txama_qm23,blue,frc6315,frc7534,frc7271,44,6,0,15,2,5,5,0,5,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,29,0,0,0,0,44
2019txama_qm23,red,frc4717,frc5613,frc4641,6,44,0,3,2,2,2,0,0,2,2,2,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,3,0,0,0,0,6
2019txama_qm24,blue,frc5417,frc3366,frc148,57,33,0,9,2,2,5,0,0,5,5,5,30,30,0,30,3,0,3,2,0,6,0,5,3,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,3,9,0,48,0,5,0,5,57
2019txama_qm24,red,frc2613,frc5212,frc5783,33,57,0,12,2,2,2,2,0,0,0,5,3,0,0,0,6,3,0,0,6,6,0,5,0,5,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,6,3,6,0,12,0,15,0,0,0,0,33
2019txama_qm25,blue,frc4641,frc4301,frc5613,46,21,0,6,2,5,5,0,0,5,5,5,15,0,0,0,3,3,3,0,16,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,24,0,0,0,0,46
