Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5417,11.29,18.24,0.00,3.89,0.62,0.44,0.45,0.52,0.09,0.66,0.64,0.67,0.33,1.88,0.22,2.39,0.91,1.38,0.11,1.15,2.21,2.26,-1.73,1.73,1.91,1.19,2.60,-0.25,0.27,-0.32,0.21,-0.27,0.51,-0.19,0.48,0.67,0.67,0.67,0.67,0.67,0.67,1.10,1.65,0.86,0.19,3.89,0.04,5.19,0.17,0.53,0.15,0.69,11.29,
frc7573,7.65,11.17,0.00,4.94,0.24,0.46,0.90,-0.30,-0.04,0.01,0.28,0.25,-0.21,0.41,-0.61,1.25,0.58,-0.25,-0.77,0.78,3.75,-0.22,-4.74,1.44,2.00,1.41,-0.61,0.29,-0.16,0.06,0.13,-0.27,-0.05,-0.70,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.95,0.99,2.17,-0.07,4.94,0.09,-1.04,0.16,0.17,0.14,0.19,7.65,
frc6133,6.53,9.97,0.00,2.30,0.92,0.96,0.41,0.64,0.02,0.75,0.78,0.72,1.68,-0.11,0.23,-0.13,0.44,0.93,0.64,-0.42,-0.14,2.16,3.50,0.98,0.51,1.50,0.53,0.16,-0.23,0.44,-0.29,0.38,-0.21,0.46,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.05,1.53,1.53,0.27,2.30,-0.05,4.37,-0.03,-0.05,-0.03,-0.06,6.53,
frc1296,12.31,9.39,0.00,4.47,1.22,0.98,1.33,1.08,0.97,0.93,0.75,1.18,4.46,1.11,-0.25,-0.83,0.80,0.82,2.35,0.55,-1.16,3.85,4.73,1.61,1.25,1.77,0.70,0.46,0.01,0.34,-0.41,0.07,-0.06,0.19,0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.06,1.57,1.69,0.85,4.47,0.08,9.01,-0.19,0.03,-0.19,-0.15,12.31,
frc7534,13.69,5.30,0.00,4.24,1.20,1.05,1.59,-0.37,0.18,1.28,0.79,1.26,1.84,-1.90,-0.34,-1.00,1.83,-0.10,1.85,-0.22,3.62,3.77,4.21,1.94,1.55,1.79,0.22,0.06,0.25,-0.50,0.30,-0.36,0.30,-0.34,0.59,0.67,0.67,0.67,0.67,0.67,0.67,1.44,0.56,1.28,0.60,4.24,0.09,5.84,-0.13,-0.21,-0.15,-0.20,13.69,
frc5613,12.21,15.97,0.00,2.11,0.40,0.73,0.92,0.77,0.05,0.73,0.40,0.61,0.62,0.06,0.15,0.03,1.10,2.29,0.13,-0.10,2.62,3.24,3.68,0.19,2.03,1.65,3.62,0.51,0.91,0.06,0.80,0.49,0.12,0.24,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.03,1.34,0.90,0.30,2.11,0.05,7.49,0.01,-0.01,0.02,0.01,12.21,
frc7540,17.02,13.69,0.00,2.56,0.48,0.80,0.56,0.51,0.86,0.90,0.60,0.42,4.59,1.27,2.51,-0.96,1.56,1.77,0.90,0.14,0.45,4.48,0.33,2.20,1.62,1.22,4.93,2.42,1.18,1.85,1.58,0.41,-0.26,0.43,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.13,0.87,1.27,0.57,2.56,0.02,14.00,0.54,-0.18,0.52,-0.19,17.02,
frc3037,0.78,16.62,0.00,0.00,1.02,0.51,0.99,-0.28,0.12,0.74,0.47,-0.26,0.23,-1.52,-0.09,-1.04,-0.29,-0.29,0.10,0.20,0.66,-0.33,-4.02,-0.01,-0.03,0.63,0.22,-0.15,-0.28,0.08,-0.18,0.13,0.10,0.09,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.34,0.17,1.29,-0.38,0.00,0.01,0.12,0.02,-0.19,0.02,-0.18,0.78,
frc7271,12.97,10.97,0.00,6.12,1.01,0.79,0.87,-0.91,0.70,1.66,1.22,1.65,3.04,-1.80,-0.27,-1.14,0.92,0.07,2.11,0.27,1.47,3.18,1.36,1.59,1.81,1.99,-0.85,-0.25,-0.14,0.43,-0.33,0.27,-0.39,0.36,-0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.93,1.59,2.30,0.36,6.12,-0.07,5.37,-0.18,-0.21,-0.01,-0.21,12.97,
frc5866,15.82,9.37,0.00,4.07,2.58,2.71,2.88,1.86,1.74,1.26,1.82,0.95,8.83,-2.45,-0.39,-1.99,-0.07,1.30,0.79,-0.21,-0.33,2.12,0.87,0.94,1.51,1.49,1.12,-0.00,0.24,0.17,0.00,-0.26,-0.22,-0.22,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.58,2.11,0.92,0.78,4.07,-0.01,12.07,-0.29,-0.19,-0.13,-0.03,15.82,
frc3310,31.80,10.64,0.00,2.86,1.40,1.23,1.28,0.73,-0.48,0.02,0.83,1.31,14.55,8.99,2.46,7.21,1.99,0.83,2.85,-0.24,-0.63,5.35,11.85,0.91,1.29,2.30,9.66,2.10,1.51,2.64,1.45,2.81,1.85,2.50,1.55,0.67,0.67,0.67,0.67,0.67,0.67,0.28,1.67,1.38,1.65,2.86,0.30,29.56,1.38,1.16,1.54,1.15,31.80,
frc5212,2.09,20.38,0.00,-0.76,0.56,-0.08,0.82,0.45,0.02,0.51,-0.73,0.65,1.82,0.72,-0.25,1.55,-0.16,1.11,-0.68,-0.20,0.44,-0.54,-0.71,-0.41,0.23,0.11,1.12,-0.10,0.22,0.26,-0.04,0.30,0.08,0.57,0.09,0.67,0.67,0.67,0.67,0.67,0.67,0.66,1.00,-0.25,-0.12,-0.76,-0.00,2.41,-0.16,0.25,-0.16,0.25,2.09,
frc4717,10.10,11.15,0.00,3.22,1.02,0.94,1.50,0.63,-0.47,1.30,1.10,0.58,3.77,0.68,-0.33,-1.01,0.58,1.87,1.17,-0.22,-0.07,3.57,4.26,1.33,1.89,0.69,-0.39,-0.21,0.01,-0.03,0.03,-0.03,-0.13,0.07,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.51,1.99,2.07,0.66,3.22,0.10,6.95,0.01,-0.17,0.00,-0.17,10.10,
frc6315,13.65,10.31,0.00,4.57,0.87,2.13,1.55,-0.56,1.56,1.52,1.43,0.42,4.28,2.78,2.41,0.88,0.84,2.96,-0.10,-0.05,0.02,4.09,0.82,1.95,2.30,1.24,0.69,0.13,-0.22,0.01,-0.11,-0.20,-0.04,-0.12,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.23,1.60,0.79,0.78,4.57,-0.08,9.06,0.17,0.14,0.15,0.18,13.65,
frc4641,-0.65,14.48,0.00,1.00,0.13,0.41,0.75,-0.15,-0.11,0.44,1.32,0.86,-0.14,-1.36,-0.32,-0.69,-0.01,-0.28,0.24,1.13,-0.05,-0.33,-2.41,0.77,1.09,0.43,-1.14,0.54,-0.63,0.12,-0.28,-0.29,-0.24,-0.25,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.89,0.64,0.79,-0.27,1.00,-0.08,-1.60,-0.13,-0.14,-0.14,-0.14,-0.65,
frc6974,22.48,9.93,0.00,5.70,2.13,2.50,2.55,1.19,2.33,2.39,2.40,2.14,11.01,-2.11,-0.41,-1.32,1.75,2.90,-0.77,-0.10,0.40,4.10,4.78,2.29,1.43,1.61,1.28,0.19,-0.67,-0.08,-0.49,0.62,-0.17,0.49,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,2.28,2.15,1.23,0.93,5.70,0.00,16.39,0.28,-0.25,0.26,-0.26,22.48,
frc4301,16.48,9.42,0.00,3.16,1.74,2.12,2.32,0.26,-0.23,2.28,2.27,2.24,7.46,0.37,-0.42,0.97,1.13,0.42,1.60,0.63,3.24,3.14,2.03,1.89,1.13,1.34,-0.52,-0.20,-0.21,-0.04,0.08,-0.52,0.07,-0.42,0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.05,1.92,0.58,0.47,3.16,-0.06,10.08,-0.19,0.17,-0.19,0.16,16.48,
frc5783,14.30,13.80,0.00,6.01,0.86,0.76,1.07,0.63,0.12,1.58,1.29,1.26,3.03,-0.75,0.01,-0.55,2.27,-0.20,0.35,0.43,0.92,1.83,1.34,1.54,1.17,2.40,2.51,0.23,0.29,0.38,0.59,0.52,0.17,0.60,0.18,0.67,0.67,0.67,0.67,0.67,0.67,2.39,1.33,2.31,0.22,6.01,0.04,7.37,-0.04,0.04,-0.04,0.02,14.30,
frc4799,8.78,15.27,0.00,5.16,0.44,0.84,1.09,-0.10,0.45,0.25,0.34,0.01,-0.75,-1.93,-0.30,-1.07,0.33,1.03,0.83,-0.03,0.59,1.91,1.97,2.10,1.08,1.94,1.87,1.09,-0.04,0.63,-0.21,0.06,-0.15,0.10,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,2.19,2.10,1.55,-0.03,5.16,0.02,3.03,0.10,-0.02,0.08,-0.19,8.78,
frc5888,16.01,22.47,0.00,3.88,1.87,0.65,1.68,1.19,0.19,2.55,1.52,2.17,7.37,-0.11,0.41,-0.08,0.79,0.56,0.90,0.15,1.55,2.11,-1.13,1.20,1.93,1.74,1.10,0.40,0.41,0.32,0.17,0.13,-0.07,0.17,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.31,1.22,1.83,-0.08,3.88,0.02,10.58,-0.00,-0.03,-0.01,-0.03,16.01,
frc4734,7.60,9.53,0.00,2.25,-0.10,0.53,1.01,0.41,1.06,0.24,0.43,0.96,0.76,-1.25,-0.37,-0.56,0.61,0.93,1.24,-0.29,1.15,2.40,0.59,1.24,1.36,0.58,1.05,0.10,-0.27,-0.06,-0.10,0.22,-0.23,0.16,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,2.06,2.04,1.95,0.10,2.25,-0.07,4.20,-0.09,-0.12,-0.11,-0.12,7.60,
frc4694,2.41,14.51,0.00,4.12,-0.41,0.61,-0.53,-0.45,0.22,0.95,0.77,1.10,-1.31,1.62,0.04,-0.33,0.27,-0.07,0.09,0.30,0.04,0.03,-0.82,1.48,1.61,1.41,-0.47,-0.65,0.37,-0.50,0.32,-0.15,-0.13,-0.18,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,0.77,2.07,1.42,-0.16,4.12,0.13,-1.76,-0.02,-0.08,-0.00,-0.07,2.41,
frc148,34.30,11.74,0.00,4.89,1.14,1.03,1.35,0.79,0.49,2.18,1.96,1.56,14.52,5.60,-0.28,3.40,1.04,2.34,3.13,-0.12,0.98,6.48,14.67,1.85,1.89,0.99,7.43,1.89,2.64,2.23,2.68,1.25,1.55,0.85,1.59,0.67,0.67,0.67,0.67,0.67,0.67,2.40,1.50,2.19,1.98,4.89,0.07,28.43,0.19,0.70,0.16,0.68,34.30,
