MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019txaus_qm1,blue,frc2583,frc5103,frc418,26,32,0,9,5,0,5,0,0,5,0,5,12,0,0,0,0,0,3,2,0,3,0,5,0,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,17,0,0,0,0,26
2019txaus_qm1,red,frc5052,frc2714,frc3679,32,26,0,9,2,0,0,0,0,5,5,2,6,0,0,0,0,6,3,0,6,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,17,0,0,0,2,32
2019txaus_qm10,blue,frc7264,frc3679,frc2468,55,14,0,6,2,5,2,0,0,2,5,2,18,0,0,0,3,3,12,0,3,18,30,3,5,5,10,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,3,6,0,46,0,0,0,2,55
2019txaus_qm10,red,frc2789,frc6180,frc5754,14,55,0,3,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,1,0,9,0,3,5,3,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,11,0,0,0,0,14
2019txaus_qm11,blue,frc4610,frc5052,frc7837,41,29,0,9,5,5,5,0,5,5,5,5,21,0,0,0,3,3,3,1,0,9,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,32,0,0,0,0,41
2019txaus_qm11,red,frc6357,frc2881,frc5103,29,41,0,15,0,0,0,0,5,0,0,0,3,0,0,0,3,0,3,0,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,11,0,0,0,0,29
2019txaus_qm12,blue,frc7138,frc7872,frc3561,21,22,0,12,0,2,0,0,0,0,2,0,0,0,0,0,3,3,0,1,3,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,1,6,0,0,0,0,21
2019txaus_qm12,red,frc6664,frc5503,frc647,22,21,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,3,3,1,13,3,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,3,0,6,0,0,0,0,22
2019txaus_qm13,blue,frc6646,frc2583,frc3676,53,48,0,12,2,5,5,5,5,5,5,2,18,0,0,0,6,6,3,0,0,15,30,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,41,0,0,0,0,53
2019txaus_qm13,red,frc3005,frc2158,frc2468,48,53,0,12,2,2,2,5,0,2,2,2,9,0,0,0,0,3,12,0,0,15,30,5,5,5,12,0,5,0,2,0,5,0,2,2,2,2,2,2,2,3,6,3,1,12,0,36,0,2,0,0,48
2019txaus_qm14,blue,frc2721,frc3679,frc6321,41,50,0,9,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,32,0,0,0,0,41
2019txaus_qm14,red,frc6357,frc7264,frc624,50,41,0,12,2,5,5,0,5,5,5,5,18,0,0,0,3,3,6,0,0,12,0,5,5,5,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,6,2,12,0,38,2,0,0,0,50
2019txaus_qm15,blue,frc2714,frc5754,frc4610,49,27,0,12,5,5,5,0,0,5,5,2,21,0,0,0,3,3,0,0,0,6,0,5,5,5,10,0,5,0,5,0,2,0,2,2,2,2,2,2,2,3,3,6,2,12,1,37,0,0,2,0,49
