Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2583,7.44,11.92,0.00,3.51,0.99,0.64,1.18,0.47,0.06,1.16,0.68,0.98,2.20,-0.60,0.00,0.00,1.89,0.98,0.23,-0.05,-0.53,2.84,-0.53,1.24,0.88,1.07,-0.58,0.15,-0.44,-0.06,-0.22,-0.17,-0.35,-0.15,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,2.47,1.97,1.30,0.48,3.51,-0.05,4.46,-0.17,-0.12,-0.12,-0.07,7.44,
frc5103,13.31,15.86,0.00,5.71,1.24,1.07,0.86,0.07,1.06,1.91,1.12,0.68,5.19,-0.42,0.00,0.00,0.09,1.85,0.38,0.17,-0.53,2.39,2.57,1.71,1.67,1.78,0.55,-0.05,-0.15,-0.47,0.05,-0.06,0.07,-0.13,0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.76,2.17,1.61,-0.21,5.71,-0.12,8.13,-0.03,0.00,0.01,0.03,13.31,
frc418,15.07,14.67,0.00,2.76,1.99,1.40,1.32,-0.67,0.33,1.78,1.45,1.83,6.33,2.38,0.00,0.00,1.15,0.07,2.12,1.51,0.39,3.43,4.03,1.90,1.12,1.99,2.16,1.71,-0.00,1.63,-0.34,0.28,0.08,0.24,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.62,0.69,1.64,0.57,2.76,0.18,11.91,-0.04,0.05,-0.01,0.00,15.07,
frc5052,3.49,10.52,0.00,1.27,1.08,1.67,1.73,-0.83,-0.61,1.34,1.19,1.16,2.85,-0.56,0.00,0.00,0.29,-0.24,1.17,-0.37,-0.96,1.37,-2.36,1.40,0.97,1.67,-1.03,0.23,-0.55,0.43,0.14,-0.14,-0.23,-0.02,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,1.50,1.02,0.71,0.41,1.27,-0.04,3.19,-0.18,-0.07,-0.13,0.10,3.49,
frc2714,13.74,8.55,0.00,5.22,1.15,0.99,1.20,0.05,0.30,0.87,1.18,0.56,3.83,-0.76,0.00,0.00,1.39,2.09,0.39,0.37,-2.78,4.02,6.68,1.29,2.10,2.01,3.45,-0.05,-0.06,-0.30,0.10,0.33,0.06,0.33,0.66,0.67,0.67,0.67,0.67,0.67,0.67,1.97,1.76,1.67,0.65,5.22,0.15,11.30,0.97,0.74,0.92,1.30,13.74,
frc3679,24.26,11.46,0.00,4.32,1.50,2.15,1.17,0.64,0.63,2.47,2.47,1.90,9.38,-0.45,0.00,0.00,-0.09,0.73,1.79,0.25,6.32,2.53,-0.63,1.40,1.60,1.71,1.71,-0.25,1.24,-0.36,1.31,-0.12,0.37,-0.09,0.47,0.67,0.67,0.67,0.67,0.67,0.67,1.23,0.73,1.51,0.71,4.32,-0.14,13.62,-0.09,-0.12,-0.06,0.21,24.26,
frc7264,7.82,12.94,0.00,0.41,0.59,1.44,0.92,-0.05,0.45,0.64,0.92,0.46,1.40,2.32,0.00,0.00,0.01,1.12,1.71,0.47,2.39,2.71,1.07,0.98,0.98,1.38,0.91,-0.15,0.31,0.25,0.01,-0.06,0.34,-0.07,0.16,0.67,0.67,0.67,0.67,0.67,0.67,0.93,1.43,1.32,0.15,0.41,0.05,5.02,0.09,0.06,-0.08,-0.02,7.82,
frc2468,26.27,12.52,0.00,3.75,1.29,1.66,1.38,1.85,1.95,1.29,1.33,1.92,9.64,-0.45,0.00,0.00,2.78,3.47,2.82,1.80,-1.82,9.17,21.71,1.60,2.26,1.95,5.53,0.35,1.60,0.16,1.55,0.13,1.34,0.08,1.05,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.21,0.66,1.31,3.75,0.03,24.34,-0.02,0.37,-0.02,0.38,26.27,
frc2789,1.98,11.46,0.00,2.00,0.20,0.06,1.05,0.52,-0.03,0.70,1.00,0.77,-0.01,-0.62,0.00,0.00,2.18,-0.55,0.35,-0.13,-1.63,1.57,-1.06,1.84,1.30,0.29,0.05,-0.28,0.18,-0.16,0.15,-0.09,-0.26,0.04,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.12,1.64,1.00,-0.10,2.00,0.06,1.60,0.09,-0.09,-0.08,-0.10,1.98,
frc6180,11.45,11.08,0.00,2.77,1.00,0.53,0.94,0.52,-0.45,0.23,0.17,0.56,1.11,-0.64,0.00,0.00,0.57,0.39,1.13,-0.16,1.90,2.30,-2.57,1.34,1.81,1.92,3.37,0.02,0.65,0.50,0.56,0.09,0.58,0.25,0.69,0.67,0.67,0.67,0.67,0.67,0.67,1.35,0.46,1.15,0.02,2.77,-0.14,6.79,0.32,-0.06,0.06,0.04,11.45,
frc5754,6.83,18.99,0.00,1.71,0.83,1.02,0.90,0.29,0.55,0.69,0.17,0.93,1.58,-0.25,0.00,0.00,0.45,0.76,-0.44,0.97,1.21,0.65,-0.83,1.10,0.81,1.34,1.67,0.30,0.48,0.47,0.44,-0.02,-0.14,-0.09,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,0.53,0.50,1.89,-0.29,1.71,0.19,3.91,-0.07,-0.06,0.10,-0.19,6.83,
frc4610,24.53,11.22,0.00,4.93,2.05,2.22,2.57,1.29,3.59,3.18,2.71,1.76,14.75,2.16,0.00,0.00,0.30,0.79,0.14,0.08,-0.54,0.92,-0.93,1.77,1.71,1.10,4.47,0.53,1.32,0.32,1.19,-0.12,0.86,-0.17,0.62,0.67,0.67,0.67,0.67,0.67,0.67,1.30,1.74,2.37,0.93,4.93,0.17,20.14,-0.13,-0.14,0.12,0.21,24.53,
frc7837,12.17,12.91,0.00,2.16,0.01,1.10,1.42,0.56,0.35,0.90,1.04,1.01,1.75,-0.31,0.00,0.00,0.25,0.75,1.20,0.10,4.71,2.32,-0.10,1.05,1.18,1.36,1.22,0.52,-0.05,-0.13,-0.15,0.00,0.08,-0.01,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.32,1.73,0.63,0.46,2.16,0.02,5.30,0.05,-0.00,0.01,-0.04,12.17,
frc6357,17.26,14.30,0.00,3.68,1.16,1.11,1.08,1.02,2.02,0.82,0.78,0.29,3.03,1.97,0.00,0.00,-0.60,1.23,2.05,0.03,3.30,2.81,3.04,1.81,1.80,1.68,4.43,0.14,0.03,-0.03,0.06,0.41,0.13,0.93,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.14,0.73,1.59,0.71,3.68,0.09,10.28,0.27,-0.02,-0.02,-0.07,17.26,
