MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019txcha_qm1,blue,frc5427,frc231,frc624,53,54,0,15,2,2,2,0,5,5,5,5,18,0,0,0,3,3,6,1,0,12,0,5,5,5,8,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,6,6,0,15,0,38,0,0,0,0,53
2019txcha_qm1,red,frc5414,frc7518,frc2587,54,53,0,9,5,5,0,5,5,5,5,5,21,0,0,0,12,0,3,0,3,15,30,5,0,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,0,6,3,9,0,42,0,0,0,0,54
2019txcha_qm10,blue,frc6111,frc2882,frc7518,17,53,0,6,2,2,2,0,0,5,5,2,6,0,0,0,3,0,0,0,0,3,0,5,3,0,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,0,0,6,0,11,0,0,0,0,17
2019txcha_qm10,red,frc2587,frc624,frc5261,53,17,0,12,5,5,5,0,0,5,5,5,21,0,0,0,3,6,3,0,0,12,0,5,5,3,8,0,5,0,0,0,2,0,0,2,2,2,2,2,2,6,6,3,2,12,0,41,0,2,0,2,53
2019txcha_qm11,blue,frc231,frc7115,frc6488,29,27,0,6,2,2,2,5,5,2,2,2,6,0,0,0,3,3,0,0,3,6,0,5,3,3,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,6,0,20,0,0,0,0,29
2019txcha_qm11,red,frc1477,frc3735,frc4639,27,29,0,9,5,5,5,0,0,5,2,2,12,0,0,0,3,3,0,1,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,18,0,0,0,0,27
2019txcha_qm12,blue,frc3103,frc4587,frc3834,47,45,0,12,5,5,5,2,5,5,5,5,21,0,0,0,3,0,3,2,0,6,0,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,35,0,0,0,0,47
2019txcha_qm12,red,frc2582,frc5829,frc7410,45,47,0,12,2,2,2,0,5,5,2,2,6,0,0,0,12,0,3,0,6,15,30,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,27,0,0,0,0,45
2019txcha_qm13,blue,frc231,frc2882,frc1477,56,47,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,12,0,9,18,30,5,3,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,9,0,38,0,0,0,0,56
2019txcha_qm13,red,frc624,frc4328,frc3335,47,56,0,15,2,5,5,0,5,5,2,2,12,0,0,0,6,3,3,3,0,12,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,32,0,0,0,0,47
2019txcha_qm14,blue,frc5829,frc3834,frc6488,12,38,0,9,2,2,2,0,0,2,2,2,0,0,0,0,0,3,0,0,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,3,0,0,0,0,12
2019txcha_qm14,red,frc1255,frc5892,frc5414,38,12,0,9,2,2,5,5,5,5,2,2,12,0,0,0,0,6,3,0,0,9,0,3,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,29,0,0,0,0,38
