Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5427,11.69,12.23,0.00,2.18,0.96,0.77,0.57,1.92,0.80,1.60,2.10,2.32,7.01,-0.44,0.00,0.00,1.11,0.54,-0.23,-0.26,-1.28,1.47,-1.95,1.24,1.58,1.94,2.32,-0.56,0.75,0.08,1.55,0.06,0.11,-0.11,0.14,0.67,0.67,0.67,0.67,0.67,0.67,0.79,1.27,1.29,0.07,2.18,-0.02,10.79,-0.03,-0.03,-0.08,-0.07,11.69,
frc231,27.54,19.63,0.00,5.41,2.11,1.56,1.75,2.28,2.32,1.98,2.05,2.01,12.57,-0.09,0.00,0.00,0.58,0.46,3.16,-0.04,0.61,4.25,3.12,2.15,1.56,1.84,4.70,2.10,0.69,1.02,0.61,0.38,0.08,0.43,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.77,2.05,1.44,0.76,5.41,0.07,21.51,0.17,-0.05,-0.09,-0.06,27.54,
frc624,24.76,16.16,0.00,5.80,0.76,1.91,1.89,-1.28,0.10,2.39,2.29,1.73,7.21,2.51,0.00,0.00,1.67,2.44,3.16,0.46,2.22,7.31,2.11,1.86,1.67,1.70,2.23,0.30,1.29,0.30,0.49,-0.08,0.36,0.27,0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.82,2.20,1.54,0.82,5.80,-0.06,16.75,-0.03,0.19,-0.01,0.51,24.76,
frc5414,22.53,9.86,0.00,3.17,2.38,1.80,1.33,1.53,1.94,1.85,1.40,1.94,9.34,2.51,0.00,0.00,1.63,2.26,0.90,0.07,2.15,4.93,8.62,1.25,1.68,1.53,2.94,0.15,0.58,0.58,0.29,0.07,-0.03,-0.13,0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.47,0.81,1.25,1.29,3.17,-0.04,17.21,-0.02,-0.02,-0.03,0.14,22.53,
frc7518,8.11,17.85,0.00,2.73,0.32,0.03,-0.00,0.07,0.50,1.46,1.00,0.50,-0.10,-0.41,0.00,0.00,1.33,0.42,0.84,-0.34,2.90,2.60,2.79,1.42,0.65,1.41,-0.02,-0.15,-0.27,-0.31,0.14,-0.09,-0.09,0.15,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.31,0.94,1.03,0.07,2.73,0.01,2.48,0.01,-0.03,-0.06,-0.06,8.11,
frc2587,21.71,11.72,0.00,6.08,1.60,1.74,1.19,1.36,2.41,1.98,1.62,1.48,9.12,-0.19,0.00,0.00,3.01,0.50,0.46,-0.26,-0.71,4.00,3.12,1.61,1.39,2.06,3.21,0.62,0.29,0.59,0.57,-0.14,0.10,0.10,0.16,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.90,2.67,0.66,6.08,-0.02,16.34,-0.02,0.14,-0.05,0.13,21.71,
frc6111,13.73,14.08,0.00,4.77,0.91,1.58,1.79,0.83,0.51,2.17,1.77,0.78,6.30,0.15,0.00,0.00,1.10,1.00,0.14,0.08,-0.35,2.29,-2.55,1.87,1.63,1.36,0.73,0.56,-0.21,0.53,-0.37,-0.14,0.01,0.10,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.32,1.75,1.10,0.06,4.77,-0.04,9.32,-0.03,0.02,0.41,0.02,13.73,
frc2882,9.67,12.15,0.00,2.99,1.44,1.65,1.40,-0.29,0.36,0.81,1.41,0.62,3.09,0.14,0.00,0.00,-0.51,0.43,0.84,-0.11,0.18,0.77,-1.44,1.96,0.74,0.79,2.64,0.45,0.23,0.18,0.28,0.46,0.11,0.30,0.18,0.67,0.67,0.67,0.67,0.67,0.67,2.34,1.54,1.84,0.47,2.99,-0.03,6.50,-0.01,0.16,0.12,-0.01,9.67,
frc5261,26.85,10.10,0.00,4.11,2.00,2.02,1.82,2.13,1.35,2.34,1.83,1.90,10.11,-0.14,0.00,0.00,-0.06,1.99,1.78,-0.06,7.22,3.50,4.36,1.60,1.52,1.20,1.91,-0.26,0.90,-0.31,0.06,-0.14,0.09,0.10,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.80,1.62,1.52,0.99,4.11,0.00,15.52,-0.02,0.15,0.13,0.15,26.85,
frc7115,7.39,16.51,0.00,2.42,0.84,0.83,1.17,0.26,0.24,1.03,1.00,0.57,0.67,0.14,0.00,0.00,1.63,0.44,-0.61,-0.16,1.43,1.61,1.61,1.68,0.84,1.00,1.26,-0.15,0.03,0.27,-0.09,-0.11,0.14,-0.08,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.49,0.96,0.81,0.05,2.42,-0.04,3.54,-0.03,0.16,-0.02,-0.01,7.39,
frc6488,1.81,19.28,0.00,1.30,0.64,-0.03,0.51,0.47,0.32,0.63,0.38,0.38,-1.34,0.09,0.00,0.00,-0.06,1.96,-1.51,1.09,0.28,0.51,-1.46,1.48,1.32,1.41,1.06,0.47,-0.11,0.11,-0.20,0.13,0.31,-0.09,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.65,0.85,1.31,-0.02,1.30,-0.04,0.23,-0.01,-0.03,0.01,0.02,1.81,
frc1477,14.83,20.08,0.00,2.94,1.22,1.43,1.60,-0.10,0.20,1.79,1.65,1.63,5.45,0.08,0.00,0.00,2.00,2.09,2.14,1.43,-0.32,6.29,11.41,1.30,1.99,1.73,0.47,0.50,-0.24,0.48,0.17,-0.10,-0.08,-0.12,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,0.25,1.64,0.90,0.67,2.94,-0.03,12.20,-0.01,-0.02,-0.09,-0.02,14.83,
frc3735,13.36,10.42,0.00,3.93,0.65,1.53,1.53,1.18,1.34,1.38,0.89,0.37,3.41,-0.42,0.00,0.00,0.39,1.42,0.71,0.06,0.86,2.34,-2.08,1.38,1.93,1.19,2.82,0.57,-0.25,0.31,0.18,0.53,-0.07,0.10,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.12,1.68,2.20,0.31,3.93,0.08,8.57,0.17,-0.05,-0.00,-0.06,13.36,
frc4639,4.85,11.59,0.00,1.94,0.53,0.53,0.51,-0.02,-0.64,0.89,0.24,0.11,-2.37,-0.06,0.00,0.00,-0.02,1.78,0.92,-0.21,1.73,2.73,1.03,1.44,1.46,1.07,0.83,0.17,-0.24,0.25,0.28,0.14,-0.02,0.12,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.03,1.74,1.51,0.41,1.94,0.14,1.18,-0.01,-0.01,-0.07,-0.04,4.85,
frc3103,12.43,13.64,0.00,4.26,0.93,0.57,1.05,-0.73,1.02,0.57,0.52,0.67,0.12,0.15,0.00,0.00,0.79,0.37,0.47,0.15,3.52,1.70,-1.21,2.04,1.26,1.29,2.82,1.04,-0.17,0.94,0.12,0.16,-0.02,0.02,0.00,0.67,0.67,0.67,0.67,0.67,0.67,0.88,1.16,1.17,-0.10,4.26,-0.04,4.65,0.01,-0.01,0.07,0.00,12.43,
frc4587,17.97,16.90,0.00,5.06,1.10,1.55,1.46,0.63,0.53,2.00,1.89,1.62,7.08,0.12,0.00,0.00,1.97,0.51,0.98,0.07,0.35,3.55,5.26,2.10,1.86,1.20,1.92,0.49,0.81,0.63,0.59,-0.04,-0.09,-0.03,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.78,1.88,1.00,0.77,5.06,-0.03,12.56,-0.01,-0.04,0.02,-0.04,17.97,
